sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 2d 1h:38m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 799327004 | Bytes Rx: 420812243 | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 2d 1h:38m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 799327004 | Bytes Rx: 420812243 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 |Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 ||
Username: FehmQuai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 2d 0h:37m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1465540960 | Bytes Rx: 561085299 | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 2d 0h:37m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1465540960 | Bytes Rx: 561085299 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.71 | Public IP: 182.57.216.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 1d 6h:49m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 1721527696 | Bytes Rx: 515517031 | IP Addr: 10.150.244.71 | Public IP: 182.57.216.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 1d 6h:49m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 1721527696 | Bytes Rx: 515517031 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 ||
Username: Sourdebn | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.169 | Public IP: 43.231.236.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:10:02 IST Fri Jun 5 2020 | Duration: 1d 5h:55m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 291632383 | Bytes Rx: 170942779 | IP Addr: 10.150.237.169 | Public IP: 43.231.236.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:10:02 IST Fri Jun 5 2020 | Duration: 1d 5h:55m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 291632383 | Bytes Rx: 170942779 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285801 | Audit Session ID: 0a96cf6945c690005ed9e8c2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285801 | Audit Session ID: 0a96cf6945c690005ed9e8c2 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunPawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 1d 5h:44m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 213719998 | Bytes Rx: 279711727 | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 1d 5h:44m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 213719998 | Bytes Rx: 279711727 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 ||
Username: srenukun | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.147.97.73 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:01:12 IST Fri Jun 5 2020 | Duration: 1d 4h:04m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 506501688 | Bytes Rx: 311725821 | IP Addr: 10.147.97.73 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:01:12 IST Fri Jun 5 2020 | Duration: 1d 4h:04m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 506501688 | Bytes Rx: 311725821 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 286278 | Audit Session ID: 0a96cf6945e460005eda02d0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 286278 | Audit Session ID: 0a96cf6945e460005eda02d0 | Security Group Tag: none | EasyVPN: 0 ||
Username: AKuttan | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.83 | Public IP: 27.97.220.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:30 IST Fri Jun 5 2020 | Duration: 1d 1h:31m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 445982149 | Bytes Rx: 101615802 | IP Addr: 10.150.244.83 | Public IP: 27.97.220.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:30 IST Fri Jun 5 2020 | Duration: 1d 1h:31m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 445982149 | Bytes Rx: 101615802 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 286895 | Audit Session ID: 0a96cf69460af0005eda26be | Security Group Tag: none | EasyVPN: 0 |Session ID: 286895 | Audit Session ID: 0a96cf69460af0005eda26be | Security Group Tag: none | EasyVPN: 0 ||
Username: manishma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.112 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:24:02 IST Fri Jun 5 2020 | Duration: 22h:41m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 723444840 | Bytes Rx: 182884292 | IP Addr: 10.150.236.112 | Public IP: 103.86.182.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:24:02 IST Fri Jun 5 2020 | Duration: 22h:41m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 723444840 | Bytes Rx: 182884292 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 287536 | Audit Session ID: 0a96cf69463300005eda4e7a | Security Group Tag: none | EasyVPN: 0 |Session ID: 287536 | Audit Session ID: 0a96cf69463300005eda4e7a | Security Group Tag: none | EasyVPN: 0 ||
Username: subhassh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.47 | Public IP: 27.57.168.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:05:35 IST Fri Jun 5 2020 | Duration: 19h:59m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 498283605 | Bytes Rx: 216559051 | IP Addr: 10.150.236.47 | Public IP: 27.57.168.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:05:35 IST Fri Jun 5 2020 | Duration: 19h:59m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 498283605 | Bytes Rx: 216559051 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 287903 | Audit Session ID: 0a96cf694649f0005eda7457 | Security Group Tag: none | EasyVPN: 0 |Session ID: 287903 | Audit Session ID: 0a96cf694649f0005eda7457 | Security Group Tag: none | EasyVPN: 0 ||
Username: soshriva | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.35 | Public IP: 157.34.153.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:05 IST Sat Jun 6 2020 | Duration: 11h:29m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 1132800533 | Bytes Rx: 676997542 | IP Addr: 10.150.237.35 | Public IP: 157.34.153.183 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:05 IST Sat Jun 6 2020 | Duration: 11h:29m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 1132800533 | Bytes Rx: 676997542 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 288259 | Audit Session ID: 0a96cf69466030005edaebfd | Security Group Tag: none | EasyVPN: 0 |Session ID: 288259 | Audit Session ID: 0a96cf69466030005edaebfd | Security Group Tag: none | EasyVPN: 0 ||
Username: vnagrale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.195 | Public IP: 103.195.83.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:11 IST Sat Jun 6 2020 | Duration: 9h:57m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 5025296510 | Bytes Rx: 255197590 | IP Addr: 10.150.237.195 | Public IP: 103.195.83.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:08:11 IST Sat Jun 6 2020 | Duration: 9h:57m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 5025296510 | Bytes Rx: 255197590 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 288429 | Audit Session ID: 0a96cf69466ad0005edb0193 | Security Group Tag: none | EasyVPN: 0 |Session ID: 288429 | Audit Session ID: 0a96cf69466ad0005edb0193 | Security Group Tag: none | EasyVPN: 0 ||
