sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 3d 4h:34m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 7335950983 | Bytes Rx: 929410199 | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 3d 4h:34m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 7335950983 | Bytes Rx: 929410199 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 ||
Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 2d 15h:00m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 31340279472 | Bytes Rx: 1740289975 | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 2d 15h:00m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 31340279472 | Bytes Rx: 1740289975 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: arunpran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC25 | IP Addr: 10.149.248.111 | Public IP: 49.207.142.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:44:00 IST Thu Jun 18 2020 | Duration: 1d 2h:46m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1150207247 | Bytes Rx: 794332876 | IP Addr: 10.149.248.111 | Public IP: 49.207.142.1 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:44:00 IST Thu Jun 18 2020 | Duration: 1d 2h:46m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1150207247 | Bytes Rx: 794332876 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158703 | Audit Session ID: 0a95072a26bef0005eeaea08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158703 | Audit Session ID: 0a95072a26bef0005eeaea08 | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 1d 1h:58m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 320366755 | Bytes Rx: 321438207 | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 1d 1h:58m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 320366755 | Bytes Rx: 321438207 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 ||
Username: ADe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 1d 1h:05m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 545771286 | Bytes Rx: 720601267 | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 1d 1h:05m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 545771286 | Bytes Rx: 720601267 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: sknaidu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.245 | Public IP: 116.75.73.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:06:01 IST Thu Jun 18 2020 | Duration: 1d 0h:24m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1836776421 | Bytes Rx: 423595586 | IP Addr: 10.149.233.245 | Public IP: 116.75.73.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:06:01 IST Thu Jun 18 2020 | Duration: 1d 0h:24m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1836776421 | Bytes Rx: 423595586 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 159255 | Audit Session ID: 0a95072a26e170005eeb0b51 | Security Group Tag: none | EasyVPN: 0 |Session ID: 159255 | Audit Session ID: 0a95072a26e170005eeb0b51 | Security Group Tag: none | EasyVPN: 0 ||
Username: ppai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.241.160 | Public IP: 1.39.140.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:20:50 IST Thu Jun 18 2020 | Duration: 23h:09m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1745611210 | Bytes Rx: 627329160 | IP Addr: 10.149.241.160 | Public IP: 1.39.140.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:20:50 IST Thu Jun 18 2020 | Duration: 23h:09m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1745611210 | Bytes Rx: 627329160 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 159621 | Audit Session ID: 0a95072a26f850005eeb1cda | Security Group Tag: none | EasyVPN: 0 |Session ID: 159621 | Audit Session ID: 0a95072a26f850005eeb1cda | Security Group Tag: none | EasyVPN: 0 ||
Username: isunder | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.228 | Public IP: 49.206.2.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:37 IST Fri Jun 19 2020 | Duration: 5h:51m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 311221880 | Bytes Rx: 234117966 | IP Addr: 10.149.232.228 | Public IP: 49.206.2.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:37 IST Fri Jun 19 2020 | Duration: 5h:51m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 311221880 | Bytes Rx: 234117966 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160755 | Audit Session ID: 0a95072a273f30005eec1015 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160755 | Audit Session ID: 0a95072a273f30005eec1015 | Security Group Tag: none | EasyVPN: 0 ||
Username: srinivas.p | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.230 | Public IP: 171.78.137.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:21 IST Fri Jun 19 2020 | Duration: 5h:46m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 173306259 | Bytes Rx: 85842124 | IP Addr: 10.149.232.230 | Public IP: 171.78.137.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:21 IST Fri Jun 19 2020 | Duration: 5h:46m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 173306259 | Bytes Rx: 85842124 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160757 | Audit Session ID: 0a95072a273f50005eec1131 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160757 | Audit Session ID: 0a95072a273f50005eec1131 | Security Group Tag: none | EasyVPN: 0 ||
Username: jamesRA | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.233 | Public IP: 157.46.9.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:40 IST Fri Jun 19 2020 | Duration: 5h:41m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 59423669 | Bytes Rx: 31330964 | IP Addr: 10.149.232.233 | Public IP: 157.46.9.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:40 IST Fri Jun 19 2020 | Duration: 5h:41m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 59423669 | Bytes Rx: 31330964 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160760 | Audit Session ID: 0a95072a273f80005eec1270 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160760 | Audit Session ID: 0a95072a273f80005eec1270 | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.236 | Public IP: 157.33.162.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:30 IST Fri Jun 19 2020 | Duration: 5h:39m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 231148831 | Bytes Rx: 68896806 | IP Addr: 10.149.232.236 | Public IP: 157.33.162.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:30 IST Fri Jun 19 2020 | Duration: 5h:39m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 231148831 | Bytes Rx: 68896806 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160763 | Audit Session ID: 0a95072a273fb0005eec12de | Security Group Tag: none | EasyVPN: 0 |Session ID: 160763 | Audit Session ID: 0a95072a273fb0005eec12de | Security Group Tag: none | EasyVPN: 0 ||
