sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.67 | Public IP: 27.5.169.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:57:36 IST Sat Jun 13 2020 | Duration: 1d 0h:37m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 394614780 | Bytes Rx: 313256393 | IP Addr: 10.149.233.67 | Public IP: 27.5.169.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:57:36 IST Sat Jun 13 2020 | Duration: 1d 0h:37m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 394614780 | Bytes Rx: 313256393 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150604 | Audit Session ID: 0a95072a24c4c0005ee4b828 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150604 | Audit Session ID: 0a95072a24c4c0005ee4b828 | Security Group Tag: none | EasyVPN: 0 ||
Username: SarRajen | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.138 | Public IP: 157.50.180.150 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:22 IST Sun Jun 14 2020 | Duration: 10h:38m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 260803557 | Bytes Rx: 85840971 | IP Addr: 10.149.233.138 | Public IP: 157.50.180.150 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:56:22 IST Sun Jun 14 2020 | Duration: 10h:38m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 260803557 | Bytes Rx: 85840971 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150884 | Audit Session ID: 0a95072a24d640005ee57cbe | Security Group Tag: none | EasyVPN: 0 |Session ID: 150884 | Audit Session ID: 0a95072a24d640005ee57cbe | Security Group Tag: none | EasyVPN: 0 ||
Username: rajac | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.169 | Public IP: 42.111.151.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:04 IST Sun Jun 14 2020 | Duration: 9h:15m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1025213281 | Bytes Rx: 125474267 | IP Addr: 10.149.233.169 | Public IP: 42.111.151.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:19:04 IST Sun Jun 14 2020 | Duration: 9h:15m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1025213281 | Bytes Rx: 125474267 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150912 | Audit Session ID: 0a95072a24d800005ee59020 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150912 | Audit Session ID: 0a95072a24d800005ee59020 | Security Group Tag: none | EasyVPN: 0 ||
Username: durai.raj | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.173 | Public IP: 157.50.57.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:41 IST Sun Jun 14 2020 | Duration: 9h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 191047086 | Bytes Rx: 115098278 | IP Addr: 10.149.233.173 | Public IP: 157.50.57.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:41 IST Sun Jun 14 2020 | Duration: 9h:10m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 191047086 | Bytes Rx: 115098278 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150916 | Audit Session ID: 0a95072a24d840005ee59171 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150916 | Audit Session ID: 0a95072a24d840005ee59171 | Security Group Tag: none | EasyVPN: 0 ||
Username: suppu | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.170 | Public IP: 112.79.89.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:29:58 IST Sun Jun 14 2020 | Duration: 9h:04m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 755246771 | Bytes Rx: 250060153 | IP Addr: 10.149.233.170 | Public IP: 112.79.89.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:29:58 IST Sun Jun 14 2020 | Duration: 9h:04m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 755246771 | Bytes Rx: 250060153 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150926 | Audit Session ID: 0a95072a24d8e0005ee592ae | Security Group Tag: none | EasyVPN: 0 |Session ID: 150926 | Audit Session ID: 0a95072a24d8e0005ee592ae | Security Group Tag: none | EasyVPN: 0 ||
Username: vasukris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.165 | Public IP: 49.37.192.109 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:58:25 IST Sun Jun 14 2020 | Duration: 8h:36m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 339112804 | Bytes Rx: 55254837 | IP Addr: 10.149.233.165 | Public IP: 49.37.192.109 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:58:25 IST Sun Jun 14 2020 | Duration: 8h:36m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 339112804 | Bytes Rx: 55254837 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150936 | Audit Session ID: 0a95072a24d980005ee59959 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150936 | Audit Session ID: 0a95072a24d980005ee59959 | Security Group Tag: none | EasyVPN: 0 ||
Username: gudeanka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.120 | Public IP: 27.59.170.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:41:04 IST Sun Jun 14 2020 | Duration: 7h:53m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 60455738 | Bytes Rx: 31076106 | IP Addr: 10.149.233.120 | Public IP: 27.59.170.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:41:04 IST Sun Jun 14 2020 | Duration: 7h:53m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 60455738 | Bytes Rx: 31076106 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150947 | Audit Session ID: 0a95072a24da30005ee5a358 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150947 | Audit Session ID: 0a95072a24da30005ee5a358 | Security Group Tag: none | EasyVPN: 0 ||
Username: tejdeshm | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.122 | Public IP: 103.110.255.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:42:28 IST Sun Jun 14 2020 | Duration: 7h:52m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 189358910 | Bytes Rx: 136810647 | IP Addr: 10.149.233.122 | Public IP: 103.110.255.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:42:28 IST Sun Jun 14 2020 | Duration: 7h:52m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 189358910 | Bytes Rx: 136810647 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150950 | Audit Session ID: 0a95072a24da60005ee5a3ac | Security Group Tag: none | EasyVPN: 0 |Session ID: 150950 | Audit Session ID: 0a95072a24da60005ee5a3ac | Security Group Tag: none | EasyVPN: 0 ||
Username: TGanguly | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.131 | Public IP: 106.211.156.171 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:50:49 IST Sun Jun 14 2020 | Duration: 7h:44m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 274369236 | Bytes Rx: 138313366 | IP Addr: 10.149.233.131 | Public IP: 106.211.156.171 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:50:49 IST Sun Jun 14 2020 | Duration: 7h:44m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 274369236 | Bytes Rx: 138313366 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150964 | Audit Session ID: 0a95072a24db40005ee5a5a1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150964 | Audit Session ID: 0a95072a24db40005ee5a5a1 | Security Group Tag: none | EasyVPN: 0 ||
Username: RoSakpal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.152 | Public IP: 157.33.175.73 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:54:12 IST Sun Jun 14 2020 | Duration: 7h:40m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 275933776 | Bytes Rx: 105451541 | IP Addr: 10.149.233.152 | Public IP: 157.33.175.73 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:54:12 IST Sun Jun 14 2020 | Duration: 7h:40m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 275933776 | Bytes Rx: 105451541 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150967 | Audit Session ID: 0a95072a24db70005ee5a66c | Security Group Tag: none | EasyVPN: 0 |Session ID: 150967 | Audit Session ID: 0a95072a24db70005ee5a66c | Security Group Tag: none | EasyVPN: 0 ||
Username: salsonaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.116 | Public IP: 45.127.45.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:33:35 IST Sun Jun 14 2020 | Duration: 7h:01m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 681530608 | Bytes Rx: 240492833 | IP Addr: 10.149.233.116 | Public IP: 45.127.45.214 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:33:35 IST Sun Jun 14 2020 | Duration: 7h:01m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 681530608 | Bytes Rx: 240492833 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 150981 | Audit Session ID: 0a95072a24dc50005ee5afa7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 150981 | Audit Session ID: 0a95072a24dc50005ee5afa7 | Security Group Tag: none | EasyVPN: 0 ||
