sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sjyothi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.5 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:41:24 IST Mon Mar 16 2020 | Duration: 75d 2h:48m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 3551626986 | Bytes Rx: 1499948985 | IP Addr: 10.150.238.5 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:41:24 IST Mon Mar 16 2020 | Duration: 75d 2h:48m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 3551626986 | Bytes Rx: 1499948985 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3362 | Audit Session ID: 0a96cf6a00d220005e6f0a7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 3362 | Audit Session ID: 0a96cf6a00d220005e6f0a7c | Security Group Tag: none | EasyVPN: 0 ||
Username: ssalaiva | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.40 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:42 IST Mon Mar 16 2020 | Duration: 75d 0h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 7513063912 | Bytes Rx: 2493181876 | IP Addr: 10.150.238.40 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:42 IST Mon Mar 16 2020 | Duration: 75d 0h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 7513063912 | Bytes Rx: 2493181876 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3644 | Audit Session ID: 0a96cf6a00e3c0005e6f25fa | Security Group Tag: none | EasyVPN: 0 |Session ID: 3644 | Audit Session ID: 0a96cf6a00e3c0005e6f25fa | Security Group Tag: none | EasyVPN: 0 ||
Username: segomath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 73d 19h:52m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 3576956188 | Bytes Rx: 1268325330 | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 73d 19h:52m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 3576956188 | Bytes Rx: 1268325330 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 ||
Username: gdevadig | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 71d 22h:31m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 2395485095 | Bytes Rx: 968811059 | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 71d 22h:31m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 2395485095 | Bytes Rx: 968811059 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgusain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.174 | Public IP: 122.170.132.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:12 IST Fri May 29 2020 | Duration: 1d 5h:28m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 260486618 | Bytes Rx: 170247215 | IP Addr: 10.150.239.174 | Public IP: 122.170.132.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:12 IST Fri May 29 2020 | Duration: 1d 5h:28m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 260486618 | Bytes Rx: 170247215 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236076 | Audit Session ID: 0a96cf6a39a2c0005ed0742c | Security Group Tag: none | EasyVPN: 0 |Session ID: 236076 | Audit Session ID: 0a96cf6a39a2c0005ed0742c | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.47 | Public IP: 49.204.179.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:07 IST Fri May 29 2020 | Duration: 1d 3h:50m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1127046345 | Bytes Rx: 1218789237 | IP Addr: 10.150.238.47 | Public IP: 49.204.179.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:07 IST Fri May 29 2020 | Duration: 1d 3h:50m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1127046345 | Bytes Rx: 1218789237 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236400 | Audit Session ID: 0a96cf6a39b700005ed08b1f | Security Group Tag: none | EasyVPN: 0 |Session ID: 236400 | Audit Session ID: 0a96cf6a39b700005ed08b1f | Security Group Tag: none | EasyVPN: 0 ||
Username: svishwa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.233 | Public IP: 106.193.152.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:06:38 IST Fri May 29 2020 | Duration: 1d 3h:23m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1092554568 | Bytes Rx: 461383045 | IP Addr: 10.150.238.233 | Public IP: 106.193.152.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:06:38 IST Fri May 29 2020 | Duration: 1d 3h:23m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1092554568 | Bytes Rx: 461383045 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236587 | Audit Session ID: 0a96cf6a39c2b0005ed09156 | Security Group Tag: none | EasyVPN: 0 |Session ID: 236587 | Audit Session ID: 0a96cf6a39c2b0005ed09156 | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.52 | Public IP: 223.235.95.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:59 IST Fri May 29 2020 | Duration: 23h:18m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 205969401 | Bytes Rx: 160220795 | IP Addr: 10.150.238.52 | Public IP: 223.235.95.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:59 IST Fri May 29 2020 | Duration: 23h:18m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 205969401 | Bytes Rx: 160220795 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 238002 | Audit Session ID: 0a96cf6a3a1b20005ed0cad7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 238002 | Audit Session ID: 0a96cf6a3a1b20005ed0cad7 | Security Group Tag: none | EasyVPN: 0 ||
Username: awdhesh.singh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.103 | Public IP: 45.119.132.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:44:04 IST Fri May 29 2020 | Duration: 18h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 879638368 | Bytes Rx: 177675740 | IP Addr: 10.150.239.103 | Public IP: 45.119.132.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:44:04 IST Fri May 29 2020 | Duration: 18h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 879638368 | Bytes Rx: 177675740 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239032 | Audit Session ID: 0a96cf6a3a5b80005ed10a9c | Security Group Tag: none | EasyVPN: 0 |Session ID: 239032 | Audit Session ID: 0a96cf6a3a5b80005ed10a9c | Security Group Tag: none | EasyVPN: 0 ||
Username: AGarai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.182 | Public IP: 106.193.251.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:17:44 IST Sat May 30 2020 | Duration: 7h:12m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 903679839 | Bytes Rx: 201097020 | IP Addr: 10.150.239.182 | Public IP: 106.193.251.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:17:44 IST Sat May 30 2020 | Duration: 7h:12m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 903679839 | Bytes Rx: 201097020 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239725 | Audit Session ID: 0a96cf6a3a86d0005ed1ad30 | Security Group Tag: none | EasyVPN: 0 |Session ID: 239725 | Audit Session ID: 0a96cf6a3a86d0005ed1ad30 | Security Group Tag: none | EasyVPN: 0 ||
Username: anurbhad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.186 | Public IP: 103.252.52.179 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:37 IST Sat May 30 2020 | Duration: 7h:09m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 382777658 | Bytes Rx: 89117769 | IP Addr: 10.150.239.186 | Public IP: 103.252.52.179 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:20:37 IST Sat May 30 2020 | Duration: 7h:09m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 382777658 | Bytes Rx: 89117769 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239728 | Audit Session ID: 0a96cf6a3a8700005ed1addd | Security Group Tag: none | EasyVPN: 0 |Session ID: 239728 | Audit Session ID: 0a96cf6a3a8700005ed1addd | Security Group Tag: none | EasyVPN: 0 ||
