sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: snallapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.103 | Public IP: 157.44.155.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:40 IST Wed Jun 10 2020 | Duration: 5h:36m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 223188872 | Bytes Rx: 118305996 | IP Addr: 10.149.233.103 | Public IP: 157.44.155.97 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:40 IST Wed Jun 10 2020 | Duration: 5h:36m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 223188872 | Bytes Rx: 118305996 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143424 | Audit Session ID: 0a95072a230400005ee02938 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143424 | Audit Session ID: 0a95072a230400005ee02938 | Security Group Tag: none | EasyVPN: 0 ||
Username: sasikuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.105 | Public IP: 157.51.86.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:29 IST Wed Jun 10 2020 | Duration: 5h:36m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 79196196 | Bytes Rx: 68615635 | IP Addr: 10.149.233.105 | Public IP: 157.51.86.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:29 IST Wed Jun 10 2020 | Duration: 5h:36m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 79196196 | Bytes Rx: 68615635 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143426 | Audit Session ID: 0a95072a230420005ee02969 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143426 | Audit Session ID: 0a95072a230420005ee02969 | Security Group Tag: none | EasyVPN: 0 ||
Username: npasupul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.107 | Public IP: 115.98.0.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:58 IST Wed Jun 10 2020 | Duration: 4h:59m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 152123010 | Bytes Rx: 81316850 | IP Addr: 10.149.233.107 | Public IP: 115.98.0.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:58 IST Wed Jun 10 2020 | Duration: 4h:59m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 152123010 | Bytes Rx: 81316850 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143434 | Audit Session ID: 0a95072a2304a0005ee031f6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143434 | Audit Session ID: 0a95072a2304a0005ee031f6 | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.112 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:14 IST Wed Jun 10 2020 | Duration: 4h:56m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1056452019 | Bytes Rx: 965310179 | IP Addr: 10.149.233.112 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:14 IST Wed Jun 10 2020 | Duration: 4h:56m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1056452019 | Bytes Rx: 965310179 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143438 | Audit Session ID: 0a95072a2304e0005ee032ba | Security Group Tag: none | EasyVPN: 0 |Session ID: 143438 | Audit Session ID: 0a95072a2304e0005ee032ba | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.114 | Public IP: 115.97.75.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:48 IST Wed Jun 10 2020 | Duration: 4h:55m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 480767905 | Bytes Rx: 124684375 | IP Addr: 10.149.233.114 | Public IP: 115.97.75.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:48 IST Wed Jun 10 2020 | Duration: 4h:55m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 480767905 | Bytes Rx: 124684375 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143440 | Audit Session ID: 0a95072a230500005ee032dc | Security Group Tag: none | EasyVPN: 0 |Session ID: 143440 | Audit Session ID: 0a95072a230500005ee032dc | Security Group Tag: none | EasyVPN: 0 ||
Username: Atapkire | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.118 | Public IP: 157.33.178.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:44 IST Wed Jun 10 2020 | Duration: 4h:47m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 603018838 | Bytes Rx: 98124437 | IP Addr: 10.149.233.118 | Public IP: 157.33.178.206 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:44 IST Wed Jun 10 2020 | Duration: 4h:47m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 603018838 | Bytes Rx: 98124437 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143444 | Audit Session ID: 0a95072a230540005ee034b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143444 | Audit Session ID: 0a95072a230540005ee034b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: DeSanaka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.70 | Public IP: 49.206.210.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:40 IST Wed Jun 10 2020 | Duration: 4h:39m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 520480688 | Bytes Rx: 75062625 | IP Addr: 10.149.232.70 | Public IP: 49.206.210.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:40 IST Wed Jun 10 2020 | Duration: 4h:39m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 520480688 | Bytes Rx: 75062625 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143449 | Audit Session ID: 0a95072a230590005ee03694 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143449 | Audit Session ID: 0a95072a230590005ee03694 | Security Group Tag: none | EasyVPN: 0 ||
Username: lvajja | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.162 | Public IP: 59.96.159.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:48 IST Wed Jun 10 2020 | Duration: 4h:30m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 732851782 | Bytes Rx: 400775509 | IP Addr: 10.149.232.162 | Public IP: 59.96.159.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:48 IST Wed Jun 10 2020 | Duration: 4h:30m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 732851782 | Bytes Rx: 400775509 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143451 | Audit Session ID: 0a95072a2305b0005ee038b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143451 | Audit Session ID: 0a95072a2305b0005ee038b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: ayogesh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.161 | Public IP: 157.50.94.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:00 IST Wed Jun 10 2020 | Duration: 4h:30m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 92576466 | Bytes Rx: 58969589 | IP Addr: 10.149.232.161 | Public IP: 157.50.94.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:05:00 IST Wed Jun 10 2020 | Duration: 4h:30m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 92576466 | Bytes Rx: 58969589 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143452 | Audit Session ID: 0a95072a2305c0005ee038c4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143452 | Audit Session ID: 0a95072a2305c0005ee038c4 | Security Group Tag: none | EasyVPN: 0 ||
Username: cpugazhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.163 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Wed Jun 10 2020 | Duration: 4h:29m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 370088940 | Bytes Rx: 73665521 | IP Addr: 10.149.232.163 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:06:33 IST Wed Jun 10 2020 | Duration: 4h:29m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 370088940 | Bytes Rx: 73665521 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143454 | Audit Session ID: 0a95072a2305e0005ee03921 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143454 | Audit Session ID: 0a95072a2305e0005ee03921 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksubrama | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.153 | Public IP: 42.111.132.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:53 IST Wed Jun 10 2020 | Duration: 4h:25m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 441888138 | Bytes Rx: 613395150 | IP Addr: 10.149.233.153 | Public IP: 42.111.132.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:53 IST Wed Jun 10 2020 | Duration: 4h:25m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 441888138 | Bytes Rx: 613395150 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 143455 | Audit Session ID: 0a95072a2305f0005ee039e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 143455 | Audit Session ID: 0a95072a2305f0005ee039e9 | Security Group Tag: none | EasyVPN: 0 ||
