sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 2d 14h:12m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 915502878 | Bytes Rx: 495351921 | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 2d 14h:12m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 915502878 | Bytes Rx: 495351921 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 |Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.71 | Public IP: 182.57.216.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 1d 19h:22m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1922905373 | Bytes Rx: 605794385 | IP Addr: 10.150.244.71 | Public IP: 182.57.216.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 1d 19h:22m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1922905373 | Bytes Rx: 605794385 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunPawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 1d 18h:18m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 331130283 | Bytes Rx: 448481985 | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 1d 18h:18m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 331130283 | Bytes Rx: 448481985 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 ||
Username: shubhsri | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.17 | Public IP: 122.163.238.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:35 IST Sat Jun 6 2020 | Duration: 20h:16m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 894762959 | Bytes Rx: 265764854 | IP Addr: 10.150.237.17 | Public IP: 122.163.238.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:35 IST Sat Jun 6 2020 | Duration: 20h:16m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 894762959 | Bytes Rx: 265764854 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 288773 | Audit Session ID: 0a96cf69468050005edb2113 | Security Group Tag: none | EasyVPN: 0 |Session ID: 288773 | Audit Session ID: 0a96cf69468050005edb2113 | Security Group Tag: none | EasyVPN: 0 ||
Username: rahulmar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.162 | Public IP: 103.48.100.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:03:04 IST Sat Jun 6 2020 | Duration: 16h:36m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 514876858 | Bytes Rx: 92431142 | IP Addr: 10.150.237.162 | Public IP: 103.48.100.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:03:04 IST Sat Jun 6 2020 | Duration: 16h:36m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 514876858 | Bytes Rx: 92431142 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 289432 | Audit Session ID: 0a96cf6946a980005edb54c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 289432 | Audit Session ID: 0a96cf6946a980005edb54c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.49 | Public IP: 183.87.42.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:27:43 IST Sat Jun 6 2020 | Duration: 11h:11m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 850411599 | Bytes Rx: 88639205 | IP Addr: 10.150.237.49 | Public IP: 183.87.42.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:27:43 IST Sat Jun 6 2020 | Duration: 11h:11m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 850411599 | Bytes Rx: 88639205 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290199 | Audit Session ID: 0a96cf6946d970005edba0d7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290199 | Audit Session ID: 0a96cf6946d970005edba0d7 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.54 | Public IP: 103.110.253.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:34:16 IST Sat Jun 6 2020 | Duration: 11h:04m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 291665629 | Bytes Rx: 107523339 | IP Addr: 10.150.237.54 | Public IP: 103.110.253.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:34:16 IST Sat Jun 6 2020 | Duration: 11h:04m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 291665629 | Bytes Rx: 107523339 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290220 | Audit Session ID: 0a96cf6946dac0005edba260 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290220 | Audit Session ID: 0a96cf6946dac0005edba260 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.231 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:35:50 IST Sat Jun 6 2020 | Duration: 11h:03m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 58463201 | Bytes Rx: 34921493 | IP Addr: 10.150.236.231 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:35:50 IST Sat Jun 6 2020 | Duration: 11h:03m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 58463201 | Bytes Rx: 34921493 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290225 | Audit Session ID: 0a96cf6946db10005edba2be | Security Group Tag: none | EasyVPN: 0 |Session ID: 290225 | Audit Session ID: 0a96cf6946db10005edba2be | Security Group Tag: none | EasyVPN: 0 ||
Username: sshelar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.70 | Public IP: 42.108.228.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:24:50 IST Sat Jun 6 2020 | Duration: 10h:14m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1429432646 | Bytes Rx: 254671558 | IP Addr: 10.150.237.70 | Public IP: 42.108.228.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:24:50 IST Sat Jun 6 2020 | Duration: 10h:14m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1429432646 | Bytes Rx: 254671558 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290313 | Audit Session ID: 0a96cf6946e090005edbae3a | Security Group Tag: none | EasyVPN: 0 |Session ID: 290313 | Audit Session ID: 0a96cf6946e090005edbae3a | Security Group Tag: none | EasyVPN: 0 ||
Username: shazari | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.228 | Public IP: 45.124.51.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:29:06 IST Sat Jun 6 2020 | Duration: 10h:10m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1508599472 | Bytes Rx: 271241406 | IP Addr: 10.150.236.228 | Public IP: 45.124.51.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:29:06 IST Sat Jun 6 2020 | Duration: 10h:10m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 1508599472 | Bytes Rx: 271241406 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290323 | Audit Session ID: 0a96cf6946e130005edbaf3a | Security Group Tag: none | EasyVPN: 0 |Session ID: 290323 | Audit Session ID: 0a96cf6946e130005edbaf3a | Security Group Tag: none | EasyVPN: 0 ||
Username: hbhat | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.164 | Public IP: 103.210.201.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:32:57 IST Sat Jun 6 2020 | Duration: 10h:06m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1116517352 | Bytes Rx: 317199139 | IP Addr: 10.150.237.164 | Public IP: 103.210.201.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:32:57 IST Sat Jun 6 2020 | Duration: 10h:06m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1116517352 | Bytes Rx: 317199139 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 290332 | Audit Session ID: 0a96cf6946e1c0005edbb021 | Security Group Tag: none | EasyVPN: 0 |Session ID: 290332 | Audit Session ID: 0a96cf6946e1c0005edbb021 | Security Group Tag: none | EasyVPN: 0 ||
