sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 3d 20h:33m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 59239253451 | Bytes Rx: 3319604399 | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 3d 20h:33m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 59239253451 | Bytes Rx: 3319604399 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 2d 7h:31m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 432041036 | Bytes Rx: 642244499 | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 2d 7h:31m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 432041036 | Bytes Rx: 642244499 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 ||
Username: ADe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 2d 6h:37m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1399533724 | Bytes Rx: 933608605 | IP Addr: 10.149.233.27 | Public IP: 223.191.1.181 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:24:57 IST Thu Jun 18 2020 | Duration: 2d 6h:37m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1399533724 | Bytes Rx: 933608605 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 159119 | Audit Session ID: 0a95072a26d8f0005eeb01b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: sathkuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.240.37 | Public IP: 49.37.198.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:25 IST Fri Jun 19 2020 | Duration: 1d 2h:56m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 1510700668 | Bytes Rx: 1235103749 | IP Addr: 10.149.240.37 | Public IP: 49.37.198.32 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:06:25 IST Fri Jun 19 2020 | Duration: 1d 2h:56m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 1510700668 | Bytes Rx: 1235103749 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162277 | Audit Session ID: 0a95072a279e50005eec8719 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162277 | Audit Session ID: 0a95072a279e50005eec8719 | Security Group Tag: none | EasyVPN: 0 ||
Username: kupawan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.15 | Public IP: 123.201.100.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:07:14 IST Sat Jun 20 2020 | Duration: 17h:55m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 369836837 | Bytes Rx: 101534089 | IP Addr: 10.149.233.15 | Public IP: 123.201.100.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:07:14 IST Sat Jun 20 2020 | Duration: 17h:55m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 369836837 | Bytes Rx: 101534089 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163011 | Audit Session ID: 0a95072a27cc30005eed05da | Security Group Tag: none | EasyVPN: 0 |Session ID: 163011 | Audit Session ID: 0a95072a27cc30005eed05da | Security Group Tag: none | EasyVPN: 0 ||
Username: dkarale | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.59 | Public IP: 157.33.161.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:39 IST Sat Jun 20 2020 | Duration: 8h:55m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 210047525 | Bytes Rx: 68105644 | IP Addr: 10.149.233.59 | Public IP: 157.33.161.232 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:07:39 IST Sat Jun 20 2020 | Duration: 8h:55m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 210047525 | Bytes Rx: 68105644 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163586 | Audit Session ID: 0a95072a27f020005eed8483 | Security Group Tag: none | EasyVPN: 0 |Session ID: 163586 | Audit Session ID: 0a95072a27f020005eed8483 | Security Group Tag: none | EasyVPN: 0 ||
Username: nkumaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.242 | Public IP: 157.50.190.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:10:58 IST Sat Jun 20 2020 | Duration: 8h:51m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 200149425 | Bytes Rx: 82822589 | IP Addr: 10.149.233.242 | Public IP: 157.50.190.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:10:58 IST Sat Jun 20 2020 | Duration: 8h:51m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 200149425 | Bytes Rx: 82822589 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163593 | Audit Session ID: 0a95072a27f090005eed854a | Security Group Tag: none | EasyVPN: 0 |Session ID: 163593 | Audit Session ID: 0a95072a27f090005eed854a | Security Group Tag: none | EasyVPN: 0 ||
Username: sivnatar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC6 | IP Addr: 10.149.248.102 | Public IP: 157.50.1.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:44:27 IST Sat Jun 20 2020 | Duration: 8h:18m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 646612376 | Bytes Rx: 400797252 | IP Addr: 10.149.248.102 | Public IP: 157.50.1.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:44:27 IST Sat Jun 20 2020 | Duration: 8h:18m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 646612376 | Bytes Rx: 400797252 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163628 | Audit Session ID: 0a95072a27f2c0005eed8d23 | Security Group Tag: none | EasyVPN: 0 |Session ID: 163628 | Audit Session ID: 0a95072a27f2c0005eed8d23 | Security Group Tag: none | EasyVPN: 0 ||
Username: nramshet | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.107 | Public IP: 49.248.231.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:46:42 IST Sat Jun 20 2020 | Duration: 8h:16m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 349373770 | Bytes Rx: 126863187 | IP Addr: 10.149.232.107 | Public IP: 49.248.231.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:46:42 IST Sat Jun 20 2020 | Duration: 8h:16m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 349373770 | Bytes Rx: 126863187 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163631 | Audit Session ID: 0a95072a27f2f0005eed8daa | Security Group Tag: none | EasyVPN: 0 |Session ID: 163631 | Audit Session ID: 0a95072a27f2f0005eed8daa | Security Group Tag: none | EasyVPN: 0 ||
Username: Anilnair | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.136 | Public IP: 137.97.187.79 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:50:42 IST Sat Jun 20 2020 | Duration: 8h:12m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 190453437 | Bytes Rx: 72943649 | IP Addr: 10.149.232.136 | Public IP: 137.97.187.79 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:50:42 IST Sat Jun 20 2020 | Duration: 8h:12m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 190453437 | Bytes Rx: 72943649 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163640 | Audit Session ID: 0a95072a27f380005eed8e9a | Security Group Tag: none | EasyVPN: 0 |Session ID: 163640 | Audit Session ID: 0a95072a27f380005eed8e9a | Security Group Tag: none | EasyVPN: 0 ||
Username: niprabhu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.163 | Public IP: 49.206.127.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:25:04 IST Sat Jun 20 2020 | Duration: 7h:37m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1244012574 | Bytes Rx: 231020481 | IP Addr: 10.149.232.163 | Public IP: 49.206.127.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:25:04 IST Sat Jun 20 2020 | Duration: 7h:37m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1244012574 | Bytes Rx: 231020481 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 163677 | Audit Session ID: 0a95072a27f5d0005eed96a8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 163677 | Audit Session ID: 0a95072a27f5d0005eed96a8 | Security Group Tag: none | EasyVPN: 0 ||
