sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 2d 7h:11m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 246716992 | Bytes Rx: 121292409 | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 2d 7h:11m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 246716992 | Bytes Rx: 121292409 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 ||
Username: senthild | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 21h:43m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3770305801 | Bytes Rx: 1053127168 | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 21h:43m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 3770305801 | Bytes Rx: 1053127168 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 |Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 ||
Username: salsonaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.2 | Public IP: 45.127.45.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:04 IST Sun Jun 7 2020 | Duration: 10h:26m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 763686083 | Bytes Rx: 246137298 | IP Addr: 10.149.232.2 | Public IP: 45.127.45.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:04 IST Sun Jun 7 2020 | Duration: 10h:26m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 763686083 | Bytes Rx: 246137298 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137688 | Audit Session ID: 0a95072a219d80005edc44c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137688 | Audit Session ID: 0a95072a219d80005edc44c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: sadiks | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.192 | Public IP: 103.221.248.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:29:06 IST Sun Jun 7 2020 | Duration: 10h:04m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1234077142 | Bytes Rx: 228928534 | IP Addr: 10.149.233.192 | Public IP: 103.221.248.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:29:06 IST Sun Jun 7 2020 | Duration: 10h:04m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1234077142 | Bytes Rx: 228928534 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137698 | Audit Session ID: 0a95072a219e20005edc49ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 137698 | Audit Session ID: 0a95072a219e20005edc49ea | Security Group Tag: none | EasyVPN: 0 ||
Username: vinchama | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.252 | Public IP: 183.82.153.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:54 IST Sun Jun 7 2020 | Duration: 9h:33m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 511297777 | Bytes Rx: 113492624 | IP Addr: 10.149.233.252 | Public IP: 183.82.153.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:59:54 IST Sun Jun 7 2020 | Duration: 9h:33m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 511297777 | Bytes Rx: 113492624 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137739 | Audit Session ID: 0a95072a21a0b0005edc5122 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137739 | Audit Session ID: 0a95072a21a0b0005edc5122 | Security Group Tag: none | EasyVPN: 0 ||
Username: AlkaMane | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.17 | Public IP: 202.177.248.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:02:15 IST Sun Jun 7 2020 | Duration: 8h:31m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1132677900 | Bytes Rx: 160943237 | IP Addr: 10.149.232.17 | Public IP: 202.177.248.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:02:15 IST Sun Jun 7 2020 | Duration: 8h:31m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1132677900 | Bytes Rx: 160943237 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137768 | Audit Session ID: 0a95072a21a280005edc5fbf | Security Group Tag: none | EasyVPN: 0 |Session ID: 137768 | Audit Session ID: 0a95072a21a280005edc5fbf | Security Group Tag: none | EasyVPN: 0 ||
Username: ChetKamb | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.19 | Public IP: 157.33.188.72 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:04:32 IST Sun Jun 7 2020 | Duration: 8h:29m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 499349324 | Bytes Rx: 144610860 | IP Addr: 10.149.232.19 | Public IP: 157.33.188.72 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:04:32 IST Sun Jun 7 2020 | Duration: 8h:29m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 499349324 | Bytes Rx: 144610860 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137771 | Audit Session ID: 0a95072a21a2b0005edc6048 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137771 | Audit Session ID: 0a95072a21a2b0005edc6048 | Security Group Tag: none | EasyVPN: 0 ||
Username: anwshaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.47 | Public IP: 27.59.194.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:17:08 IST Sun Jun 7 2020 | Duration: 8h:16m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 163935211 | Bytes Rx: 75437501 | IP Addr: 10.149.232.47 | Public IP: 27.59.194.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:17:08 IST Sun Jun 7 2020 | Duration: 8h:16m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 163935211 | Bytes Rx: 75437501 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137785 | Audit Session ID: 0a95072a21a390005edc633c | Security Group Tag: none | EasyVPN: 0 |Session ID: 137785 | Audit Session ID: 0a95072a21a390005edc633c | Security Group Tag: none | EasyVPN: 0 ||
Username: Mpithdiy | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.25 | Public IP: 106.66.56.192 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:54:35 IST Sun Jun 7 2020 | Duration: 7h:39m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2475768558 | Bytes Rx: 202537592 | IP Addr: 10.149.232.25 | Public IP: 106.66.56.192 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 09:54:35 IST Sun Jun 7 2020 | Duration: 7h:39m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2475768558 | Bytes Rx: 202537592 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137799 | Audit Session ID: 0a95072a21a470005edc6c03 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137799 | Audit Session ID: 0a95072a21a470005edc6c03 | Security Group Tag: none | EasyVPN: 0 ||
Username: bamohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.28 | Public IP: 183.82.180.236 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:10 IST Sun Jun 7 2020 | Duration: 7h:36m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 303916607 | Bytes Rx: 126005381 | IP Addr: 10.149.232.28 | Public IP: 183.82.180.236 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:10 IST Sun Jun 7 2020 | Duration: 7h:36m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 303916607 | Bytes Rx: 126005381 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137801 | Audit Session ID: 0a95072a21a490005edc6c9e | Security Group Tag: none | EasyVPN: 0 |Session ID: 137801 | Audit Session ID: 0a95072a21a490005edc6c9e | Security Group Tag: none | EasyVPN: 0 ||
Username: ajay.munjal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.29 | Public IP: 106.201.87.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:58:00 IST Sun Jun 7 2020 | Duration: 7h:35m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 138062646 | Bytes Rx: 99486201 | IP Addr: 10.149.232.29 | Public IP: 106.201.87.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:58:00 IST Sun Jun 7 2020 | Duration: 7h:35m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 138062646 | Bytes Rx: 99486201 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137802 | Audit Session ID: 0a95072a21a4a0005edc6cd0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137802 | Audit Session ID: 0a95072a21a4a0005edc6cd0 | Security Group Tag: none | EasyVPN: 0 ||
