sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: kvkrishn | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.191 | Public IP: 223.229.187.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 1d 21h:43m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1153655524 | Bytes Rx: 481249111 | IP Addr: 10.149.234.191 | Public IP: 223.229.187.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 1d 21h:43m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1153655524 | Bytes Rx: 481249111 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 1d 21h:35m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 3445022547 | Bytes Rx: 2063384411 | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 1d 21h:35m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 3445022547 | Bytes Rx: 2063384411 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 |Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.165 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:16:54 IST Mon Jun 15 2020 | Duration: 1d 17h:18m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 731230044 | Bytes Rx: 296054300 | IP Addr: 10.149.235.165 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:16:54 IST Mon Jun 15 2020 | Duration: 1d 17h:18m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 731230044 | Bytes Rx: 296054300 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170619 | Audit Session ID: 0a95072b29a7b0005ee7357e | Security Group Tag: none | EasyVPN: 0 |Session ID: 170619 | Audit Session ID: 0a95072b29a7b0005ee7357e | Security Group Tag: none | EasyVPN: 0 ||
Username: vigdevar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.242 | Public IP: 112.133.236.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:07 IST Tue Jun 16 2020 | Duration: 19h:34m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 262997635 | Bytes Rx: 191166581 | IP Addr: 10.149.234.242 | Public IP: 112.133.236.88 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:01:07 IST Tue Jun 16 2020 | Duration: 19h:34m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 262997635 | Bytes Rx: 191166581 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172498 | Audit Session ID: 0a95072b2a1d20005ee8672b | Security Group Tag: none | EasyVPN: 0 |Session ID: 172498 | Audit Session ID: 0a95072b2a1d20005ee8672b | Security Group Tag: none | EasyVPN: 0 ||
Username: vkamatch | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.150 | Public IP: 49.207.132.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:21:38 IST Tue Jun 16 2020 | Duration: 17h:14m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 488870858 | Bytes Rx: 186204452 | IP Addr: 10.149.235.150 | Public IP: 49.207.132.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:21:38 IST Tue Jun 16 2020 | Duration: 17h:14m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 488870858 | Bytes Rx: 186204452 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173066 | Audit Session ID: 0a95072b2a40a0005ee8881a | Security Group Tag: none | EasyVPN: 0 |Session ID: 173066 | Audit Session ID: 0a95072b2a40a0005ee8881a | Security Group Tag: none | EasyVPN: 0 ||
Username: rekambar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.242.206 | Public IP: 103.98.63.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:28:40 IST Tue Jun 16 2020 | Duration: 15h:07m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 203185260 | Bytes Rx: 101044244 | IP Addr: 10.149.242.206 | Public IP: 103.98.63.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:28:40 IST Tue Jun 16 2020 | Duration: 15h:07m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 203185260 | Bytes Rx: 101044244 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173363 | Audit Session ID: 0a95072b2a5330005ee8a5e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173363 | Audit Session ID: 0a95072b2a5330005ee8a5e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: vishvard | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.9 | Public IP: 27.59.217.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:45:23 IST Tue Jun 16 2020 | Duration: 13h:50m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1550018656 | Bytes Rx: 365749292 | IP Addr: 10.149.235.9 | Public IP: 27.59.217.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:45:23 IST Tue Jun 16 2020 | Duration: 13h:50m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 1550018656 | Bytes Rx: 365749292 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173530 | Audit Session ID: 0a95072b2a5da0005ee8b7db | Security Group Tag: none | EasyVPN: 0 |Session ID: 173530 | Audit Session ID: 0a95072b2a5da0005ee8b7db | Security Group Tag: none | EasyVPN: 0 ||
Username: rsawarde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.152 | Public IP: 203.212.209.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:00:34 IST Tue Jun 16 2020 | Duration: 12h:35m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 859325228 | Bytes Rx: 283827695 | IP Addr: 10.149.235.152 | Public IP: 203.212.209.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:00:34 IST Tue Jun 16 2020 | Duration: 12h:35m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 859325228 | Bytes Rx: 283827695 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173699 | Audit Session ID: 0a95072b2a6830005ee8c97a | Security Group Tag: none | EasyVPN: 0 |Session ID: 173699 | Audit Session ID: 0a95072b2a6830005ee8c97a | Security Group Tag: none | EasyVPN: 0 ||
Username: shubhsri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.61 | Public IP: 122.163.144.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:37 IST Tue Jun 16 2020 | Duration: 11h:23m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 136462203 | Bytes Rx: 152922186 | IP Addr: 10.149.235.61 | Public IP: 122.163.144.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:37 IST Tue Jun 16 2020 | Duration: 11h:23m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 136462203 | Bytes Rx: 152922186 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173786 | Audit Session ID: 0a95072b2a6da0005ee8da5d | Security Group Tag: none | EasyVPN: 0 |Session ID: 173786 | Audit Session ID: 0a95072b2a6da0005ee8da5d | Security Group Tag: none | EasyVPN: 0 ||
Username: pkawatka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.136 | Public IP: 112.133.251.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:45:06 IST Tue Jun 16 2020 | Duration: 10h:50m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 863258846 | Bytes Rx: 224665046 | IP Addr: 10.149.234.136 | Public IP: 112.133.251.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:45:06 IST Tue Jun 16 2020 | Duration: 10h:50m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 863258846 | Bytes Rx: 224665046 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173819 | Audit Session ID: 0a95072b2a6fb0005ee8e1fa | Security Group Tag: none | EasyVPN: 0 |Session ID: 173819 | Audit Session ID: 0a95072b2a6fb0005ee8e1fa | Security Group Tag: none | EasyVPN: 0 ||
Username: MBagwan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.195 | Public IP: 103.195.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:56:25 IST Tue Jun 16 2020 | Duration: 10h:39m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 981649606 | Bytes Rx: 239888231 | IP Addr: 10.149.235.195 | Public IP: 103.195.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:56:25 IST Tue Jun 16 2020 | Duration: 10h:39m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 981649606 | Bytes Rx: 239888231 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173851 | Audit Session ID: 0a95072b2a71b0005ee8e4a1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173851 | Audit Session ID: 0a95072b2a71b0005ee8e4a1 | Security Group Tag: none | EasyVPN: 0 ||
