sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.97 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:32:29 UTC Thu May 21 2020 | Duration: 8d 23h:27m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 6033550882 | Bytes Rx: 1919201772 | IP Addr: 10.145.233.97 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:32:29 UTC Thu May 21 2020 | Duration: 8d 23h:27m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 6033550882 | Bytes Rx: 1919201772 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 74952 | Audit Session ID: 0a910728124c80005ec63c9d | Security Group Tag: none | EasyVPN: 0 |Session ID: 74952 | Audit Session ID: 0a910728124c80005ec63c9d | Security Group Tag: none | EasyVPN: 0 ||
Username: vinaysh | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.55 | Public IP: 90.214.218.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:49 UTC Fri May 22 2020 | Duration: 8d 0h:48m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 9735783512 | Bytes Rx: 8821493055 | IP Addr: 10.145.232.55 | Public IP: 90.214.218.223 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:49 UTC Fri May 22 2020 | Duration: 8d 0h:48m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 9735783512 | Bytes Rx: 8821493055 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 75326 | Audit Session ID: 0a9107281263e0005ec77b35 | Security Group Tag: none | EasyVPN: 0 |Session ID: 75326 | Audit Session ID: 0a9107281263e0005ec77b35 | Security Group Tag: none | EasyVPN: 0 ||
Username: shreeshp | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.71 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:00:29 UTC Mon May 25 2020 | Duration: 4d 20h:59m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 8454610717 | Bytes Rx: 12733486824 | IP Addr: 10.145.232.71 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:00:29 UTC Mon May 25 2020 | Duration: 4d 20h:59m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 8454610717 | Bytes Rx: 12733486824 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 76192 | Audit Session ID: 0a910728129a00005ecba54d | Security Group Tag: none | EasyVPN: 0 |Session ID: 76192 | Audit Session ID: 0a910728129a00005ecba54d | Security Group Tag: none | EasyVPN: 0 ||
Username: ssatyav | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.199 | Public IP: 42.111.8.124 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:48:31 UTC Mon May 25 2020 | Duration: 4d 17h:11m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 3413843878 | Bytes Rx: 498873592 | IP Addr: 10.145.233.199 | Public IP: 42.111.8.124 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:48:31 UTC Mon May 25 2020 | Duration: 4d 17h:11m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 3413843878 | Bytes Rx: 498873592 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 76236 | Audit Session ID: 0a910728129cc0005ecbdabf | Security Group Tag: none | EasyVPN: 0 |Session ID: 76236 | Audit Session ID: 0a910728129cc0005ecbdabf | Security Group Tag: none | EasyVPN: 0 ||
Username: pavan.manbol | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.120 | Public IP: 1.23.230.212 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:35:28 UTC Wed May 27 2020 | Duration: 2d 20h:24m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 5747785561 | Bytes Rx: 687109750 | IP Addr: 10.145.232.120 | Public IP: 1.23.230.212 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 11:35:28 UTC Wed May 27 2020 | Duration: 2d 20h:24m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 5747785561 | Bytes Rx: 687109750 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77026 | Audit Session ID: 0a91072812ce20005ece5080 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77026 | Audit Session ID: 0a91072812ce20005ece5080 | Security Group Tag: none | EasyVPN: 0 ||
Username: jmoulder | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.144 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:48:41 UTC Wed May 27 2020 | Duration: 2d 20h:11m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1611797399 | Bytes Rx: 353625490 | IP Addr: 10.145.232.144 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:48:41 UTC Wed May 27 2020 | Duration: 2d 20h:11m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1611797399 | Bytes Rx: 353625490 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77035 | Audit Session ID: 0a91072812ceb0005ece5399 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77035 | Audit Session ID: 0a91072812ceb0005ece5399 | Security Group Tag: none | EasyVPN: 0 ||
Username: krahi | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.218 | Public IP: 42.111.9.122 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:29:34 UTC Thu May 28 2020 | Duration: 1d 22h:30m:44s | Inactivity:  1d 16h:14m:22s | Bytes Tx: 950779433 | Bytes Rx: 218229294 | IP Addr: 10.145.232.218 | Public IP: 42.111.9.122 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:29:34 UTC Thu May 28 2020 | Duration: 1d 22h:30m:44s | Inactivity:  1d 16h:14m:22s | Bytes Tx: 950779433 | Bytes Rx: 218229294 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77380 | Audit Session ID: 0a91072812e440005ecf847e | Security Group Tag: none | EasyVPN: 0 |Session ID: 77380 | Audit Session ID: 0a91072812e440005ecf847e | Security Group Tag: none | EasyVPN: 0 ||
Username: chaigupt | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.237 | Public IP: 106.209.179.210 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:57:11 UTC Thu May 28 2020 | Duration: 1d 22h:03m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 173823722 | Bytes Rx: 81169007 | IP Addr: 10.145.232.237 | Public IP: 106.209.179.210 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:57:11 UTC Thu May 28 2020 | Duration: 1d 22h:03m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 173823722 | Bytes Rx: 81169007 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77389 | Audit Session ID: 0a91072812e4d0005ecf8af7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77389 | Audit Session ID: 0a91072812e4d0005ecf8af7 | Security Group Tag: none | EasyVPN: 0 ||
Username: Masanz | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.232.185 | Public IP: 77.225.194.194 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:20:38 UTC Thu May 28 2020 | Duration: 1d 17h:39m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 520620922 | Bytes Rx: 1422228037 | IP Addr: 10.145.232.185 | Public IP: 77.225.194.194 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 14:20:38 UTC Thu May 28 2020 | Duration: 1d 17h:39m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 520620922 | Bytes Rx: 1422228037 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77519 | Audit Session ID: 0a91072812ecf0005ecfc8b6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77519 | Audit Session ID: 0a91072812ecf0005ecfc8b6 | Security Group Tag: none | EasyVPN: 0 ||
Username: acrawfor | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.163 | Public IP: 86.247.69.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:59:05 UTC Thu May 28 2020 | Duration: 1d 17h:01m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 982954411 | Bytes Rx: 617787169 | IP Addr: 10.145.232.163 | Public IP: 86.247.69.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:59:05 UTC Thu May 28 2020 | Duration: 1d 17h:01m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 982954411 | Bytes Rx: 617787169 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77537 | Audit Session ID: 0a91072812ee10005ecfd1b9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77537 | Audit Session ID: 0a91072812ee10005ecfd1b9 | Security Group Tag: none | EasyVPN: 0 ||
Username: dougktl | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.198 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:21:11 UTC Thu May 28 2020 | Duration: 1d 16h:39m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 932702259 | Bytes Rx: 258343791 | IP Addr: 10.145.232.198 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:21:11 UTC Thu May 28 2020 | Duration: 1d 16h:39m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 932702259 | Bytes Rx: 258343791 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77543 | Audit Session ID: 0a91072812ee70005ecfd6e7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77543 | Audit Session ID: 0a91072812ee70005ecfd6e7 | Security Group Tag: none | EasyVPN: 0 ||
