sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 1d 16h:35m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 721315007 | Bytes Rx: 368419654 | IP Addr: 10.150.237.151 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:26:39 IST Thu Jun 4 2020 | Duration: 1d 16h:35m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 721315007 | Bytes Rx: 368419654 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 |Session ID: 282837 | Audit Session ID: 0a96cf69450d50005ed8d367 | Security Group Tag: none | EasyVPN: 0 ||
Username: FehmQuai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 1d 15h:33m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1410846582 | Bytes Rx: 515126280 | IP Addr: 10.150.237.125 | Public IP: 122.162.243.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:28:24 IST Thu Jun 4 2020 | Duration: 1d 15h:33m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1410846582 | Bytes Rx: 515126280 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 283058 | Audit Session ID: 0a96cf69451b20005ed8e1e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: MuruKupp | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.56 | Public IP: 223.181.231.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:57 IST Fri Jun 5 2020 | Duration: 1d 1h:24m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1146667384 | Bytes Rx: 303025278 | IP Addr: 10.150.236.56 | Public IP: 223.181.231.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:36:57 IST Fri Jun 5 2020 | Duration: 1d 1h:24m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1146667384 | Bytes Rx: 303025278 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 284458 | Audit Session ID: 0a96cf694572a0005ed9a8c1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 284458 | Audit Session ID: 0a96cf694572a0005ed9a8c1 | Security Group Tag: none | EasyVPN: 0 ||
Username: sunilkumar.singh | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.180 | Public IP: 117.97.249.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:14 IST Fri Jun 5 2020 | Duration: 22h:00m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1003163163 | Bytes Rx: 230838115 | IP Addr: 10.150.236.180 | Public IP: 117.97.249.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:01:14 IST Fri Jun 5 2020 | Duration: 22h:00m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1003163163 | Bytes Rx: 230838115 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285422 | Audit Session ID: 0a96cf6945aee0005ed9d8a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285422 | Audit Session ID: 0a96cf6945aee0005ed9d8a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.71 | Public IP: 182.57.189.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 21h:45m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1299278807 | Bytes Rx: 391281797 | IP Addr: 10.150.244.71 | Public IP: 182.57.189.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:16:29 IST Fri Jun 5 2020 | Duration: 21h:45m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 1299278807 | Bytes Rx: 391281797 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285520 | Audit Session ID: 0a96cf6945b500005ed9dc35 | Security Group Tag: none | EasyVPN: 0 ||
Username: Sourdebn | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.169 | Public IP: 43.231.236.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:10:02 IST Fri Jun 5 2020 | Duration: 20h:51m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 215514769 | Bytes Rx: 123184136 | IP Addr: 10.150.237.169 | Public IP: 43.231.236.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:10:02 IST Fri Jun 5 2020 | Duration: 20h:51m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 215514769 | Bytes Rx: 123184136 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285801 | Audit Session ID: 0a96cf6945c690005ed9e8c2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285801 | Audit Session ID: 0a96cf6945c690005ed9e8c2 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunPawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 20h:40m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 160290904 | Bytes Rx: 207828662 | IP Addr: 10.150.237.228 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:47 IST Fri Jun 5 2020 | Duration: 20h:40m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 160290904 | Bytes Rx: 207828662 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285846 | Audit Session ID: 0a96cf6945c960005ed9eb47 | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.97.59 | Public IP: 122.177.182.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:35:10 IST Fri Jun 5 2020 | Duration: 20h:26m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 124693953 | Bytes Rx: 45732791 | IP Addr: 10.147.97.59 | Public IP: 122.177.182.120 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:35:10 IST Fri Jun 5 2020 | Duration: 20h:26m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 124693953 | Bytes Rx: 45732791 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 285921 | Audit Session ID: 0a96cf6945ce10005ed9eea6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 285921 | Audit Session ID: 0a96cf6945ce10005ed9eea6 | Security Group Tag: none | EasyVPN: 0 ||
Username: srenukun | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.147.97.73 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:01:12 IST Fri Jun 5 2020 | Duration: 19h:00m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 340733731 | Bytes Rx: 179357656 | IP Addr: 10.147.97.73 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:01:12 IST Fri Jun 5 2020 | Duration: 19h:00m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 340733731 | Bytes Rx: 179357656 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 286278 | Audit Session ID: 0a96cf6945e460005eda02d0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 286278 | Audit Session ID: 0a96cf6945e460005eda02d0 | Security Group Tag: none | EasyVPN: 0 ||
Username: AKuttan | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.83 | Public IP: 27.97.220.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:30 IST Fri Jun 5 2020 | Duration: 16h:27m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 280984621 | Bytes Rx: 63375067 | IP Addr: 10.150.244.83 | Public IP: 27.97.220.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:30 IST Fri Jun 5 2020 | Duration: 16h:27m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 280984621 | Bytes Rx: 63375067 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 286895 | Audit Session ID: 0a96cf69460af0005eda26be | Security Group Tag: none | EasyVPN: 0 |Session ID: 286895 | Audit Session ID: 0a96cf69460af0005eda26be | Security Group Tag: none | EasyVPN: 0 ||
Username: biswajit.dutta | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.38 | Public IP: 103.85.99.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:50:08 IST Fri Jun 5 2020 | Duration: 15h:11m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 552201306 | Bytes Rx: 314931448 | IP Addr: 10.150.237.38 | Public IP: 103.85.99.50 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:50:08 IST Fri Jun 5 2020 | Duration: 15h:11m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 552201306 | Bytes Rx: 314931448 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 287132 | Audit Session ID: 0a96cf694619c0005eda3878 | Security Group Tag: none | EasyVPN: 0 |Session ID: 287132 | Audit Session ID: 0a96cf694619c0005eda3878 | Security Group Tag: none | EasyVPN: 0 ||
