sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 17h:39m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 3352751068 | Bytes Rx: 683431796 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 17h:39m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 3352751068 | Bytes Rx: 683431796 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.151 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:39 IST Wed Jun 24 2020 | Duration: 18h:34m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 218784102 | Bytes Rx: 127246680 | IP Addr: 10.149.232.151 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:39 IST Wed Jun 24 2020 | Duration: 18h:34m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 218784102 | Bytes Rx: 127246680 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170677 | Audit Session ID: 0a95072a29ab50005ef2f1e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 170677 | Audit Session ID: 0a95072a29ab50005ef2f1e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrauniya | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.241.63 | Public IP: 122.172.167.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:49:04 IST Wed Jun 24 2020 | Duration: 17h:41m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 528468346 | Bytes Rx: 171681437 | IP Addr: 10.149.241.63 | Public IP: 122.172.167.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:49:04 IST Wed Jun 24 2020 | Duration: 17h:41m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 528468346 | Bytes Rx: 171681437 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170914 | Audit Session ID: 0a95072a29ba20005ef2fe68 | Security Group Tag: none | EasyVPN: 0 |Session ID: 170914 | Audit Session ID: 0a95072a29ba20005ef2fe68 | Security Group Tag: none | EasyVPN: 0 ||
Username: npasupul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.56 | Public IP: 27.6.100.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:34:29 IST Wed Jun 24 2020 | Duration: 15h:55m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 423221214 | Bytes Rx: 371840217 | IP Addr: 10.149.233.56 | Public IP: 27.6.100.181 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:34:29 IST Wed Jun 24 2020 | Duration: 15h:55m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 423221214 | Bytes Rx: 371840217 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171352 | Audit Session ID: 0a95072a29d580005ef3171d | Security Group Tag: none | EasyVPN: 0 |Session ID: 171352 | Audit Session ID: 0a95072a29d580005ef3171d | Security Group Tag: none | EasyVPN: 0 ||
Username: Vgovinda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.185 | Public IP: 223.228.157.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:09:06 IST Wed Jun 24 2020 | Duration: 14h:21m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 5085429502 | Bytes Rx: 685849416 | IP Addr: 10.149.233.185 | Public IP: 223.228.157.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:09:06 IST Wed Jun 24 2020 | Duration: 14h:21m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 5085429502 | Bytes Rx: 685849416 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171562 | Audit Session ID: 0a95072a29e2a0005ef32d4a | Security Group Tag: none | EasyVPN: 0 |Session ID: 171562 | Audit Session ID: 0a95072a29e2a0005ef32d4a | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.208 | Public IP: 122.177.207.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:10:13 IST Wed Jun 24 2020 | Duration: 12h:20m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 182243830 | Bytes Rx: 107123058 | IP Addr: 10.149.232.208 | Public IP: 122.177.207.92 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:10:13 IST Wed Jun 24 2020 | Duration: 12h:20m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 182243830 | Bytes Rx: 107123058 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171768 | Audit Session ID: 0a95072a29ef80005ef349ad | Security Group Tag: none | EasyVPN: 0 |Session ID: 171768 | Audit Session ID: 0a95072a29ef80005ef349ad | Security Group Tag: none | EasyVPN: 0 ||
Username: ASapkal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.222 | Public IP: 103.86.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:33:19 IST Wed Jun 24 2020 | Duration: 9h:56m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1364656514 | Bytes Rx: 369200816 | IP Addr: 10.149.233.222 | Public IP: 103.86.180.94 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:33:19 IST Wed Jun 24 2020 | Duration: 9h:56m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 1364656514 | Bytes Rx: 369200816 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171976 | Audit Session ID: 0a95072a29fc80005ef36b37 | Security Group Tag: none | EasyVPN: 0 |Session ID: 171976 | Audit Session ID: 0a95072a29fc80005ef36b37 | Security Group Tag: none | EasyVPN: 0 ||
Username: aadikhan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.235 | Public IP: 219.91.250.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:56:57 IST Wed Jun 24 2020 | Duration: 9h:33m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1751743333 | Bytes Rx: 208288438 | IP Addr: 10.149.233.235 | Public IP: 219.91.250.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:56:57 IST Wed Jun 24 2020 | Duration: 9h:33m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1751743333 | Bytes Rx: 208288438 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172003 | Audit Session ID: 0a95072a29fe30005ef370c1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172003 | Audit Session ID: 0a95072a29fe30005ef370c1 | Security Group Tag: none | EasyVPN: 0 ||
Username: PKATKADE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.99 | Public IP: 117.195.57.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:04:41 IST Wed Jun 24 2020 | Duration: 9h:25m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 155394707 | Bytes Rx: 76864706 | IP Addr: 10.149.232.99 | Public IP: 117.195.57.64 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:04:41 IST Wed Jun 24 2020 | Duration: 9h:25m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 155394707 | Bytes Rx: 76864706 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172016 | Audit Session ID: 0a95072a29ff00005ef37291 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172016 | Audit Session ID: 0a95072a29ff00005ef37291 | Security Group Tag: none | EasyVPN: 0 ||
Username: SanjGaik | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.4 | Public IP: 49.14.250.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:18:42 IST Wed Jun 24 2020 | Duration: 9h:11m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 377796351 | Bytes Rx: 157535318 | IP Addr: 10.149.233.4 | Public IP: 49.14.250.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:18:42 IST Wed Jun 24 2020 | Duration: 9h:11m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 377796351 | Bytes Rx: 157535318 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172035 | Audit Session ID: 0a95072a2a0030005ef375da | Security Group Tag: none | EasyVPN: 0 |Session ID: 172035 | Audit Session ID: 0a95072a2a0030005ef375da | Security Group Tag: none | EasyVPN: 0 ||
Username: hemdutta | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.236 | Public IP: 223.182.53.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:33:27 IST Wed Jun 24 2020 | Duration: 8h:56m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 328670513 | Bytes Rx: 366742528 | IP Addr: 10.149.233.236 | Public IP: 223.182.53.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:33:27 IST Wed Jun 24 2020 | Duration: 8h:56m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 328670513 | Bytes Rx: 366742528 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172043 | Audit Session ID: 0a95072a2a00b0005ef3794f | Security Group Tag: none | EasyVPN: 0 |Session ID: 172043 | Audit Session ID: 0a95072a2a00b0005ef3794f | Security Group Tag: none | EasyVPN: 0 ||
