sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.224 | Public IP: 103.241.226.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:11:43 IST Thu Jun 18 2020 | Duration: 2d 18h:20m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1784348554 | Bytes Rx: 723183422 | IP Addr: 10.149.235.224 | Public IP: 103.241.226.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:11:43 IST Thu Jun 18 2020 | Duration: 2d 18h:20m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1784348554 | Bytes Rx: 723183422 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 177298 | Audit Session ID: 0a95072b2b4920005eeb0ca7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 177298 | Audit Session ID: 0a95072b2b4920005eeb0ca7 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.12 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:24:10 IST Thu Jun 18 2020 | Duration: 2d 7h:07m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 16742452440 | Bytes Rx: 2430215169 | IP Addr: 10.149.235.12 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:24:10 IST Thu Jun 18 2020 | Duration: 2d 7h:07m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 16742452440 | Bytes Rx: 2430215169 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 178770 | Audit Session ID: 0a95072b2ba520005eebaa42 | Security Group Tag: none | EasyVPN: 0 |Session ID: 178770 | Audit Session ID: 0a95072b2ba520005eebaa42 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 1d 11h:57m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 48123860 | Bytes Rx: 60290309 | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 1d 11h:57m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 48123860 | Bytes Rx: 60290309 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.141 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:16:49 IST Fri Jun 19 2020 | Duration: 1d 8h:15m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 2230351556 | Bytes Rx: 907872234 | IP Addr: 10.149.235.141 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:16:49 IST Fri Jun 19 2020 | Duration: 1d 8h:15m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 2230351556 | Bytes Rx: 907872234 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 181270 | Audit Session ID: 0a95072b2c4160005eecebf9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 181270 | Audit Session ID: 0a95072b2c4160005eecebf9 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrbanda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.36 | Public IP: 124.123.174.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:12 IST Sat Jun 20 2020 | Duration: 20h:26m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 374908973 | Bytes Rx: 591235326 | IP Addr: 10.149.235.36 | Public IP: 124.123.174.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:12 IST Sat Jun 20 2020 | Duration: 20h:26m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 374908973 | Bytes Rx: 591235326 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 181494 | Audit Session ID: 0a95072b2c4f60005eed9200 | Security Group Tag: none | EasyVPN: 0 |Session ID: 181494 | Audit Session ID: 0a95072b2c4f60005eed9200 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vmuthu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.99 | Public IP: 182.65.34.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:43:54 IST Sat Jun 20 2020 | Duration: 10h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 65152816 | Bytes Rx: 37819231 | IP Addr: 10.149.235.99 | Public IP: 182.65.34.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:43:54 IST Sat Jun 20 2020 | Duration: 10h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 65152816 | Bytes Rx: 37819231 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182241 | Audit Session ID: 0a95072b2c7e10005eee19a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182241 | Audit Session ID: 0a95072b2c7e10005eee19a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: pritkada | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.172 | Public IP: 103.243.112.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:00:56 IST Sat Jun 20 2020 | Duration: 10h:30m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1387163906 | Bytes Rx: 279468465 | IP Addr: 10.149.234.172 | Public IP: 103.243.112.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:00:56 IST Sat Jun 20 2020 | Duration: 10h:30m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1387163906 | Bytes Rx: 279468465 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182256 | Audit Session ID: 0a95072b2c7f00005eee1da0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182256 | Audit Session ID: 0a95072b2c7f00005eee1da0 | Security Group Tag: none | EasyVPN: 0 ||
Username: anb.rao | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.102 | Public IP: 183.83.225.229 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:11:37 IST Sat Jun 20 2020 | Duration: 10h:20m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2024492703 | Bytes Rx: 810324918 | IP Addr: 10.149.235.102 | Public IP: 183.83.225.229 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:11:37 IST Sat Jun 20 2020 | Duration: 10h:20m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2024492703 | Bytes Rx: 810324918 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182266 | Audit Session ID: 0a95072b2c7fa0005eee2021 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182266 | Audit Session ID: 0a95072b2c7fa0005eee2021 | Security Group Tag: none | EasyVPN: 0 ||
Username: patilami | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.202 | Public IP: 49.35.76.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:40:28 IST Sat Jun 20 2020 | Duration: 9h:51m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 2474779191 | Bytes Rx: 312746859 | IP Addr: 10.149.234.202 | Public IP: 49.35.76.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:40:28 IST Sat Jun 20 2020 | Duration: 9h:51m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 2474779191 | Bytes Rx: 312746859 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182306 | Audit Session ID: 0a95072b2c8220005eee26e4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182306 | Audit Session ID: 0a95072b2c8220005eee26e4 | Security Group Tag: none | EasyVPN: 0 ||
Username: Atapkire | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.239 | Public IP: 49.35.45.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:41:52 IST Sat Jun 20 2020 | Duration: 9h:49m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2681873212 | Bytes Rx: 320015626 | IP Addr: 10.149.234.239 | Public IP: 49.35.45.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:41:52 IST Sat Jun 20 2020 | Duration: 9h:49m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2681873212 | Bytes Rx: 320015626 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182308 | Audit Session ID: 0a95072b2c8240005eee2738 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182308 | Audit Session ID: 0a95072b2c8240005eee2738 | Security Group Tag: none | EasyVPN: 0 ||
Username: lekhasri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.74 | Public IP: 157.50.120.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:11 IST Sat Jun 20 2020 | Duration: 9h:25m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 960852265 | Bytes Rx: 193849563 | IP Addr: 10.149.235.74 | Public IP: 157.50.120.10 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:11 IST Sat Jun 20 2020 | Duration: 9h:25m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 960852265 | Bytes Rx: 193849563 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182323 | Audit Session ID: 0a95072b2c8330005eee2ceb | Security Group Tag: none | EasyVPN: 0 |Session ID: 182323 | Audit Session ID: 0a95072b2c8330005eee2ceb | Security Group Tag: none | EasyVPN: 0 ||
