sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: smitajad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.172 | Public IP: 123.201.52.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 2d 4h:52m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 6892771458 | Bytes Rx: 332869963082 | IP Addr: 10.150.238.172 | Public IP: 123.201.52.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 2d 4h:52m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 6892771458 | Bytes Rx: 332869963082 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 1d 22h:29m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 360988863 | Bytes Rx: 2173106977 | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 1d 22h:29m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 360988863 | Bytes Rx: 2173106977 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.218 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:15 IST Tue Jun 9 2020 | Duration: 1d 2h:41m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 798364262 | Bytes Rx: 232650210 | IP Addr: 10.150.249.218 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:15 IST Tue Jun 9 2020 | Duration: 1d 2h:41m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 798364262 | Bytes Rx: 232650210 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7387 | Audit Session ID: 0a96cf6a01cdb0005edf1c0f | Security Group Tag: none | EasyVPN: 0 |Session ID: 7387 | Audit Session ID: 0a96cf6a01cdb0005edf1c0f | Security Group Tag: none | EasyVPN: 0 ||
Username: PBommina | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.245 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:10:58 IST Tue Jun 9 2020 | Duration: 23h:21m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 449933282 | Bytes Rx: 152101667 | IP Addr: 10.150.238.245 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:10:58 IST Tue Jun 9 2020 | Duration: 23h:21m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 449933282 | Bytes Rx: 152101667 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 8250 | Audit Session ID: 0a96cf6a0203a0005edf4b1a | Security Group Tag: none | EasyVPN: 0 |Session ID: 8250 | Audit Session ID: 0a96cf6a0203a0005edf4b1a | Security Group Tag: none | EasyVPN: 0 ||
Username: nishansi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.162 | Public IP: 103.221.73.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:25:42 IST Tue Jun 9 2020 | Duration: 18h:06m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 1416035147 | Bytes Rx: 235412172 | IP Addr: 10.150.239.162 | Public IP: 103.221.73.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:25:42 IST Tue Jun 9 2020 | Duration: 18h:06m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 1416035147 | Bytes Rx: 235412172 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9231 | Audit Session ID: 0a96cf6a0240f0005edf94de | Security Group Tag: none | EasyVPN: 0 |Session ID: 9231 | Audit Session ID: 0a96cf6a0240f0005edf94de | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.54 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:20:25 IST Tue Jun 9 2020 | Duration: 17h:11m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 282395285 | Bytes Rx: 66876912 | IP Addr: 10.150.239.54 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:20:25 IST Tue Jun 9 2020 | Duration: 17h:11m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 282395285 | Bytes Rx: 66876912 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9358 | Audit Session ID: 0a96cf6a0248e0005edfa1b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 9358 | Audit Session ID: 0a96cf6a0248e0005edfa1b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: monidigh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.67 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:43:04 IST Tue Jun 9 2020 | Duration: 15h:49m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 226433601 | Bytes Rx: 56322308 | IP Addr: 10.150.239.67 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:43:04 IST Tue Jun 9 2020 | Duration: 15h:49m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 226433601 | Bytes Rx: 56322308 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9522 | Audit Session ID: 0a96cf6a025320005edfb510 | Security Group Tag: none | EasyVPN: 0 |Session ID: 9522 | Audit Session ID: 0a96cf6a025320005edfb510 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgusain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.238 | Public IP: 122.179.166.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:30:57 IST Tue Jun 9 2020 | Duration: 15h:01m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 810968122 | Bytes Rx: 147172295 | IP Addr: 10.150.238.238 | Public IP: 122.179.166.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:30:57 IST Tue Jun 9 2020 | Duration: 15h:01m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 810968122 | Bytes Rx: 147172295 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9611 | Audit Session ID: 0a96cf6a0258b0005edfc049 | Security Group Tag: none | EasyVPN: 0 |Session ID: 9611 | Audit Session ID: 0a96cf6a0258b0005edfc049 | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.169 | Public IP: 157.33.155.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:14:31 IST Wed Jun 10 2020 | Duration: 13h:17m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 121443555 | Bytes Rx: 163328223 | IP Addr: 10.150.238.169 | Public IP: 157.33.155.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:14:31 IST Wed Jun 10 2020 | Duration: 13h:17m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 121443555 | Bytes Rx: 163328223 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9686 | Audit Session ID: 0a96cf6a025d60005edfd88f | Security Group Tag: none | EasyVPN: 0 |Session ID: 9686 | Audit Session ID: 0a96cf6a025d60005edfd88f | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunPawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.28 | Public IP: 103.249.89.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:39 IST Wed Jun 10 2020 | Duration: 6h:55m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1103947604 | Bytes Rx: 404086785 | IP Addr: 10.150.239.28 | Public IP: 103.249.89.6 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:39 IST Wed Jun 10 2020 | Duration: 6h:55m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1103947604 | Bytes Rx: 404086785 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9747 | Audit Session ID: 0a96cf6a026130005ee0321f | Security Group Tag: none | EasyVPN: 0 |Session ID: 9747 | Audit Session ID: 0a96cf6a026130005ee0321f | Security Group Tag: none | EasyVPN: 0 ||
Username: PraJagta | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.29 | Public IP: 106.193.197.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:15 IST Wed Jun 10 2020 | Duration: 6h:52m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 286586498 | Bytes Rx: 111238674 | IP Addr: 10.150.239.29 | Public IP: 106.193.197.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:15 IST Wed Jun 10 2020 | Duration: 6h:52m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 286586498 | Bytes Rx: 111238674 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9750 | Audit Session ID: 0a96cf6a026160005ee032bb | Security Group Tag: none | EasyVPN: 0 |Session ID: 9750 | Audit Session ID: 0a96cf6a026160005ee032bb | Security Group Tag: none | EasyVPN: 0 ||
