sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: kvkrishn | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.191 | Public IP: 223.229.187.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 1d 23h:43m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1161734743 | Bytes Rx: 487245308 | IP Addr: 10.149.234.191 | Public IP: 223.229.187.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:52:26 IST Mon Jun 15 2020 | Duration: 1d 23h:43m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1161734743 | Bytes Rx: 487245308 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169411 | Audit Session ID: 0a95072b295c30005ee6f782 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 1d 23h:35m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 3453013195 | Bytes Rx: 2069876378 | IP Addr: 10.149.234.237 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:35 IST Mon Jun 15 2020 | Duration: 1d 23h:35m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 3453013195 | Bytes Rx: 2069876378 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 |Session ID: 169464 | Audit Session ID: 0a95072b295f80005ee6f96b | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.165 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:16:54 IST Mon Jun 15 2020 | Duration: 1d 19h:19m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 737099102 | Bytes Rx: 301061223 | IP Addr: 10.149.235.165 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:16:54 IST Mon Jun 15 2020 | Duration: 1d 19h:19m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 737099102 | Bytes Rx: 301061223 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170619 | Audit Session ID: 0a95072b29a7b0005ee7357e | Security Group Tag: none | EasyVPN: 0 |Session ID: 170619 | Audit Session ID: 0a95072b29a7b0005ee7357e | Security Group Tag: none | EasyVPN: 0 ||
Username: vkamatch | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.150 | Public IP: 49.207.132.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:21:38 IST Tue Jun 16 2020 | Duration: 19h:14m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 505745622 | Bytes Rx: 192664993 | IP Addr: 10.149.235.150 | Public IP: 49.207.132.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:21:38 IST Tue Jun 16 2020 | Duration: 19h:14m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 505745622 | Bytes Rx: 192664993 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173066 | Audit Session ID: 0a95072b2a40a0005ee8881a | Security Group Tag: none | EasyVPN: 0 |Session ID: 173066 | Audit Session ID: 0a95072b2a40a0005ee8881a | Security Group Tag: none | EasyVPN: 0 ||
Username: rekambar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.242.206 | Public IP: 103.98.63.14 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 16:28:40 IST Tue Jun 16 2020 | Duration: 17h:07m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 413300372 | Bytes Rx: 206086558 | IP Addr: 10.149.242.206 | Public IP: 103.98.63.14 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 16:28:40 IST Tue Jun 16 2020 | Duration: 17h:07m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 413300372 | Bytes Rx: 206086558 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173363 | Audit Session ID: 0a95072b2a5330005ee8a5e0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 173363 | Audit Session ID: 0a95072b2a5330005ee8a5e0 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsawarde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.152 | Public IP: 203.212.209.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:00:34 IST Tue Jun 16 2020 | Duration: 14h:35m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 880237796 | Bytes Rx: 290216941 | IP Addr: 10.149.235.152 | Public IP: 203.212.209.117 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:00:34 IST Tue Jun 16 2020 | Duration: 14h:35m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 880237796 | Bytes Rx: 290216941 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173699 | Audit Session ID: 0a95072b2a6830005ee8c97a | Security Group Tag: none | EasyVPN: 0 |Session ID: 173699 | Audit Session ID: 0a95072b2a6830005ee8c97a | Security Group Tag: none | EasyVPN: 0 ||
Username: shubhsri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.61 | Public IP: 122.163.144.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:37 IST Tue Jun 16 2020 | Duration: 13h:23m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 142535091 | Bytes Rx: 155849885 | IP Addr: 10.149.235.61 | Public IP: 122.163.144.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:37 IST Tue Jun 16 2020 | Duration: 13h:23m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 142535091 | Bytes Rx: 155849885 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 173786 | Audit Session ID: 0a95072b2a6da0005ee8da5d | Security Group Tag: none | EasyVPN: 0 |Session ID: 173786 | Audit Session ID: 0a95072b2a6da0005ee8da5d | Security Group Tag: none | EasyVPN: 0 ||
Username: satviswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.65 | Public IP: 106.198.34.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:06:27 IST Wed Jun 17 2020 | Duration: 6h:29m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 357568444 | Bytes Rx: 129603745 | IP Addr: 10.149.235.65 | Public IP: 106.198.34.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:06:27 IST Wed Jun 17 2020 | Duration: 6h:29m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 357568444 | Bytes Rx: 129603745 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174068 | Audit Session ID: 0a95072b2a7f40005ee93b5b | Security Group Tag: none | EasyVPN: 0 |Session ID: 174068 | Audit Session ID: 0a95072b2a7f40005ee93b5b | Security Group Tag: none | EasyVPN: 0 ||
Username: ganemuth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.101 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:57 IST Wed Jun 17 2020 | Duration: 6h:25m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 28531690 | Bytes Rx: 94236127 | IP Addr: 10.149.234.101 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:10:57 IST Wed Jun 17 2020 | Duration: 6h:25m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 28531690 | Bytes Rx: 94236127 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174069 | Audit Session ID: 0a95072b2a7f50005ee93c69 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174069 | Audit Session ID: 0a95072b2a7f50005ee93c69 | Security Group Tag: none | EasyVPN: 0 ||
Username: pdhanala | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.106 | Public IP: 115.98.191.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:25 IST Wed Jun 17 2020 | Duration: 3h:45m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 805468533 | Bytes Rx: 40504499 | IP Addr: 10.149.235.106 | Public IP: 115.98.191.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:50:25 IST Wed Jun 17 2020 | Duration: 3h:45m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 805468533 | Bytes Rx: 40504499 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174085 | Audit Session ID: 0a95072b2a8050005ee961c9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 174085 | Audit Session ID: 0a95072b2a8050005ee961c9 | Security Group Tag: none | EasyVPN: 0 ||
Username: pasenthi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC16 | IP Addr: 10.149.248.230 | Public IP: 117.248.6.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:06 IST Wed Jun 17 2020 | Duration: 3h:08m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1813345065 | Bytes Rx: 156444908 | IP Addr: 10.149.248.230 | Public IP: 117.248.6.39 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:28:06 IST Wed Jun 17 2020 | Duration: 3h:08m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1813345065 | Bytes Rx: 156444908 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 174087 | Audit Session ID: 0a95072b2a8070005ee96a9e | Security Group Tag: none | EasyVPN: 0 |Session ID: 174087 | Audit Session ID: 0a95072b2a8070005ee96a9e | Security Group Tag: none | EasyVPN: 0 ||
