sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 1h:14m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1511939322 | Bytes Rx: 342015121 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 1h:14m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1511939322 | Bytes Rx: 342015121 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: hmani | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 8h:04m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1101480533 | Bytes Rx: 294271318 | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 8h:04m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1101480533 | Bytes Rx: 294271318 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 |Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 ||
Username: RAnandan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 7h:34m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 166613794 | Bytes Rx: 71958196 | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 7h:34m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 166613794 | Bytes Rx: 71958196 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mgarade1 | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 7h:34m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 458756535 | Bytes Rx: 137280242 | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 7h:34m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 458756535 | Bytes Rx: 137280242 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: damodSR | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 7h:30m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 176541598 | Bytes Rx: 210740209 | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 7h:30m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 176541598 | Bytes Rx: 210740209 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 ||
Username: yamunat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.164 | Public IP: 27.62.57.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:08 IST Wed Jun 24 2020 | Duration: 7h:27m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2807095654 | Bytes Rx: 149169626 | IP Addr: 10.149.232.164 | Public IP: 27.62.57.132 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:08 IST Wed Jun 24 2020 | Duration: 7h:27m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2807095654 | Bytes Rx: 149169626 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169859 | Audit Session ID: 0a95072a297830005ef2a73c | Security Group Tag: none | EasyVPN: 0 |Session ID: 169859 | Audit Session ID: 0a95072a297830005ef2a73c | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 7h:26m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1440192527 | Bytes Rx: 1087573977 | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 7h:26m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1440192527 | Bytes Rx: 1087573977 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 115.97.14.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:31 IST Wed Jun 24 2020 | Duration: 7h:20m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 840621246 | Bytes Rx: 199933044 | IP Addr: 10.149.233.14 | Public IP: 115.97.14.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:31 IST Wed Jun 24 2020 | Duration: 7h:20m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 840621246 | Bytes Rx: 199933044 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169863 | Audit Session ID: 0a95072a297870005ef2a8f7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169863 | Audit Session ID: 0a95072a297870005ef2a8f7 | Security Group Tag: none | EasyVPN: 0 ||
Username: aadikhan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.15 | Public IP: 219.91.249.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:02 IST Wed Jun 24 2020 | Duration: 7h:20m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 1252009414 | Bytes Rx: 210090429 | IP Addr: 10.149.233.15 | Public IP: 219.91.249.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:02 IST Wed Jun 24 2020 | Duration: 7h:20m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 1252009414 | Bytes Rx: 210090429 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169864 | Audit Session ID: 0a95072a297880005ef2a916 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169864 | Audit Session ID: 0a95072a297880005ef2a916 | Security Group Tag: none | EasyVPN: 0 ||
Username: ramakodi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.16 | Public IP: 49.37.198.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:25 IST Wed Jun 24 2020 | Duration: 7h:19m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 697570242 | Bytes Rx: 122755692 | IP Addr: 10.149.233.16 | Public IP: 49.37.198.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:25 IST Wed Jun 24 2020 | Duration: 7h:19m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 697570242 | Bytes Rx: 122755692 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169865 | Audit Session ID: 0a95072a297890005ef2a92d | Security Group Tag: none | EasyVPN: 0 |Session ID: 169865 | Audit Session ID: 0a95072a297890005ef2a92d | Security Group Tag: none | EasyVPN: 0 ||
Username: Spuri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.17 | Public IP: 103.114.224.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:53 IST Wed Jun 24 2020 | Duration: 7h:19m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2382384274 | Bytes Rx: 362337752 | IP Addr: 10.149.233.17 | Public IP: 103.114.224.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:53 IST Wed Jun 24 2020 | Duration: 7h:19m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2382384274 | Bytes Rx: 362337752 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169866 | Audit Session ID: 0a95072a2978a0005ef2a949 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169866 | Audit Session ID: 0a95072a2978a0005ef2a949 | Security Group Tag: none | EasyVPN: 0 ||
