sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 4d 16h:02m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 62474587874 | Bytes Rx: 3587792279 | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 4d 16h:02m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 62474587874 | Bytes Rx: 3587792279 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 3d 3h:00m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 483385705 | Bytes Rx: 717482287 | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 3d 3h:00m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 483385705 | Bytes Rx: 717482287 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 ||
Username: BhagGaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.63 | Public IP: 106.220.171.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:15 IST Sun Jun 21 2020 | Duration: 6h:51m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 167951119 | Bytes Rx: 81214517 | IP Addr: 10.149.233.63 | Public IP: 106.220.171.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:15 IST Sun Jun 21 2020 | Duration: 6h:51m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 167951119 | Bytes Rx: 81214517 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164464 | Audit Session ID: 0a95072a282700005eeeb377 | Security Group Tag: none | EasyVPN: 0 |Session ID: 164464 | Audit Session ID: 0a95072a282700005eeeb377 | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.66 | Public IP: 157.33.132.33 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:05 IST Sun Jun 21 2020 | Duration: 6h:39m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 160824326 | Bytes Rx: 76230489 | IP Addr: 10.149.233.66 | Public IP: 157.33.132.33 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:05 IST Sun Jun 21 2020 | Duration: 6h:39m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 160824326 | Bytes Rx: 76230489 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164466 | Audit Session ID: 0a95072a282720005eeeb63d | Security Group Tag: none | EasyVPN: 0 |Session ID: 164466 | Audit Session ID: 0a95072a282720005eeeb63d | Security Group Tag: none | EasyVPN: 0 ||
Username: hravva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.71 | Public IP: 223.238.73.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:31 IST Sun Jun 21 2020 | Duration: 6h:36m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 260174352 | Bytes Rx: 107173746 | IP Addr: 10.149.233.71 | Public IP: 223.238.73.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:31 IST Sun Jun 21 2020 | Duration: 6h:36m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 260174352 | Bytes Rx: 107173746 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164471 | Audit Session ID: 0a95072a282770005eeeb70b | Security Group Tag: none | EasyVPN: 0 |Session ID: 164471 | Audit Session ID: 0a95072a282770005eeeb70b | Security Group Tag: none | EasyVPN: 0 ||
Username: brijpate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.72 | Public IP: 203.192.243.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:31 IST Sun Jun 21 2020 | Duration: 6h:30m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 679766586 | Bytes Rx: 183205093 | IP Addr: 10.149.233.72 | Public IP: 203.192.243.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:31 IST Sun Jun 21 2020 | Duration: 6h:30m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 679766586 | Bytes Rx: 183205093 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164473 | Audit Session ID: 0a95072a282790005eeeb873 | Security Group Tag: none | EasyVPN: 0 |Session ID: 164473 | Audit Session ID: 0a95072a282790005eeeb873 | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.73 | Public IP: 124.123.168.215 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:33 IST Sun Jun 21 2020 | Duration: 6h:30m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 238284483 | Bytes Rx: 176618760 | IP Addr: 10.149.233.73 | Public IP: 124.123.168.215 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:33 IST Sun Jun 21 2020 | Duration: 6h:30m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 238284483 | Bytes Rx: 176618760 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164474 | Audit Session ID: 0a95072a2827a0005eeeb875 | Security Group Tag: none | EasyVPN: 0 |Session ID: 164474 | Audit Session ID: 0a95072a2827a0005eeeb875 | Security Group Tag: none | EasyVPN: 0 ||
Username: ebinjohn | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.74 | Public IP: 106.208.49.33 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:12 IST Sun Jun 21 2020 | Duration: 6h:29m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 600986374 | Bytes Rx: 149063525 | IP Addr: 10.149.233.74 | Public IP: 106.208.49.33 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:12 IST Sun Jun 21 2020 | Duration: 6h:29m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 600986374 | Bytes Rx: 149063525 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164475 | Audit Session ID: 0a95072a2827b0005eeeb89c | Security Group Tag: none | EasyVPN: 0 |Session ID: 164475 | Audit Session ID: 0a95072a2827b0005eeeb89c | Security Group Tag: none | EasyVPN: 0 ||
Username: stalla | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.77 | Public IP: 112.133.245.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:12 IST Sun Jun 21 2020 | Duration: 6h:28m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 536418984 | Bytes Rx: 228312682 | IP Addr: 10.149.233.77 | Public IP: 112.133.245.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:12 IST Sun Jun 21 2020 | Duration: 6h:28m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 536418984 | Bytes Rx: 228312682 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164478 | Audit Session ID: 0a95072a2827e0005eeeb8d8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 164478 | Audit Session ID: 0a95072a2827e0005eeeb8d8 | Security Group Tag: none | EasyVPN: 0 ||
Username: saswat.sen | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.78 | Public IP: 157.40.126.128 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:47 IST Sun Jun 21 2020 | Duration: 6h:28m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 145099346 | Bytes Rx: 54308784 | IP Addr: 10.149.233.78 | Public IP: 157.40.126.128 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:47 IST Sun Jun 21 2020 | Duration: 6h:28m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 145099346 | Bytes Rx: 54308784 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164479 | Audit Session ID: 0a95072a2827f0005eeeb8fb | Security Group Tag: none | EasyVPN: 0 |Session ID: 164479 | Audit Session ID: 0a95072a2827f0005eeeb8fb | Security Group Tag: none | EasyVPN: 0 ||
Username: shimacha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.79 | Public IP: 157.48.33.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:14 IST Sun Jun 21 2020 | Duration: 6h:27m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 809239078 | Bytes Rx: 262887592 | IP Addr: 10.149.233.79 | Public IP: 157.48.33.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:14 IST Sun Jun 21 2020 | Duration: 6h:27m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 809239078 | Bytes Rx: 262887592 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164480 | Audit Session ID: 0a95072a282800005eeeb916 | Security Group Tag: none | EasyVPN: 0 |Session ID: 164480 | Audit Session ID: 0a95072a282800005eeeb916 | Security Group Tag: none | EasyVPN: 0 ||
