sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sjyothi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.5 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:41:24 IST Mon Mar 16 2020 | Duration: 75d 7h:21m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 3553467452 | Bytes Rx: 1501768092 | IP Addr: 10.150.238.5 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:41:24 IST Mon Mar 16 2020 | Duration: 75d 7h:21m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 3553467452 | Bytes Rx: 1501768092 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3362 | Audit Session ID: 0a96cf6a00d220005e6f0a7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 3362 | Audit Session ID: 0a96cf6a00d220005e6f0a7c | Security Group Tag: none | EasyVPN: 0 ||
Username: ssalaiva | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.40 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:42 IST Mon Mar 16 2020 | Duration: 75d 5h:24m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 7518617091 | Bytes Rx: 2494852158 | IP Addr: 10.150.238.40 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:42 IST Mon Mar 16 2020 | Duration: 75d 5h:24m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 7518617091 | Bytes Rx: 2494852158 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3644 | Audit Session ID: 0a96cf6a00e3c0005e6f25fa | Security Group Tag: none | EasyVPN: 0 |Session ID: 3644 | Audit Session ID: 0a96cf6a00e3c0005e6f25fa | Security Group Tag: none | EasyVPN: 0 ||
Username: segomath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 74d 0h:25m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 3578306486 | Bytes Rx: 1269600410 | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 74d 0h:25m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 3578306486 | Bytes Rx: 1269600410 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 ||
Username: gdevadig | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 72d 3h:04m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2396846853 | Bytes Rx: 970243481 | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 72d 3h:04m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2396846853 | Bytes Rx: 970243481 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgusain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.174 | Public IP: 122.170.132.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:12 IST Fri May 29 2020 | Duration: 1d 10h:00m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 292347342 | Bytes Rx: 192263000 | IP Addr: 10.150.239.174 | Public IP: 122.170.132.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:12 IST Fri May 29 2020 | Duration: 1d 10h:00m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 292347342 | Bytes Rx: 192263000 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236076 | Audit Session ID: 0a96cf6a39a2c0005ed0742c | Security Group Tag: none | EasyVPN: 0 |Session ID: 236076 | Audit Session ID: 0a96cf6a39a2c0005ed0742c | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.47 | Public IP: 49.204.179.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:07 IST Fri May 29 2020 | Duration: 1d 8h:22m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1297012166 | Bytes Rx: 1455174408 | IP Addr: 10.150.238.47 | Public IP: 49.204.179.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:07 IST Fri May 29 2020 | Duration: 1d 8h:22m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1297012166 | Bytes Rx: 1455174408 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236400 | Audit Session ID: 0a96cf6a39b700005ed08b1f | Security Group Tag: none | EasyVPN: 0 |Session ID: 236400 | Audit Session ID: 0a96cf6a39b700005ed08b1f | Security Group Tag: none | EasyVPN: 0 ||
Username: svishwa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.233 | Public IP: 106.193.219.253 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:06:38 IST Fri May 29 2020 | Duration: 1d 7h:56m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 1113625662 | Bytes Rx: 470388020 | IP Addr: 10.150.238.233 | Public IP: 106.193.219.253 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:06:38 IST Fri May 29 2020 | Duration: 1d 7h:56m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 1113625662 | Bytes Rx: 470388020 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236587 | Audit Session ID: 0a96cf6a39c2b0005ed09156 | Security Group Tag: none | EasyVPN: 0 |Session ID: 236587 | Audit Session ID: 0a96cf6a39c2b0005ed09156 | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.52 | Public IP: 223.235.95.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:59 IST Fri May 29 2020 | Duration: 1d 3h:50m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 219213729 | Bytes Rx: 172442818 | IP Addr: 10.150.238.52 | Public IP: 223.235.95.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:59 IST Fri May 29 2020 | Duration: 1d 3h:50m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 219213729 | Bytes Rx: 172442818 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 238002 | Audit Session ID: 0a96cf6a3a1b20005ed0cad7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 238002 | Audit Session ID: 0a96cf6a3a1b20005ed0cad7 | Security Group Tag: none | EasyVPN: 0 ||
Username: awdhesh.singh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.103 | Public IP: 45.119.132.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:44:04 IST Fri May 29 2020 | Duration: 23h:18m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 926481880 | Bytes Rx: 193815130 | IP Addr: 10.150.239.103 | Public IP: 45.119.132.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:44:04 IST Fri May 29 2020 | Duration: 23h:18m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 926481880 | Bytes Rx: 193815130 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239032 | Audit Session ID: 0a96cf6a3a5b80005ed10a9c | Security Group Tag: none | EasyVPN: 0 |Session ID: 239032 | Audit Session ID: 0a96cf6a3a5b80005ed10a9c | Security Group Tag: none | EasyVPN: 0 ||
Username: pradeep.mahale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.40 | Public IP: 116.75.1.209 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:35 IST Sat May 30 2020 | Duration: 11h:33m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 457509017 | Bytes Rx: 204544790 | IP Addr: 10.150.239.40 | Public IP: 116.75.1.209 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:35 IST Sat May 30 2020 | Duration: 11h:33m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 457509017 | Bytes Rx: 204544790 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239734 | Audit Session ID: 0a96cf6a3a8760005ed1aff7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 239734 | Audit Session ID: 0a96cf6a3a8760005ed1aff7 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunPawa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.111 | Public IP: 103.249.89.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:57 IST Sat May 30 2020 | Duration: 10h:50m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1264289686 | Bytes Rx: 378584188 | IP Addr: 10.150.239.111 | Public IP: 103.249.89.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:11:57 IST Sat May 30 2020 | Duration: 10h:50m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 1264289686 | Bytes Rx: 378584188 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239819 | Audit Session ID: 0a96cf6a3a8cb0005ed1b9e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 239819 | Audit Session ID: 0a96cf6a3a8cb0005ed1b9e5 | Security Group Tag: none | EasyVPN: 0 ||
