sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: satviswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.202 | Public IP: 106.203.25.227 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:25 IST Wed Jun 10 2020 | Duration: 14h:47m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 8796581071 | Bytes Rx: 435891156 | IP Addr: 10.149.233.202 | Public IP: 106.203.25.227 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:25 IST Wed Jun 10 2020 | Duration: 14h:47m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 8796581071 | Bytes Rx: 435891156 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145351 | Audit Session ID: 0a95072a237c70005ee0f151 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145351 | Audit Session ID: 0a95072a237c70005ee0f151 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.107 | Public IP: 49.207.130.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:54:19 IST Thu Jun 11 2020 | Duration: 9h:06m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 64141203 | Bytes Rx: 17126008 | IP Addr: 10.149.233.107 | Public IP: 49.207.130.187 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:54:19 IST Thu Jun 11 2020 | Duration: 9h:06m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 64141203 | Bytes Rx: 17126008 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145596 | Audit Session ID: 0a95072a238bc0005ee14173 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145596 | Audit Session ID: 0a95072a238bc0005ee14173 | Security Group Tag: none | EasyVPN: 0 ||
Username: arunt | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.80 | Public IP: 106.222.110.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:10 IST Thu Jun 11 2020 | Duration: 4h:22m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 33691421 | Bytes Rx: 21832930 | IP Addr: 10.149.232.80 | Public IP: 106.222.110.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:10 IST Thu Jun 11 2020 | Duration: 4h:22m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 33691421 | Bytes Rx: 21832930 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145605 | Audit Session ID: 0a95072a238c50005ee183fa | Security Group Tag: none | EasyVPN: 0 |Session ID: 145605 | Audit Session ID: 0a95072a238c50005ee183fa | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.81 | Public IP: 115.97.235.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:33 IST Thu Jun 11 2020 | Duration: 4h:20m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 814527520 | Bytes Rx: 118976320 | IP Addr: 10.149.232.81 | Public IP: 115.97.235.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:33 IST Thu Jun 11 2020 | Duration: 4h:20m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 814527520 | Bytes Rx: 118976320 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145607 | Audit Session ID: 0a95072a238c70005ee1844d | Security Group Tag: none | EasyVPN: 0 |Session ID: 145607 | Audit Session ID: 0a95072a238c70005ee1844d | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.84 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:12 IST Thu Jun 11 2020 | Duration: 4h:16m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 589830584 | Bytes Rx: 288496881 | IP Addr: 10.149.232.84 | Public IP: 117.197.189.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:12 IST Thu Jun 11 2020 | Duration: 4h:16m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 589830584 | Bytes Rx: 288496881 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145608 | Audit Session ID: 0a95072a238c80005ee18564 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145608 | Audit Session ID: 0a95072a238c80005ee18564 | Security Group Tag: none | EasyVPN: 0 ||
Username: SRaktate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.85 | Public IP: 157.33.201.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:34 IST Thu Jun 11 2020 | Duration: 4h:12m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 829498648 | Bytes Rx: 187550081 | IP Addr: 10.149.232.85 | Public IP: 157.33.201.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:47:34 IST Thu Jun 11 2020 | Duration: 4h:12m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 829498648 | Bytes Rx: 187550081 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145611 | Audit Session ID: 0a95072a238cb0005ee1862e | Security Group Tag: none | EasyVPN: 0 |Session ID: 145611 | Audit Session ID: 0a95072a238cb0005ee1862e | Security Group Tag: none | EasyVPN: 0 ||
Username: pritkada | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.89 | Public IP: 103.243.112.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:41 IST Thu Jun 11 2020 | Duration: 4h:10m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 497726585 | Bytes Rx: 106694614 | IP Addr: 10.149.232.89 | Public IP: 103.243.112.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:41 IST Thu Jun 11 2020 | Duration: 4h:10m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 497726585 | Bytes Rx: 106694614 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145615 | Audit Session ID: 0a95072a238cf0005ee186ad | Security Group Tag: none | EasyVPN: 0 |Session ID: 145615 | Audit Session ID: 0a95072a238cf0005ee186ad | Security Group Tag: none | EasyVPN: 0 ||
Username: poojjaga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.92 | Public IP: 137.97.59.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:04 IST Thu Jun 11 2020 | Duration: 4h:08m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 323446109 | Bytes Rx: 119503597 | IP Addr: 10.149.232.92 | Public IP: 137.97.59.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:04 IST Thu Jun 11 2020 | Duration: 4h:08m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 323446109 | Bytes Rx: 119503597 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145618 | Audit Session ID: 0a95072a238d20005ee1873c | Security Group Tag: none | EasyVPN: 0 |Session ID: 145618 | Audit Session ID: 0a95072a238d20005ee1873c | Security Group Tag: none | EasyVPN: 0 ||
Username: Atapkire | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.93 | Public IP: 49.35.221.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:14 IST Thu Jun 11 2020 | Duration: 4h:08m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1043215668 | Bytes Rx: 148630745 | IP Addr: 10.149.232.93 | Public IP: 49.35.221.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:14 IST Thu Jun 11 2020 | Duration: 4h:08m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1043215668 | Bytes Rx: 148630745 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145619 | Audit Session ID: 0a95072a238d30005ee18746 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145619 | Audit Session ID: 0a95072a238d30005ee18746 | Security Group Tag: none | EasyVPN: 0 ||
Username: cpugazhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.233 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:25 IST Thu Jun 11 2020 | Duration: 4h:06m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 432674789 | Bytes Rx: 81459418 | IP Addr: 10.149.232.233 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:25 IST Thu Jun 11 2020 | Duration: 4h:06m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 432674789 | Bytes Rx: 81459418 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145621 | Audit Session ID: 0a95072a238d50005ee1878d | Security Group Tag: none | EasyVPN: 0 |Session ID: 145621 | Audit Session ID: 0a95072a238d50005ee1878d | Security Group Tag: none | EasyVPN: 0 ||
Username: mansoomo | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.234 | Public IP: 115.97.250.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:36 IST Thu Jun 11 2020 | Duration: 4h:05m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 679588245 | Bytes Rx: 187528039 | IP Addr: 10.149.232.234 | Public IP: 115.97.250.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:36 IST Thu Jun 11 2020 | Duration: 4h:05m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 679588245 | Bytes Rx: 187528039 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145622 | Audit Session ID: 0a95072a238d60005ee187d4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145622 | Audit Session ID: 0a95072a238d60005ee187d4 | Security Group Tag: none | EasyVPN: 0 ||
