sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: craghura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.117 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:39 IST Mon Jun 15 2020 | Duration: 2d 6h:40m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 571821967 | Bytes Rx: 201538863 | IP Addr: 10.149.233.117 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:39 IST Mon Jun 15 2020 | Duration: 2d 6h:40m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 571821967 | Bytes Rx: 201538863 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 152229 | Audit Session ID: 0a95072a252a50005ee70d1f | Security Group Tag: none | EasyVPN: 0 |Session ID: 152229 | Audit Session ID: 0a95072a252a50005ee70d1f | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 1d 10h:08m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 2203984544 | Bytes Rx: 441544175 | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 1d 10h:08m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 2203984544 | Bytes Rx: 441544175 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.222 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:10:26 IST Tue Jun 16 2020 | Duration: 1d 7h:54m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 2359514329 | Bytes Rx: 1033722541 | IP Addr: 10.149.233.222 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:10:26 IST Tue Jun 16 2020 | Duration: 1d 7h:54m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 2359514329 | Bytes Rx: 1033722541 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154345 | Audit Session ID: 0a95072a25ae90005ee84d3a | Security Group Tag: none | EasyVPN: 0 |Session ID: 154345 | Audit Session ID: 0a95072a25ae90005ee84d3a | Security Group Tag: none | EasyVPN: 0 ||
Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 20h:35m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 11707920097 | Bytes Rx: 626111457 | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 20h:35m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 11707920097 | Bytes Rx: 626111457 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: snallapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.169 | Public IP: 157.44.67.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:50 IST Wed Jun 17 2020 | Duration: 10h:47m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 499694010 | Bytes Rx: 142170716 | IP Addr: 10.149.232.169 | Public IP: 157.44.67.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:50 IST Wed Jun 17 2020 | Duration: 10h:47m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 499694010 | Bytes Rx: 142170716 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156221 | Audit Session ID: 0a95072a2623d0005ee9760a | Security Group Tag: none | EasyVPN: 0 |Session ID: 156221 | Audit Session ID: 0a95072a2623d0005ee9760a | Security Group Tag: none | EasyVPN: 0 ||
Username: knauber | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.172 | Public IP: 60.243.90.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:27 IST Wed Jun 17 2020 | Duration: 10h:14m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 547963919 | Bytes Rx: 384686191 | IP Addr: 10.149.232.172 | Public IP: 60.243.90.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:50:27 IST Wed Jun 17 2020 | Duration: 10h:14m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 547963919 | Bytes Rx: 384686191 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156227 | Audit Session ID: 0a95072a262430005ee97deb | Security Group Tag: none | EasyVPN: 0 |Session ID: 156227 | Audit Session ID: 0a95072a262430005ee97deb | Security Group Tag: none | EasyVPN: 0 ||
Username: kkumarb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.49 | Public IP: 49.207.128.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:03 IST Wed Jun 17 2020 | Duration: 10h:06m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 894232844 | Bytes Rx: 935210522 | IP Addr: 10.149.233.49 | Public IP: 49.207.128.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:03 IST Wed Jun 17 2020 | Duration: 10h:06m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 894232844 | Bytes Rx: 935210522 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156242 | Audit Session ID: 0a95072a262520005ee97fb3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156242 | Audit Session ID: 0a95072a262520005ee97fb3 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsekhar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.50 | Public IP: 49.206.125.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:05 IST Wed Jun 17 2020 | Duration: 10h:06m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 668279376 | Bytes Rx: 424010046 | IP Addr: 10.149.233.50 | Public IP: 49.206.125.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:05 IST Wed Jun 17 2020 | Duration: 10h:06m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 668279376 | Bytes Rx: 424010046 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156243 | Audit Session ID: 0a95072a262530005ee97fb5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156243 | Audit Session ID: 0a95072a262530005ee97fb5 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajasekaran.m | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.52 | Public IP: 171.78.163.93 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:16 IST Wed Jun 17 2020 | Duration: 10h:04m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 536719034 | Bytes Rx: 128305625 | IP Addr: 10.149.233.52 | Public IP: 171.78.163.93 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:16 IST Wed Jun 17 2020 | Duration: 10h:04m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 536719034 | Bytes Rx: 128305625 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156245 | Audit Session ID: 0a95072a262550005ee98038 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156245 | Audit Session ID: 0a95072a262550005ee98038 | Security Group Tag: none | EasyVPN: 0 ||
Username: vijay.agarwal | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.54 | Public IP: 45.127.45.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:06:16 IST Wed Jun 17 2020 | Duration: 9h:58m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 2188748263 | Bytes Rx: 591426924 | IP Addr: 10.149.233.54 | Public IP: 45.127.45.123 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:06:16 IST Wed Jun 17 2020 | Duration: 9h:58m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 2188748263 | Bytes Rx: 591426924 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156249 | Audit Session ID: 0a95072a262590005ee981a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156249 | Audit Session ID: 0a95072a262590005ee981a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: emozart | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.57 | Public IP: 122.164.83.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:06:35 IST Wed Jun 17 2020 | Duration: 9h:58m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1071265613 | Bytes Rx: 150606338 | IP Addr: 10.149.233.57 | Public IP: 122.164.83.70 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:06:35 IST Wed Jun 17 2020 | Duration: 9h:58m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1071265613 | Bytes Rx: 150606338 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156250 | Audit Session ID: 0a95072a2625a0005ee981b3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156250 | Audit Session ID: 0a95072a2625a0005ee981b3 | Security Group Tag: none | EasyVPN: 0 ||
