sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 22h:14m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 812745665 | Bytes Rx: 182988912 | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 22h:14m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 812745665 | Bytes Rx: 182988912 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 ||
Username: shirawoo | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.170 | Public IP: 106.193.131.62 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:48:08 IST Fri May 29 2020 | Duration: 13h:42m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 25585196351 | Bytes Rx: 1061670662 | IP Addr: 10.149.232.170 | Public IP: 106.193.131.62 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 20:48:08 IST Fri May 29 2020 | Duration: 13h:42m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 25585196351 | Bytes Rx: 1061670662 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123699 | Audit Session ID: 0a95072a1e3330005ed127b0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123699 | Audit Session ID: 0a95072a1e3330005ed127b0 | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.221 | Public IP: 157.38.201.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:23 IST Sat May 30 2020 | Duration: 4h:11m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 166411842 | Bytes Rx: 41290968 | IP Addr: 10.149.233.221 | Public IP: 157.38.201.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:23 IST Sat May 30 2020 | Duration: 4h:11m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 166411842 | Bytes Rx: 41290968 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123843 | Audit Session ID: 0a95072a1e3c30005ed1ad57 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123843 | Audit Session ID: 0a95072a1e3c30005ed1ad57 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.175 | Public IP: 115.97.228.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:02 IST Sat May 30 2020 | Duration: 3h:52m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 353187100 | Bytes Rx: 93436194 | IP Addr: 10.149.232.175 | Public IP: 115.97.228.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:02 IST Sat May 30 2020 | Duration: 3h:52m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 353187100 | Bytes Rx: 93436194 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123851 | Audit Session ID: 0a95072a1e3cb0005ed1b1f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123851 | Audit Session ID: 0a95072a1e3cb0005ed1b1f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: gvadivel | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.151 | Public IP: 60.243.106.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:17 IST Sat May 30 2020 | Duration: 3h:41m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 84168152 | Bytes Rx: 18959635 | IP Addr: 10.149.233.151 | Public IP: 60.243.106.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:17 IST Sat May 30 2020 | Duration: 3h:41m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 84168152 | Bytes Rx: 18959635 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123857 | Audit Session ID: 0a95072a1e3d10005ed1b459 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123857 | Audit Session ID: 0a95072a1e3d10005ed1b459 | Security Group Tag: none | EasyVPN: 0 ||
Username: vaishdev | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC2 | IP Addr: 10.149.248.98 | Public IP: 157.51.139.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:41 IST Sat May 30 2020 | Duration: 3h:39m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 211102892 | Bytes Rx: 227695513 | IP Addr: 10.149.248.98 | Public IP: 157.51.139.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:41 IST Sat May 30 2020 | Duration: 3h:39m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 211102892 | Bytes Rx: 227695513 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123860 | Audit Session ID: 0a95072a1e3d40005ed1b4e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123860 | Audit Session ID: 0a95072a1e3d40005ed1b4e9 | Security Group Tag: none | EasyVPN: 0 ||
Username: lvajja | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.153 | Public IP: 160.238.73.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:13 IST Sat May 30 2020 | Duration: 3h:39m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 708906629 | Bytes Rx: 306209894 | IP Addr: 10.149.233.153 | Public IP: 160.238.73.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:13 IST Sat May 30 2020 | Duration: 3h:39m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 708906629 | Bytes Rx: 306209894 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123861 | Audit Session ID: 0a95072a1e3d50005ed1b509 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123861 | Audit Session ID: 0a95072a1e3d50005ed1b509 | Security Group Tag: none | EasyVPN: 0 ||
Username: abmanoha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 3h:38m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 845702623 | Bytes Rx: 133283870 | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 3h:38m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 845702623 | Bytes Rx: 133283870 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 |Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.155 | Public IP: 49.35.52.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:04 IST Sat May 30 2020 | Duration: 3h:37m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 168374889 | Bytes Rx: 42833989 | IP Addr: 10.149.233.155 | Public IP: 49.35.52.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:04 IST Sat May 30 2020 | Duration: 3h:37m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 168374889 | Bytes Rx: 42833989 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123864 | Audit Session ID: 0a95072a1e3d80005ed1b578 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123864 | Audit Session ID: 0a95072a1e3d80005ed1b578 | Security Group Tag: none | EasyVPN: 0 ||
Username: swadmare | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.157 | Public IP: 59.95.9.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:50 IST Sat May 30 2020 | Duration: 3h:33m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 59779257 | Bytes Rx: 18618212 | IP Addr: 10.149.233.157 | Public IP: 59.95.9.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:50 IST Sat May 30 2020 | Duration: 3h:33m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 59779257 | Bytes Rx: 18618212 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123866 | Audit Session ID: 0a95072a1e3da0005ed1b65a | Security Group Tag: none | EasyVPN: 0 |Session ID: 123866 | Audit Session ID: 0a95072a1e3da0005ed1b65a | Security Group Tag: none | EasyVPN: 0 ||
Username: gesamina | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC1 | IP Addr: 10.149.248.97 | Public IP: 106.198.23.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:43 IST Sat May 30 2020 | Duration: 3h:26m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 806813179 | Bytes Rx: 276416051 | IP Addr: 10.149.248.97 | Public IP: 106.198.23.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:43 IST Sat May 30 2020 | Duration: 3h:26m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 806813179 | Bytes Rx: 276416051 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123868 | Audit Session ID: 0a95072a1e3dc0005ed1b7f7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123868 | Audit Session ID: 0a95072a1e3dc0005ed1b7f7 | Security Group Tag: none | EasyVPN: 0 ||
