sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: smitajad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.172 | Public IP: 123.201.54.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 1d 5h:51m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 3868613066 | Bytes Rx: 176883971561 | IP Addr: 10.150.238.172 | Public IP: 123.201.54.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 1d 5h:51m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 3868613066 | Bytes Rx: 176883971561 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.80 | Public IP: 43.250.158.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:37:22 IST Mon Jun 8 2020 | Duration: 1d 4h:53m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1233365638 | Bytes Rx: 371382125 | IP Addr: 10.150.239.80 | Public IP: 43.250.158.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:37:22 IST Mon Jun 8 2020 | Duration: 1d 4h:53m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 1233365638 | Bytes Rx: 371382125 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1563 | Audit Session ID: 0a96cf6a0061b0005eddb97a | Security Group Tag: none | EasyVPN: 0 |Session ID: 1563 | Audit Session ID: 0a96cf6a0061b0005eddb97a | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.202 | Public IP: 182.57.249.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:50 IST Mon Jun 8 2020 | Duration: 1d 4h:32m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1669153727 | Bytes Rx: 459369896 | IP Addr: 10.150.239.202 | Public IP: 182.57.249.188 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:57:50 IST Mon Jun 8 2020 | Duration: 1d 4h:32m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1669153727 | Bytes Rx: 459369896 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1725 | Audit Session ID: 0a96cf6a006bd0005eddbe46 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1725 | Audit Session ID: 0a96cf6a006bd0005eddbe46 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 23h:27m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 211232062 | Bytes Rx: 469322063 | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 23h:27m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 211232062 | Bytes Rx: 469322063 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.50 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:48:25 IST Mon Jun 8 2020 | Duration: 18h:41m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 449148619 | Bytes Rx: 118618729 | IP Addr: 10.150.239.50 | Public IP: 182.70.8.248 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:48:25 IST Mon Jun 8 2020 | Duration: 18h:41m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 449148619 | Bytes Rx: 118618729 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6008 | Audit Session ID: 0a96cf6a017780005ede48b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6008 | Audit Session ID: 0a96cf6a017780005ede48b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: vinjoshi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.112 | Public IP: 110.227.199.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Tue Jun 9 2020 | Duration: 9h:03m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 525279734 | Bytes Rx: 72110932 | IP Addr: 10.150.239.112 | Public IP: 110.227.199.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Tue Jun 9 2020 | Duration: 9h:03m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 525279734 | Bytes Rx: 72110932 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6439 | Audit Session ID: 0a96cf6a019270005eded05f | Security Group Tag: none | EasyVPN: 0 |Session ID: 6439 | Audit Session ID: 0a96cf6a019270005eded05f | Security Group Tag: none | EasyVPN: 0 ||
Username: PraJagta | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.24 | Public IP: 106.220.194.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:15 IST Tue Jun 9 2020 | Duration: 8h:03m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 369714135 | Bytes Rx: 139930713 | IP Addr: 10.150.238.24 | Public IP: 106.220.194.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:15 IST Tue Jun 9 2020 | Duration: 8h:03m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 369714135 | Bytes Rx: 139930713 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6468 | Audit Session ID: 0a96cf6a019440005edede6b | Security Group Tag: none | EasyVPN: 0 |Session ID: 6468 | Audit Session ID: 0a96cf6a019440005edede6b | Security Group Tag: none | EasyVPN: 0 ||
Username: anildond | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.26 | Public IP: 157.33.147.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:48 IST Tue Jun 9 2020 | Duration: 8h:02m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 197152801 | Bytes Rx: 103591961 | IP Addr: 10.150.238.26 | Public IP: 157.33.147.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:48 IST Tue Jun 9 2020 | Duration: 8h:02m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 197152801 | Bytes Rx: 103591961 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6470 | Audit Session ID: 0a96cf6a019460005edede8c | Security Group Tag: none | EasyVPN: 0 |Session ID: 6470 | Audit Session ID: 0a96cf6a019460005edede8c | Security Group Tag: none | EasyVPN: 0 ||
Username: PrYelmar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.144 | Public IP: 106.210.231.172 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:55 IST Tue Jun 9 2020 | Duration: 7h:54m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1157416742 | Bytes Rx: 242390324 | IP Addr: 10.150.239.144 | Public IP: 106.210.231.172 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:55 IST Tue Jun 9 2020 | Duration: 7h:54m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1157416742 | Bytes Rx: 242390324 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6473 | Audit Session ID: 0a96cf6a019490005edee073 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6473 | Audit Session ID: 0a96cf6a019490005edee073 | Security Group Tag: none | EasyVPN: 0 ||
Username: mohsingh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.147 | Public IP: 103.97.104.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:12 IST Tue Jun 9 2020 | Duration: 7h:52m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2323245952 | Bytes Rx: 1026515122 | IP Addr: 10.150.239.147 | Public IP: 103.97.104.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:12 IST Tue Jun 9 2020 | Duration: 7h:52m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2323245952 | Bytes Rx: 1026515122 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6477 | Audit Session ID: 0a96cf6a0194d0005edee0fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 6477 | Audit Session ID: 0a96cf6a0194d0005edee0fc | Security Group Tag: none | EasyVPN: 0 ||
Username: prafulla.shitole | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.233 | Public IP: 27.4.61.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:40 IST Tue Jun 9 2020 | Duration: 7h:48m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 207734378 | Bytes Rx: 204423226 | IP Addr: 10.150.238.233 | Public IP: 27.4.61.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:40 IST Tue Jun 9 2020 | Duration: 7h:48m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 207734378 | Bytes Rx: 204423226 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6479 | Audit Session ID: 0a96cf6a0194f0005edee1cc | Security Group Tag: none | EasyVPN: 0 |Session ID: 6479 | Audit Session ID: 0a96cf6a0194f0005edee1cc | Security Group Tag: none | EasyVPN: 0 ||
