sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: smitajad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.172 | Public IP: 123.201.52.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 2d 2h:56m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 5911519956 | Bytes Rx: 284781479632 | IP Addr: 10.150.238.172 | Public IP: 123.201.52.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:39:12 IST Mon Jun 8 2020 | Duration: 2d 2h:56m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 5911519956 | Bytes Rx: 284781479632 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1301 | Audit Session ID: 0a96cf6a005150005eddabd8 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.80 | Public IP: 103.238.107.221 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:37:22 IST Mon Jun 8 2020 | Duration: 2d 1h:58m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 3304685324 | Bytes Rx: 1036094934 | IP Addr: 10.150.239.80 | Public IP: 103.238.107.221 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:37:22 IST Mon Jun 8 2020 | Duration: 2d 1h:58m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 3304685324 | Bytes Rx: 1036094934 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1563 | Audit Session ID: 0a96cf6a0061b0005eddb97a | Security Group Tag: none | EasyVPN: 0 |Session ID: 1563 | Audit Session ID: 0a96cf6a0061b0005eddb97a | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 1d 20h:32m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 327394326 | Bytes Rx: 2102309069 | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 1d 20h:32m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 327394326 | Bytes Rx: 2102309069 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.218 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:15 IST Tue Jun 9 2020 | Duration: 1d 0h:45m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 768944003 | Bytes Rx: 216832924 | IP Addr: 10.150.249.218 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:15 IST Tue Jun 9 2020 | Duration: 1d 0h:45m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 768944003 | Bytes Rx: 216832924 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7387 | Audit Session ID: 0a96cf6a01cdb0005edf1c0f | Security Group Tag: none | EasyVPN: 0 |Session ID: 7387 | Audit Session ID: 0a96cf6a01cdb0005edf1c0f | Security Group Tag: none | EasyVPN: 0 ||
Username: PBommina | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.245 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:10:58 IST Tue Jun 9 2020 | Duration: 21h:24m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 441754390 | Bytes Rx: 145642596 | IP Addr: 10.150.238.245 | Public IP: 45.117.65.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:10:58 IST Tue Jun 9 2020 | Duration: 21h:24m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 441754390 | Bytes Rx: 145642596 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 8250 | Audit Session ID: 0a96cf6a0203a0005edf4b1a | Security Group Tag: none | EasyVPN: 0 |Session ID: 8250 | Audit Session ID: 0a96cf6a0203a0005edf4b1a | Security Group Tag: none | EasyVPN: 0 ||
Username: nishansi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.162 | Public IP: 103.221.73.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:25:42 IST Tue Jun 9 2020 | Duration: 16h:09m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 668053822 | Bytes Rx: 131355523 | IP Addr: 10.150.239.162 | Public IP: 103.221.73.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:25:42 IST Tue Jun 9 2020 | Duration: 16h:09m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 668053822 | Bytes Rx: 131355523 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9231 | Audit Session ID: 0a96cf6a0240f0005edf94de | Security Group Tag: none | EasyVPN: 0 |Session ID: 9231 | Audit Session ID: 0a96cf6a0240f0005edf94de | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.54 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:20:25 IST Tue Jun 9 2020 | Duration: 15h:15m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 201586401 | Bytes Rx: 47622153 | IP Addr: 10.150.239.54 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:20:25 IST Tue Jun 9 2020 | Duration: 15h:15m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 201586401 | Bytes Rx: 47622153 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9358 | Audit Session ID: 0a96cf6a0248e0005edfa1b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 9358 | Audit Session ID: 0a96cf6a0248e0005edfa1b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: monidigh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.67 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:43:04 IST Tue Jun 9 2020 | Duration: 13h:52m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 132910390 | Bytes Rx: 32702407 | IP Addr: 10.150.239.67 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:43:04 IST Tue Jun 9 2020 | Duration: 13h:52m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 132910390 | Bytes Rx: 32702407 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9522 | Audit Session ID: 0a96cf6a025320005edfb510 | Security Group Tag: none | EasyVPN: 0 |Session ID: 9522 | Audit Session ID: 0a96cf6a025320005edfb510 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgusain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.238 | Public IP: 122.179.166.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:30:57 IST Tue Jun 9 2020 | Duration: 13h:04m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 772050094 | Bytes Rx: 129232986 | IP Addr: 10.150.238.238 | Public IP: 122.179.166.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:30:57 IST Tue Jun 9 2020 | Duration: 13h:04m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 772050094 | Bytes Rx: 129232986 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9611 | Audit Session ID: 0a96cf6a0258b0005edfc049 | Security Group Tag: none | EasyVPN: 0 |Session ID: 9611 | Audit Session ID: 0a96cf6a0258b0005edfc049 | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.169 | Public IP: 157.33.155.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:14:31 IST Wed Jun 10 2020 | Duration: 11h:21m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 110144393 | Bytes Rx: 157984895 | IP Addr: 10.150.238.169 | Public IP: 157.33.155.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:14:31 IST Wed Jun 10 2020 | Duration: 11h:21m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 110144393 | Bytes Rx: 157984895 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9686 | Audit Session ID: 0a96cf6a025d60005edfd88f | Security Group Tag: none | EasyVPN: 0 |Session ID: 9686 | Audit Session ID: 0a96cf6a025d60005edfd88f | Security Group Tag: none | EasyVPN: 0 ||
Username: snkhade | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.60 | Public IP: 157.33.224.240 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:10:52 IST Wed Jun 10 2020 | Duration: 5h:24m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1039624281 | Bytes Rx: 120447299 | IP Addr: 10.150.239.60 | Public IP: 157.33.224.240 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 06:10:52 IST Wed Jun 10 2020 | Duration: 5h:24m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 1039624281 | Bytes Rx: 120447299 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 9743 | Audit Session ID: 0a96cf6a0260f0005ee02c14 | Security Group Tag: none | EasyVPN: 0 |Session ID: 9743 | Audit Session ID: 0a96cf6a0260f0005ee02c14 | Security Group Tag: none | EasyVPN: 0 ||
