sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: satviswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.202 | Public IP: 157.51.202.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:25 IST Wed Jun 10 2020 | Duration: 9h:47m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 125493032 | Bytes Rx: 75099343 | IP Addr: 10.149.233.202 | Public IP: 157.51.202.144 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:25 IST Wed Jun 10 2020 | Duration: 9h:47m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 125493032 | Bytes Rx: 75099343 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145351 | Audit Session ID: 0a95072a237c70005ee0f151 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145351 | Audit Session ID: 0a95072a237c70005ee0f151 | Security Group Tag: none | EasyVPN: 0 ||
Username: visparde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.1 | Public IP: 49.35.201.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:43 IST Wed Jun 10 2020 | Duration: 8h:57m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 2431676123 | Bytes Rx: 288381364 | IP Addr: 10.149.233.1 | Public IP: 49.35.201.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:43 IST Wed Jun 10 2020 | Duration: 8h:57m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 2431676123 | Bytes Rx: 288381364 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145429 | Audit Session ID: 0a95072a238150005ee0fd1b | Security Group Tag: none | EasyVPN: 0 |Session ID: 145429 | Audit Session ID: 0a95072a238150005ee0fd1b | Security Group Tag: none | EasyVPN: 0 ||
Username: ramakodi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.224 | Public IP: 49.37.196.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:37:37 IST Wed Jun 10 2020 | Duration: 8h:22m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 748092896 | Bytes Rx: 90899855 | IP Addr: 10.149.233.224 | Public IP: 49.37.196.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:37:37 IST Wed Jun 10 2020 | Duration: 8h:22m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 748092896 | Bytes Rx: 90899855 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145458 | Audit Session ID: 0a95072a238320005ee10549 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145458 | Audit Session ID: 0a95072a238320005ee10549 | Security Group Tag: none | EasyVPN: 0 ||
Username: vaishdev | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC2 | IP Addr: 10.149.248.98 | Public IP: 157.46.38.144 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:38:31 IST Wed Jun 10 2020 | Duration: 8h:21m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 418584379 | Bytes Rx: 204759533 | IP Addr: 10.149.248.98 | Public IP: 157.46.38.144 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:38:31 IST Wed Jun 10 2020 | Duration: 8h:21m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 418584379 | Bytes Rx: 204759533 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145461 | Audit Session ID: 0a95072a238350005ee1057f | Security Group Tag: none | EasyVPN: 0 |Session ID: 145461 | Audit Session ID: 0a95072a238350005ee1057f | Security Group Tag: none | EasyVPN: 0 ||
Username: VSodiset | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.80 | Public IP: 223.196.169.231 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:47:32 IST Wed Jun 10 2020 | Duration: 8h:12m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 368713896 | Bytes Rx: 243136952 | IP Addr: 10.149.232.80 | Public IP: 223.196.169.231 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:47:32 IST Wed Jun 10 2020 | Duration: 8h:12m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 368713896 | Bytes Rx: 243136952 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145467 | Audit Session ID: 0a95072a2383b0005ee1079c | Security Group Tag: none | EasyVPN: 0 |Session ID: 145467 | Audit Session ID: 0a95072a2383b0005ee1079c | Security Group Tag: none | EasyVPN: 0 ||
Username: partvija | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.82 | Public IP: 106.208.135.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:47:45 IST Wed Jun 10 2020 | Duration: 8h:12m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 44029428 | Bytes Rx: 19036478 | IP Addr: 10.149.232.82 | Public IP: 106.208.135.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:47:45 IST Wed Jun 10 2020 | Duration: 8h:12m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 44029428 | Bytes Rx: 19036478 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145468 | Audit Session ID: 0a95072a2383c0005ee107a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145468 | Audit Session ID: 0a95072a2383c0005ee107a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: patilami | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.158 | Public IP: 49.35.74.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:50:20 IST Wed Jun 10 2020 | Duration: 8h:10m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 2586413846 | Bytes Rx: 232308324 | IP Addr: 10.149.232.158 | Public IP: 49.35.74.118 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:50:20 IST Wed Jun 10 2020 | Duration: 8h:10m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 2586413846 | Bytes Rx: 232308324 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145469 | Audit Session ID: 0a95072a2383d0005ee10844 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145469 | Audit Session ID: 0a95072a2383d0005ee10844 | Security Group Tag: none | EasyVPN: 0 ||
Username: svemu | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.232 | Public IP: 183.83.139.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:52:34 IST Wed Jun 10 2020 | Duration: 8h:07m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 3660805991 | Bytes Rx: 173723018 | IP Addr: 10.149.232.232 | Public IP: 183.83.139.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:52:34 IST Wed Jun 10 2020 | Duration: 8h:07m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 3660805991 | Bytes Rx: 173723018 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145472 | Audit Session ID: 0a95072a238400005ee108ca | Security Group Tag: none | EasyVPN: 0 |Session ID: 145472 | Audit Session ID: 0a95072a238400005ee108ca | Security Group Tag: none | EasyVPN: 0 ||
Username: AMundre | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.253 | Public IP: 123.201.100.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:54:18 IST Wed Jun 10 2020 | Duration: 8h:06m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 143368146 | Bytes Rx: 88001363 | IP Addr: 10.149.232.253 | Public IP: 123.201.100.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:54:18 IST Wed Jun 10 2020 | Duration: 8h:06m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 143368146 | Bytes Rx: 88001363 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145475 | Audit Session ID: 0a95072a238430005ee10932 | Security Group Tag: none | EasyVPN: 0 |Session ID: 145475 | Audit Session ID: 0a95072a238430005ee10932 | Security Group Tag: none | EasyVPN: 0 ||
Username: gesamina | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC1 | IP Addr: 10.149.248.97 | Public IP: 106.197.149.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:56:21 IST Wed Jun 10 2020 | Duration: 8h:04m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1294041681 | Bytes Rx: 426456076 | IP Addr: 10.149.248.97 | Public IP: 106.197.149.193 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:56:21 IST Wed Jun 10 2020 | Duration: 8h:04m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 1294041681 | Bytes Rx: 426456076 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145477 | Audit Session ID: 0a95072a238450005ee109ad | Security Group Tag: none | EasyVPN: 0 |Session ID: 145477 | Audit Session ID: 0a95072a238450005ee109ad | Security Group Tag: none | EasyVPN: 0 ||
Username: rsubbura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.207 | Public IP: 115.97.77.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:02:46 IST Wed Jun 10 2020 | Duration: 7h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1305719271 | Bytes Rx: 240413432 | IP Addr: 10.149.233.207 | Public IP: 115.97.77.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:02:46 IST Wed Jun 10 2020 | Duration: 7h:57m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1305719271 | Bytes Rx: 240413432 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 145489 | Audit Session ID: 0a95072a238510005ee10b2e | Security Group Tag: none | EasyVPN: 0 |Session ID: 145489 | Audit Session ID: 0a95072a238510005ee10b2e | Security Group Tag: none | EasyVPN: 0 ||
