sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.127 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:40 IST Mon Jun 1 2020 | Duration: 4d 7h:31m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 18025393248 | Bytes Rx: 1542162480 | IP Addr: 10.149.233.127 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:40 IST Mon Jun 1 2020 | Duration: 4d 7h:31m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 18025393248 | Bytes Rx: 1542162480 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 125799 | Audit Session ID: 0a95072a1eb670005ed45be4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 125799 | Audit Session ID: 0a95072a1eb670005ed45be4 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 1d 15h:42m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2080563152 | Bytes Rx: 362527627 | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 1d 15h:42m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 2080563152 | Bytes Rx: 362527627 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 |Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 122.177.191.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:18:51 IST Thu Jun 4 2020 | Duration: 1d 4h:20m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 1834239708 | Bytes Rx: 920055062 | IP Addr: 10.149.233.54 | Public IP: 122.177.191.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:18:51 IST Thu Jun 4 2020 | Duration: 1d 4h:20m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 1834239708 | Bytes Rx: 920055062 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 132781 | Audit Session ID: 0a95072a206ad0005ed87d33 | Security Group Tag: none | EasyVPN: 0 |Session ID: 132781 | Audit Session ID: 0a95072a206ad0005ed87d33 | Security Group Tag: none | EasyVPN: 0 ||
Username: sasikuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.61 | Public IP: 157.46.0.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:01:40 IST Fri Jun 5 2020 | Duration: 8h:37m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 180779747 | Bytes Rx: 140479528 | IP Addr: 10.149.233.61 | Public IP: 157.46.0.230 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:01:40 IST Fri Jun 5 2020 | Duration: 8h:37m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 180779747 | Bytes Rx: 140479528 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134604 | Audit Session ID: 0a95072a20dcc0005ed9926c | Security Group Tag: none | EasyVPN: 0 |Session ID: 134604 | Audit Session ID: 0a95072a20dcc0005ed9926c | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.62 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:24 IST Fri Jun 5 2020 | Duration: 8h:36m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 368320522 | Bytes Rx: 96677036 | IP Addr: 10.149.233.62 | Public IP: 58.182.61.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:02:24 IST Fri Jun 5 2020 | Duration: 8h:36m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 368320522 | Bytes Rx: 96677036 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134605 | Audit Session ID: 0a95072a20dcd0005ed99298 | Security Group Tag: none | EasyVPN: 0 |Session ID: 134605 | Audit Session ID: 0a95072a20dcd0005ed99298 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.67 | Public IP: 210.18.161.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:03 IST Fri Jun 5 2020 | Duration: 7h:57m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1079937608 | Bytes Rx: 218111987 | IP Addr: 10.149.233.67 | Public IP: 210.18.161.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:03 IST Fri Jun 5 2020 | Duration: 7h:57m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1079937608 | Bytes Rx: 218111987 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134614 | Audit Session ID: 0a95072a20dd60005ed99be3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 134614 | Audit Session ID: 0a95072a20dd60005ed99be3 | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.68 | Public IP: 49.207.61.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:29 IST Fri Jun 5 2020 | Duration: 7h:55m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1814839388 | Bytes Rx: 1301515419 | IP Addr: 10.149.233.68 | Public IP: 49.207.61.211 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:29 IST Fri Jun 5 2020 | Duration: 7h:55m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 1814839388 | Bytes Rx: 1301515419 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134616 | Audit Session ID: 0a95072a20dd80005ed99c39 | Security Group Tag: none | EasyVPN: 0 |Session ID: 134616 | Audit Session ID: 0a95072a20dd80005ed99c39 | Security Group Tag: none | EasyVPN: 0 ||
Username: avengai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.81 | Public IP: 49.207.131.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:06 IST Fri Jun 5 2020 | Duration: 7h:39m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 393688599 | Bytes Rx: 83062350 | IP Addr: 10.149.233.81 | Public IP: 49.207.131.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:06 IST Fri Jun 5 2020 | Duration: 7h:39m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 393688599 | Bytes Rx: 83062350 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134630 | Audit Session ID: 0a95072a20de60005ed9a01e | Security Group Tag: none | EasyVPN: 0 |Session ID: 134630 | Audit Session ID: 0a95072a20de60005ed9a01e | Security Group Tag: none | EasyVPN: 0 ||
Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.78 | Public IP: 42.109.134.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:18 IST Fri Jun 5 2020 | Duration: 7h:38m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 141726788 | Bytes Rx: 29414087 | IP Addr: 10.149.233.78 | Public IP: 42.109.134.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:18 IST Fri Jun 5 2020 | Duration: 7h:38m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 141726788 | Bytes Rx: 29414087 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134632 | Audit Session ID: 0a95072a20de80005ed9a066 | Security Group Tag: none | EasyVPN: 0 |Session ID: 134632 | Audit Session ID: 0a95072a20de80005ed9a066 | Security Group Tag: none | EasyVPN: 0 ||
Username: ANarayan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.84 | Public IP: 27.5.152.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:15 IST Fri Jun 5 2020 | Duration: 7h:36m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 730557782 | Bytes Rx: 473937634 | IP Addr: 10.149.233.84 | Public IP: 27.5.152.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:15 IST Fri Jun 5 2020 | Duration: 7h:36m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 730557782 | Bytes Rx: 473937634 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134635 | Audit Session ID: 0a95072a20deb0005ed9a0db | Security Group Tag: none | EasyVPN: 0 |Session ID: 134635 | Audit Session ID: 0a95072a20deb0005ed9a0db | Security Group Tag: none | EasyVPN: 0 ||
Username: vumashan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC3 | IP Addr: 10.149.248.99 | Public IP: 106.222.124.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:07 IST Fri Jun 5 2020 | Duration: 7h:30m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 406461651 | Bytes Rx: 307815158 | IP Addr: 10.149.248.99 | Public IP: 106.222.124.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:07 IST Fri Jun 5 2020 | Duration: 7h:30m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 406461651 | Bytes Rx: 307815158 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 134638 | Audit Session ID: 0a95072a20dee0005ed9a23b | Security Group Tag: none | EasyVPN: 0 |Session ID: 134638 | Audit Session ID: 0a95072a20dee0005ed9a23b | Security Group Tag: none | EasyVPN: 0 ||
