sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 7d 10h:07m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 2324361599 | Bytes Rx: 709206384 | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 7d 10h:07m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 2324361599 | Bytes Rx: 709206384 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 ||
Username: risharma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.127 | Public IP: 219.91.250.209 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:27:23 IST Mon Jun 15 2020 | Duration: 3d 3h:32m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 4707054124 | Bytes Rx: 1689085720 | IP Addr: 10.150.238.127 | Public IP: 219.91.250.209 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:27:23 IST Mon Jun 15 2020 | Duration: 3d 3h:32m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 4707054124 | Bytes Rx: 1689085720 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24885 | Audit Session ID: 0a96cf6a061350005ee737f3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 24885 | Audit Session ID: 0a96cf6a061350005ee737f3 | Security Group Tag: none | EasyVPN: 0 ||
Username: RaviJais | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.190 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:15:30 IST Wed Jun 17 2020 | Duration: 1d 6h:44m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 766267835 | Bytes Rx: 590813575 | IP Addr: 10.150.249.190 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:15:30 IST Wed Jun 17 2020 | Duration: 1d 6h:44m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 766267835 | Bytes Rx: 590813575 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30916 | Audit Session ID: 0a96cf6a078c40005ee9adfa | Security Group Tag: none | EasyVPN: 0 |Session ID: 30916 | Audit Session ID: 0a96cf6a078c40005ee9adfa | Security Group Tag: none | EasyVPN: 0 ||
Username: rajib.debnath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.29 | Public IP: 103.100.37.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:29:21 IST Thu Jun 18 2020 | Duration: 17h:31m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1322186441 | Bytes Rx: 296257907 | IP Addr: 10.150.238.29 | Public IP: 103.100.37.220 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:29:21 IST Thu Jun 18 2020 | Duration: 17h:31m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1322186441 | Bytes Rx: 296257907 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33199 | Audit Session ID: 0a96cf6a081af0005eea6809 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33199 | Audit Session ID: 0a96cf6a081af0005eea6809 | Security Group Tag: none | EasyVPN: 0 ||
Username: DineshKN | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.125 | Public IP: 27.106.21.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:43 IST Thu Jun 18 2020 | Duration: 12h:15m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 128919958 | Bytes Rx: 84334283 | IP Addr: 10.150.239.125 | Public IP: 27.106.21.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:43 IST Thu Jun 18 2020 | Duration: 12h:15m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 128919958 | Bytes Rx: 84334283 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33260 | Audit Session ID: 0a96cf6a081ec0005eeab1f3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33260 | Audit Session ID: 0a96cf6a081ec0005eeab1f3 | Security Group Tag: none | EasyVPN: 0 ||
Username: sauswain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.251 | Public IP: 157.35.116.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:15 IST Thu Jun 18 2020 | Duration: 11h:39m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 117990889 | Bytes Rx: 65600185 | IP Addr: 10.150.239.251 | Public IP: 157.35.116.243 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:15 IST Thu Jun 18 2020 | Duration: 11h:39m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 117990889 | Bytes Rx: 65600185 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33272 | Audit Session ID: 0a96cf6a081f80005eeaba83 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33272 | Audit Session ID: 0a96cf6a081f80005eeaba83 | Security Group Tag: none | EasyVPN: 0 ||
Username: ARSHAIKH | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.143 | Public IP: 106.210.197.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:53 IST Thu Jun 18 2020 | Duration: 11h:18m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 340979037 | Bytes Rx: 109069944 | IP Addr: 10.150.239.143 | Public IP: 106.210.197.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:53 IST Thu Jun 18 2020 | Duration: 11h:18m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 340979037 | Bytes Rx: 109069944 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33278 | Audit Session ID: 0a96cf6a081fe0005eeabf59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33278 | Audit Session ID: 0a96cf6a081fe0005eeabf59 | Security Group Tag: none | EasyVPN: 0 ||
Username: AGarai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.242 | Public IP: 59.98.123.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:07 IST Thu Jun 18 2020 | Duration: 10h:56m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1241210762 | Bytes Rx: 429633224 | IP Addr: 10.150.238.242 | Public IP: 59.98.123.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:07 IST Thu Jun 18 2020 | Duration: 10h:56m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1241210762 | Bytes Rx: 429633224 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33306 | Audit Session ID: 0a96cf6a0821a0005eeac48f | Security Group Tag: none | EasyVPN: 0 |Session ID: 33306 | Audit Session ID: 0a96cf6a0821a0005eeac48f | Security Group Tag: none | EasyVPN: 0 ||
Username: anupam.anand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.139 | Public IP: 117.211.156.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:10:49 IST Thu Jun 18 2020 | Duration: 10h:49m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 928532076 | Bytes Rx: 372648614 | IP Addr: 10.150.239.139 | Public IP: 117.211.156.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:10:49 IST Thu Jun 18 2020 | Duration: 10h:49m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 928532076 | Bytes Rx: 372648614 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33328 | Audit Session ID: 0a96cf6a082300005eeac621 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33328 | Audit Session ID: 0a96cf6a082300005eeac621 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vinitku | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.174 | Public IP: 42.108.13.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:40 IST Thu Jun 18 2020 | Duration: 10h:47m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 996735516 | Bytes Rx: 195835611 | IP Addr: 10.150.239.174 | Public IP: 42.108.13.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:40 IST Thu Jun 18 2020 | Duration: 10h:47m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 996735516 | Bytes Rx: 195835611 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33330 | Audit Session ID: 0a96cf6a082320005eeac690 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33330 | Audit Session ID: 0a96cf6a082320005eeac690 | Security Group Tag: none | EasyVPN: 0 ||
Username: dipsahoo | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.175 | Public IP: 103.114.224.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:16 IST Thu Jun 18 2020 | Duration: 10h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1071151793 | Bytes Rx: 225396580 | IP Addr: 10.150.239.175 | Public IP: 103.114.224.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:16 IST Thu Jun 18 2020 | Duration: 10h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1071151793 | Bytes Rx: 225396580 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33331 | Audit Session ID: 0a96cf6a082330005eeac6b4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33331 | Audit Session ID: 0a96cf6a082330005eeac6b4 | Security Group Tag: none | EasyVPN: 0 ||
