sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rupameht | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 3h:50m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1882203588 | Bytes Rx: 608064483 | IP Addr: 10.150.244.159 | Public IP: 223.225.65.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:40:01 IST Mon Jun 15 2020 | Duration: 1d 3h:50m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1882203588 | Bytes Rx: 608064483 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 23817 | Audit Session ID: 0a96cf6905d090005ee702a9 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.175 | Public IP: 182.57.231.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 23h:57m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 909095783 | Bytes Rx: 344256777 | IP Addr: 10.147.96.175 | Public IP: 182.57.231.145 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 23h:57m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 909095783 | Bytes Rx: 344256777 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 |Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 21h:50m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 779757827 | Bytes Rx: 137179592 | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 21h:50m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 779757827 | Bytes Rx: 137179592 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: martiner | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.195 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:20 IST Mon Jun 15 2020 | Duration: 17h:24m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 255987020 | Bytes Rx: 92359034 | IP Addr: 10.150.236.195 | Public IP: 31.21.198.16 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:06:20 IST Mon Jun 15 2020 | Duration: 17h:24m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 255987020 | Bytes Rx: 92359034 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25983 | Audit Session ID: 0a96cf690657f0005ee79574 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25983 | Audit Session ID: 0a96cf690657f0005ee79574 | Security Group Tag: none | EasyVPN: 0 ||
Username: nikitasi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.129 | Public IP: 49.36.130.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:12:24 IST Tue Jun 16 2020 | Duration: 9h:18m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 176194066 | Bytes Rx: 85191388 | IP Addr: 10.150.236.129 | Public IP: 49.36.130.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:12:24 IST Tue Jun 16 2020 | Duration: 9h:18m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 176194066 | Bytes Rx: 85191388 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26482 | Audit Session ID: 0a96cf69067720005ee80760 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26482 | Audit Session ID: 0a96cf69067720005ee80760 | Security Group Tag: none | EasyVPN: 0 ||
Username: Nrkollam | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.83 | Public IP: 27.59.163.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 8h:03m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 945688587 | Bytes Rx: 108808490 | IP Addr: 10.150.237.83 | Public IP: 27.59.163.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:27:09 IST Tue Jun 16 2020 | Duration: 8h:03m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 945688587 | Bytes Rx: 108808490 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26528 | Audit Session ID: 0a96cf69067a00005ee818e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: aguramac | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 8h:00m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1463187522 | Bytes Rx: 847212735 | IP Addr: 10.150.236.131 | Public IP: 106.208.135.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:51 IST Tue Jun 16 2020 | Duration: 8h:00m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1463187522 | Bytes Rx: 847212735 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26530 | Audit Session ID: 0a96cf69067a20005ee81987 | Security Group Tag: none | EasyVPN: 0 ||
Username: aburnwal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.132 | Public IP: 157.33.254.248 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:39:55 IST Tue Jun 16 2020 | Duration: 7h:50m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 530779993 | Bytes Rx: 239515714 | IP Addr: 10.150.236.132 | Public IP: 157.33.254.248 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:39:55 IST Tue Jun 16 2020 | Duration: 7h:50m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 530779993 | Bytes Rx: 239515714 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26535 | Audit Session ID: 0a96cf69067a70005ee81be3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26535 | Audit Session ID: 0a96cf69067a70005ee81be3 | Security Group Tag: none | EasyVPN: 0 ||
Username: NitTawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.101 | Public IP: 106.193.107.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:15 IST Tue Jun 16 2020 | Duration: 7h:47m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 355685626 | Bytes Rx: 127166765 | IP Addr: 10.150.236.101 | Public IP: 106.193.107.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:15 IST Tue Jun 16 2020 | Duration: 7h:47m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 355685626 | Bytes Rx: 127166765 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26540 | Audit Session ID: 0a96cf69067ac0005ee81cab | Security Group Tag: none | EasyVPN: 0 |Session ID: 26540 | Audit Session ID: 0a96cf69067ac0005ee81cab | Security Group Tag: none | EasyVPN: 0 ||
Username: SachJag | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.103 | Public IP: 157.33.254.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:34 IST Tue Jun 16 2020 | Duration: 7h:46m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1609335387 | Bytes Rx: 427759511 | IP Addr: 10.150.236.103 | Public IP: 157.33.254.83 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:34 IST Tue Jun 16 2020 | Duration: 7h:46m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1609335387 | Bytes Rx: 427759511 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26543 | Audit Session ID: 0a96cf69067af0005ee81cbe | Security Group Tag: none | EasyVPN: 0 |Session ID: 26543 | Audit Session ID: 0a96cf69067af0005ee81cbe | Security Group Tag: none | EasyVPN: 0 ||
Username: DiSankhe | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TSC71 | IP Addr: 10.150.245.49 | Public IP: 103.29.119.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:11 IST Tue Jun 16 2020 | Duration: 7h:46m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 314699723 | Bytes Rx: 54620305 | IP Addr: 10.150.245.49 | Public IP: 103.29.119.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:11 IST Tue Jun 16 2020 | Duration: 7h:46m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 314699723 | Bytes Rx: 54620305 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 26545 | Audit Session ID: 0a96cf69067b10005ee81ce3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 26545 | Audit Session ID: 0a96cf69067b10005ee81ce3 | Security Group Tag: none | EasyVPN: 0 ||
