sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 5d 15h:17m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2235130985 | Bytes Rx: 4624632063 | IP Addr: 10.150.249.39 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:02:39 IST Mon Jun 8 2020 | Duration: 5d 15h:17m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2235130985 | Bytes Rx: 4624632063 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 5156 | Audit Session ID: 0a96cf6a014240005ede05b7 | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.249.218 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:15 IST Tue Jun 9 2020 | Duration: 4d 19h:29m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 2682548806 | Bytes Rx: 813147777 | IP Addr: 10.150.249.218 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:15 IST Tue Jun 9 2020 | Duration: 4d 19h:29m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 2682548806 | Bytes Rx: 813147777 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 7387 | Audit Session ID: 0a96cf6a01cdb0005edf1c0f | Security Group Tag: none | EasyVPN: 0 |Session ID: 7387 | Audit Session ID: 0a96cf6a01cdb0005edf1c0f | Security Group Tag: none | EasyVPN: 0 ||
Username: dgusain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.29 | Public IP: 122.179.166.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:34:59 IST Thu Jun 11 2020 | Duration: 3d 5h:45m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 4465327716 | Bytes Rx: 529572132 | IP Addr: 10.150.239.29 | Public IP: 122.179.166.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:34:59 IST Thu Jun 11 2020 | Duration: 3d 5h:45m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 4465327716 | Bytes Rx: 529572132 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13056 | Audit Session ID: 0a96cf6a033000005ee12edb | Security Group Tag: none | EasyVPN: 0 |Session ID: 13056 | Audit Session ID: 0a96cf6a033000005ee12edb | Security Group Tag: none | EasyVPN: 0 ||
Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 2d 22h:26m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1859988135 | Bytes Rx: 406538101 | IP Addr: 10.150.239.189 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:53:04 IST Thu Jun 11 2020 | Duration: 2d 22h:26m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 1859988135 | Bytes Rx: 406538101 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13259 | Audit Session ID: 0a96cf6a033cb0005ee19588 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajib.debnath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.59 | Public IP: 103.100.37.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:20:25 IST Thu Jun 11 2020 | Duration: 2d 15h:59m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1867793717 | Bytes Rx: 1123080798 | IP Addr: 10.150.239.59 | Public IP: 103.100.37.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:20:25 IST Thu Jun 11 2020 | Duration: 2d 15h:59m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1867793717 | Bytes Rx: 1123080798 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14924 | Audit Session ID: 0a96cf6a03a4c0005ee1f051 | Security Group Tag: none | EasyVPN: 0 |Session ID: 14924 | Audit Session ID: 0a96cf6a03a4c0005ee1f051 | Security Group Tag: none | EasyVPN: 0 ||
Username: rakesoni | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.142 | Public IP: 103.85.10.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:07:50 IST Fri Jun 12 2020 | Duration: 1d 15h:12m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 668956395 | Bytes Rx: 201212572 | IP Addr: 10.150.238.142 | Public IP: 103.85.10.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:07:50 IST Fri Jun 12 2020 | Duration: 1d 15h:12m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 668956395 | Bytes Rx: 201212572 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 18328 | Audit Session ID: 0a96cf6a047980005ee34cee | Security Group Tag: none | EasyVPN: 0 |Session ID: 18328 | Audit Session ID: 0a96cf6a047980005ee34cee | Security Group Tag: none | EasyVPN: 0 ||
Username: jlam | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.4 | Public IP: 219.78.20.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:48 IST Sat Jun 13 2020 | Duration: 19h:21m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 234661143 | Bytes Rx: 56346559 | IP Addr: 10.150.239.4 | Public IP: 219.78.20.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:58:48 IST Sat Jun 13 2020 | Duration: 19h:21m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 234661143 | Bytes Rx: 56346559 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20012 | Audit Session ID: 0a96cf6a04e2c0005ee46410 | Security Group Tag: none | EasyVPN: 0 |Session ID: 20012 | Audit Session ID: 0a96cf6a04e2c0005ee46410 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.42 | Public IP: 103.110.254.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:35 IST Sat Jun 13 2020 | Duration: 18h:24m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2431959225 | Bytes Rx: 258813076 | IP Addr: 10.150.239.42 | Public IP: 103.110.254.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:35 IST Sat Jun 13 2020 | Duration: 18h:24m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2431959225 | Bytes Rx: 258813076 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20162 | Audit Session ID: 0a96cf6a04ec20005ee4715f | Security Group Tag: none | EasyVPN: 0 |Session ID: 20162 | Audit Session ID: 0a96cf6a04ec20005ee4715f | Security Group Tag: none | EasyVPN: 0 ||
Username: ashishah | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.223 | Public IP: 103.110.255.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:42 IST Sat Jun 13 2020 | Duration: 18h:05m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 198689591 | Bytes Rx: 50853093 | IP Addr: 10.150.238.223 | Public IP: 103.110.255.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:42 IST Sat Jun 13 2020 | Duration: 18h:05m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 198689591 | Bytes Rx: 50853093 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20211 | Audit Session ID: 0a96cf6a04ef30005ee475da | Security Group Tag: none | EasyVPN: 0 |Session ID: 20211 | Audit Session ID: 0a96cf6a04ef30005ee475da | Security Group Tag: none | EasyVPN: 0 ||
Username: sduvva | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.150 | Public IP: 103.20.125.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:09 IST Sat Jun 13 2020 | Duration: 17h:41m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 2114605 | Bytes Rx: 1232791 | IP Addr: 10.150.239.150 | Public IP: 103.20.125.4 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:09 IST Sat Jun 13 2020 | Duration: 17h:41m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 2114605 | Bytes Rx: 1232791 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20258 | Audit Session ID: 0a96cf6a04f220005ee47b59 | Security Group Tag: none | EasyVPN: 0 |Session ID: 20258 | Audit Session ID: 0a96cf6a04f220005ee47b59 | Security Group Tag: none | EasyVPN: 0 ||
Username: kgorival | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.181 | Public IP: 157.33.165.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:43:19 IST Sat Jun 13 2020 | Duration: 11h:36m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 447271604 | Bytes Rx: 191062361 | IP Addr: 10.150.239.181 | Public IP: 157.33.165.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:43:19 IST Sat Jun 13 2020 | Duration: 11h:36m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 447271604 | Bytes Rx: 191062361 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 20966 | Audit Session ID: 0a96cf6a051e60005ee4d0ef | Security Group Tag: none | EasyVPN: 0 |Session ID: 20966 | Audit Session ID: 0a96cf6a051e60005ee4d0ef | Security Group Tag: none | EasyVPN: 0 ||
