sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 21h:39m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 3406261666 | Bytes Rx: 706072178 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 1d 21h:39m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 3406261666 | Bytes Rx: 706072178 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.151 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:39 IST Wed Jun 24 2020 | Duration: 22h:34m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 224575611 | Bytes Rx: 130997921 | IP Addr: 10.149.232.151 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:55:39 IST Wed Jun 24 2020 | Duration: 22h:34m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 224575611 | Bytes Rx: 130997921 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 170677 | Audit Session ID: 0a95072a29ab50005ef2f1e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 170677 | Audit Session ID: 0a95072a29ab50005ef2f1e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: npasupul | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.56 | Public IP: 157.48.192.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:34:29 IST Wed Jun 24 2020 | Duration: 19h:55m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 487125903 | Bytes Rx: 400958233 | IP Addr: 10.149.233.56 | Public IP: 157.48.192.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:34:29 IST Wed Jun 24 2020 | Duration: 19h:55m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 487125903 | Bytes Rx: 400958233 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 171352 | Audit Session ID: 0a95072a29d580005ef3171d | Security Group Tag: none | EasyVPN: 0 |Session ID: 171352 | Audit Session ID: 0a95072a29d580005ef3171d | Security Group Tag: none | EasyVPN: 0 ||
Username: anb.rao | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.32 | Public IP: 183.83.225.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:55:21 IST Wed Jun 24 2020 | Duration: 12h:34m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 251066241 | Bytes Rx: 65673299 | IP Addr: 10.149.233.32 | Public IP: 183.83.225.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:55:21 IST Wed Jun 24 2020 | Duration: 12h:34m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 251066241 | Bytes Rx: 65673299 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172081 | Audit Session ID: 0a95072a2a0310005ef37e71 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172081 | Audit Session ID: 0a95072a2a0310005ef37e71 | Security Group Tag: none | EasyVPN: 0 ||
Username: sasikuma | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.223 | Public IP: 157.50.182.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:38 IST Thu Jun 25 2020 | Duration: 4h:30m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 50951440 | Bytes Rx: 39735596 | IP Addr: 10.149.232.223 | Public IP: 157.50.182.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:59:38 IST Thu Jun 25 2020 | Duration: 4h:30m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 50951440 | Bytes Rx: 39735596 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172169 | Audit Session ID: 0a95072a2a0890005ef3eff2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172169 | Audit Session ID: 0a95072a2a0890005ef3eff2 | Security Group Tag: none | EasyVPN: 0 ||
Username: vvelu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 4h:21m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 113328612 | Bytes Rx: 77408845 | IP Addr: 10.149.232.224 | Public IP: 49.207.137.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:42 IST Thu Jun 25 2020 | Duration: 4h:21m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 113328612 | Bytes Rx: 77408845 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172171 | Audit Session ID: 0a95072a2a08b0005ef3f212 | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.229 | Public IP: 157.48.217.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:09 IST Thu Jun 25 2020 | Duration: 4h:09m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 64566294 | Bytes Rx: 27503599 | IP Addr: 10.149.232.229 | Public IP: 157.48.217.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:21:09 IST Thu Jun 25 2020 | Duration: 4h:09m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 64566294 | Bytes Rx: 27503599 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172178 | Audit Session ID: 0a95072a2a0920005ef3f4fd | Security Group Tag: none | EasyVPN: 0 |Session ID: 172178 | Audit Session ID: 0a95072a2a0920005ef3f4fd | Security Group Tag: none | EasyVPN: 0 ||
Username: MJagenat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.231 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:14 IST Thu Jun 25 2020 | Duration: 4h:08m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 41784852 | Bytes Rx: 11136202 | IP Addr: 10.149.232.231 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:22:14 IST Thu Jun 25 2020 | Duration: 4h:08m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 41784852 | Bytes Rx: 11136202 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172180 | Audit Session ID: 0a95072a2a0940005ef3f53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 172180 | Audit Session ID: 0a95072a2a0940005ef3f53e | Security Group Tag: none | EasyVPN: 0 ||
Username: JiBachha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.233 | Public IP: 157.33.247.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:14 IST Thu Jun 25 2020 | Duration: 4h:01m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 96809362 | Bytes Rx: 23238299 | IP Addr: 10.149.232.233 | Public IP: 157.33.247.9 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:29:14 IST Thu Jun 25 2020 | Duration: 4h:01m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 96809362 | Bytes Rx: 23238299 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172182 | Audit Session ID: 0a95072a2a0960005ef3f6e2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172182 | Audit Session ID: 0a95072a2a0960005ef3f6e2 | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.234 | Public IP: 106.51.26.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:57 IST Thu Jun 25 2020 | Duration: 3h:55m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 797508971 | Bytes Rx: 990436961 | IP Addr: 10.149.232.234 | Public IP: 106.51.26.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:57 IST Thu Jun 25 2020 | Duration: 3h:55m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 797508971 | Bytes Rx: 990436961 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172183 | Audit Session ID: 0a95072a2a0970005ef3f839 | Security Group Tag: none | EasyVPN: 0 |Session ID: 172183 | Audit Session ID: 0a95072a2a0970005ef3f839 | Security Group Tag: none | EasyVPN: 0 ||
Username: DhDorkhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.222 | Public IP: 49.35.50.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:09 IST Thu Jun 25 2020 | Duration: 3h:33m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 223801558 | Bytes Rx: 74410788 | IP Addr: 10.149.232.222 | Public IP: 49.35.50.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:09 IST Thu Jun 25 2020 | Duration: 3h:33m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 223801558 | Bytes Rx: 74410788 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 172186 | Audit Session ID: 0a95072a2a09a0005ef3fd6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 172186 | Audit Session ID: 0a95072a2a09a0005ef3fd6d | Security Group Tag: none | EasyVPN: 0 ||
