sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 3d 13h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 3201306176 | Bytes Rx: 1263316802 | IP Addr: 10.149.232.174 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:57:12 IST Wed Jun 3 2020 | Duration: 3d 13h:33m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 3201306176 | Bytes Rx: 1263316802 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 |Session ID: 132338 | Audit Session ID: 0a95072a204f20005ed7dd70 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 2d 2h:08m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 242242155 | Bytes Rx: 118648158 | IP Addr: 10.149.233.232 | Public IP: 192.140.152.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:22:13 IST Fri Jun 5 2020 | Duration: 2d 2h:08m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 242242155 | Bytes Rx: 118648158 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 135018 | Audit Session ID: 0a95072a20f6a0005ed9cf7d | Security Group Tag: none | EasyVPN: 0 ||
Username: senthild | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 16h:39m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 2938575195 | Bytes Rx: 731539969 | IP Addr: 10.149.232.12 | Public IP: 117.196.145.81 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:50:44 IST Sat Jun 6 2020 | Duration: 16h:39m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 2938575195 | Bytes Rx: 731539969 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 |Session ID: 137530 | Audit Session ID: 0a95072a2193a0005edba63c | Security Group Tag: none | EasyVPN: 0 ||
Username: kumaran.a | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.239 | Public IP: 157.51.216.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:05 IST Sun Jun 7 2020 | Duration: 5h:41m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 220103500 | Bytes Rx: 97420269 | IP Addr: 10.149.233.239 | Public IP: 157.51.216.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:05 IST Sun Jun 7 2020 | Duration: 5h:41m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 220103500 | Bytes Rx: 97420269 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137665 | Audit Session ID: 0a95072a219c10005edc4089 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137665 | Audit Session ID: 0a95072a219c10005edc4089 | Security Group Tag: none | EasyVPN: 0 ||
Username: PPaulbud | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.240 | Public IP: 49.35.194.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:25 IST Sun Jun 7 2020 | Duration: 5h:40m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 383908045 | Bytes Rx: 84019679 | IP Addr: 10.149.233.240 | Public IP: 49.35.194.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:25 IST Sun Jun 7 2020 | Duration: 5h:40m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 383908045 | Bytes Rx: 84019679 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137666 | Audit Session ID: 0a95072a219c20005edc409d | Security Group Tag: none | EasyVPN: 0 |Session ID: 137666 | Audit Session ID: 0a95072a219c20005edc409d | Security Group Tag: none | EasyVPN: 0 ||
Username: aadikhan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.241 | Public IP: 219.91.250.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:26 IST Sun Jun 7 2020 | Duration: 5h:40m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 351300043 | Bytes Rx: 110543520 | IP Addr: 10.149.233.241 | Public IP: 219.91.250.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:26 IST Sun Jun 7 2020 | Duration: 5h:40m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 351300043 | Bytes Rx: 110543520 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137667 | Audit Session ID: 0a95072a219c30005edc409e | Security Group Tag: none | EasyVPN: 0 |Session ID: 137667 | Audit Session ID: 0a95072a219c30005edc409e | Security Group Tag: none | EasyVPN: 0 ||
Username: jmali | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.244 | Public IP: 106.220.172.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:33 IST Sun Jun 7 2020 | Duration: 5h:35m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 300766090 | Bytes Rx: 152823610 | IP Addr: 10.149.233.244 | Public IP: 106.220.172.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:33 IST Sun Jun 7 2020 | Duration: 5h:35m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 300766090 | Bytes Rx: 152823610 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137670 | Audit Session ID: 0a95072a219c60005edc41d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137670 | Audit Session ID: 0a95072a219c60005edc41d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: svaithiy | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC8 | IP Addr: 10.149.248.104 | Public IP: 157.50.25.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:37 IST Sun Jun 7 2020 | Duration: 5h:35m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 309835821 | Bytes Rx: 137525987 | IP Addr: 10.149.248.104 | Public IP: 157.50.25.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:37 IST Sun Jun 7 2020 | Duration: 5h:35m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 309835821 | Bytes Rx: 137525987 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137671 | Audit Session ID: 0a95072a219c70005edc41d5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137671 | Audit Session ID: 0a95072a219c70005edc41d5 | Security Group Tag: none | EasyVPN: 0 ||
Username: BhagGaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.247 | Public IP: 106.220.172.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:33 IST Sun Jun 7 2020 | Duration: 5h:33m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 139963611 | Bytes Rx: 74038477 | IP Addr: 10.149.233.247 | Public IP: 106.220.172.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:33 IST Sun Jun 7 2020 | Duration: 5h:33m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 139963611 | Bytes Rx: 74038477 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137673 | Audit Session ID: 0a95072a219c90005edc4249 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137673 | Audit Session ID: 0a95072a219c90005edc4249 | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.246 | Public IP: 49.35.61.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:38 IST Sun Jun 7 2020 | Duration: 5h:33m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 169369632 | Bytes Rx: 80391819 | IP Addr: 10.149.233.246 | Public IP: 49.35.61.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:38 IST Sun Jun 7 2020 | Duration: 5h:33m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 169369632 | Bytes Rx: 80391819 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137674 | Audit Session ID: 0a95072a219ca0005edc424e | Security Group Tag: none | EasyVPN: 0 |Session ID: 137674 | Audit Session ID: 0a95072a219ca0005edc424e | Security Group Tag: none | EasyVPN: 0 ||
Username: AntonyP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.248 | Public IP: 117.201.130.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:44 IST Sun Jun 7 2020 | Duration: 5h:32m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1346562682 | Bytes Rx: 139533844 | IP Addr: 10.149.233.248 | Public IP: 117.201.130.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:44 IST Sun Jun 7 2020 | Duration: 5h:32m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1346562682 | Bytes Rx: 139533844 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 137675 | Audit Session ID: 0a95072a219cb0005edc4290 | Security Group Tag: none | EasyVPN: 0 |Session ID: 137675 | Audit Session ID: 0a95072a219cb0005edc4290 | Security Group Tag: none | EasyVPN: 0 ||
