sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.222 | Public IP: 122.177.172.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:49 IST Wed Jun 17 2020 | Duration: 1d 18h:58m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 434971918 | Bytes Rx: 246470826 | IP Addr: 10.147.96.222 | Public IP: 122.177.172.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:49 IST Wed Jun 17 2020 | Duration: 1d 18h:58m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 434971918 | Bytes Rx: 246470826 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31919 | Audit Session ID: 0a96cf6907caf0005ee9c8c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 31919 | Audit Session ID: 0a96cf6907caf0005ee9c8c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: sunaredi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.152 | Public IP: 182.70.34.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:28 IST Wed Jun 17 2020 | Duration: 1d 12h:22m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1863665272 | Bytes Rx: 562694851 | IP Addr: 10.150.236.152 | Public IP: 182.70.34.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:28 IST Wed Jun 17 2020 | Duration: 1d 12h:22m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1863665272 | Bytes Rx: 562694851 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33317 | Audit Session ID: 0a96cf69082250005eea2580 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33317 | Audit Session ID: 0a96cf69082250005eea2580 | Security Group Tag: none | EasyVPN: 0 ||
Username: nisinha | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.107 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:55:20 IST Thu Jun 18 2020 | Duration: 1d 0h:12m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 962568485 | Bytes Rx: 226601007 | IP Addr: 10.150.237.107 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:55:20 IST Thu Jun 18 2020 | Duration: 1d 0h:12m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 962568485 | Bytes Rx: 226601007 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 34128 | Audit Session ID: 0a96cf69085500005eead090 | Security Group Tag: none | EasyVPN: 0 |Session ID: 34128 | Audit Session ID: 0a96cf69085500005eead090 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.35 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:31:39 IST Thu Jun 18 2020 | Duration: 23h:36m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 1353028756 | Bytes Rx: 217166331 | IP Addr: 10.150.237.35 | Public IP: 103.110.254.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:31:39 IST Thu Jun 18 2020 | Duration: 23h:36m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 1353028756 | Bytes Rx: 217166331 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 34187 | Audit Session ID: 0a96cf690858b0005eead913 | Security Group Tag: none | EasyVPN: 0 |Session ID: 34187 | Audit Session ID: 0a96cf690858b0005eead913 | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 17h:45m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 341354810 | Bytes Rx: 135912924 | IP Addr: 10.150.236.171 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:22:37 IST Thu Jun 18 2020 | Duration: 17h:45m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 341354810 | Bytes Rx: 135912924 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 |Session ID: 35785 | Audit Session ID: 0a96cf6908bc90005eeb2b55 | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 14h:43m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1422951511 | Bytes Rx: 433987882 | IP Addr: 10.150.236.102 | Public IP: 124.123.182.110 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:24:25 IST Thu Jun 18 2020 | Duration: 14h:43m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 1422951511 | Bytes Rx: 433987882 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 36537 | Audit Session ID: 0a96cf6908eb90005eeb55f1 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 12h:01m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 124618408 | Bytes Rx: 456190972 | IP Addr: 10.150.237.249 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:06:56 IST Thu Jun 18 2020 | Duration: 12h:01m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 124618408 | Bytes Rx: 456190972 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37079 | Audit Session ID: 0a96cf69090d70005eeb7c08 | Security Group Tag: none | EasyVPN: 0 ||
Username: SachWagh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.229 | Public IP: 103.97.104.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:07:20 IST Thu Jun 18 2020 | Duration: 12h:00m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 2322608450 | Bytes Rx: 470716560 | IP Addr: 10.150.236.229 | Public IP: 103.97.104.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:07:20 IST Thu Jun 18 2020 | Duration: 12h:00m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 2322608450 | Bytes Rx: 470716560 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37081 | Audit Session ID: 0a96cf69090d90005eeb7c20 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37081 | Audit Session ID: 0a96cf69090d90005eeb7c20 | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:49:30 IST Thu Jun 18 2020 | Duration: 11h:18m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 383835118 | Bytes Rx: 106117036 | IP Addr: 10.150.237.37 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:49:30 IST Thu Jun 18 2020 | Duration: 11h:18m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 383835118 | Bytes Rx: 106117036 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37177 | Audit Session ID: 0a96cf69091390005eeb8602 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37177 | Audit Session ID: 0a96cf69091390005eeb8602 | Security Group Tag: none | EasyVPN: 0 ||
Username: ssyedali | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.45 | Public IP: 103.98.63.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:32 IST Thu Jun 18 2020 | Duration: 11h:16m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 240144472 | Bytes Rx: 37511106 | IP Addr: 10.150.237.45 | Public IP: 103.98.63.216 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:51:32 IST Thu Jun 18 2020 | Duration: 11h:16m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 240144472 | Bytes Rx: 37511106 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37184 | Audit Session ID: 0a96cf69091400005eeb867c | Security Group Tag: none | EasyVPN: 0 |Session ID: 37184 | Audit Session ID: 0a96cf69091400005eeb867c | Security Group Tag: none | EasyVPN: 0 ||
Username: PKulkarn | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.44 | Public IP: 103.132.244.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:55:20 IST Thu Jun 18 2020 | Duration: 11h:12m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 859188956 | Bytes Rx: 129869073 | IP Addr: 10.150.236.44 | Public IP: 103.132.244.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:55:20 IST Thu Jun 18 2020 | Duration: 11h:12m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 859188956 | Bytes Rx: 129869073 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 37198 | Audit Session ID: 0a96cf690914e0005eeb8760 | Security Group Tag: none | EasyVPN: 0 |Session ID: 37198 | Audit Session ID: 0a96cf690914e0005eeb8760 | Security Group Tag: none | EasyVPN: 0 ||
