sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: PratKamb | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.172 | Public IP: 49.35.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:09:09 IST Sat Jul 18 2020 | Duration: 1d 20h:21m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2406769435 | Bytes Rx: 522863497 | IP Addr: 10.150.238.172 | Public IP: 49.35.83.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:09:09 IST Sat Jul 18 2020 | Duration: 1d 20h:21m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 2406769435 | Bytes Rx: 522863497 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 128137 | Audit Session ID: 0a96cf6a1f4890005f12990d | Security Group Tag: none | EasyVPN: 0 |Session ID: 128137 | Audit Session ID: 0a96cf6a1f4890005f12990d | Security Group Tag: none | EasyVPN: 0 ||
Username: VisheshK | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.14 | Public IP: 223.229.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:40 IST Sun Jul 19 2020 | Duration: 1d 1h:27m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 564522605 | Bytes Rx: 239303689 | IP Addr: 10.150.239.14 | Public IP: 223.229.223.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:40 IST Sun Jul 19 2020 | Duration: 1d 1h:27m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 564522605 | Bytes Rx: 239303689 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129623 | Audit Session ID: 0a96cf6a1fa570005f13a2b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 129623 | Audit Session ID: 0a96cf6a1fa570005f13a2b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.176 | Public IP: 183.87.42.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:46 IST Sun Jul 19 2020 | Duration: 22h:24m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1743986763 | Bytes Rx: 180315522 | IP Addr: 10.150.238.176 | Public IP: 183.87.42.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:46 IST Sun Jul 19 2020 | Duration: 22h:24m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1743986763 | Bytes Rx: 180315522 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129835 | Audit Session ID: 0a96cf6a1fb2b0005f13cda2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 129835 | Audit Session ID: 0a96cf6a1fb2b0005f13cda2 | Security Group Tag: none | EasyVPN: 0 ||
Username: gmalik | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.52 | Public IP: 122.177.79.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:38 IST Sun Jul 19 2020 | Duration: 20h:48m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 595488912 | Bytes Rx: 115522249 | IP Addr: 10.150.239.52 | Public IP: 122.177.79.100 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:38 IST Sun Jul 19 2020 | Duration: 20h:48m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 595488912 | Bytes Rx: 115522249 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 129964 | Audit Session ID: 0a96cf6a1fbac0005f13e41a | Security Group Tag: none | EasyVPN: 0 |Session ID: 129964 | Audit Session ID: 0a96cf6a1fbac0005f13e41a | Security Group Tag: none | EasyVPN: 0 ||
Username: rahulmar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.189 | Public IP: 103.220.80.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:43 IST Sun Jul 19 2020 | Duration: 18h:33m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 705273624 | Bytes Rx: 238213030 | IP Addr: 10.150.238.189 | Public IP: 103.220.80.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:56:43 IST Sun Jul 19 2020 | Duration: 18h:33m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 705273624 | Bytes Rx: 238213030 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130190 | Audit Session ID: 0a96cf6a1fc8e0005f1403c3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130190 | Audit Session ID: 0a96cf6a1fc8e0005f1403c3 | Security Group Tag: none | EasyVPN: 0 ||
Username: ashish.jain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.195 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:59:20 IST Sun Jul 19 2020 | Duration: 12h:30m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 234191393 | Bytes Rx: 23250749 | IP Addr: 10.150.238.195 | Public IP: 73.10.74.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:59:20 IST Sun Jul 19 2020 | Duration: 12h:30m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 234191393 | Bytes Rx: 23250749 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130679 | Audit Session ID: 0a96cf6a1fe770005f1458c0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130679 | Audit Session ID: 0a96cf6a1fe770005f1458c0 | Security Group Tag: none | EasyVPN: 0 ||
Username: ankipate | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.239.159 | Public IP: 157.43.28.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:56 IST Sun Jul 19 2020 | Duration: 10h:19m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1444284599 | Bytes Rx: 252063015 | IP Addr: 10.150.239.159 | Public IP: 157.43.28.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:56 IST Sun Jul 19 2020 | Duration: 10h:19m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1444284599 | Bytes Rx: 252063015 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130913 | Audit Session ID: 0a96cf6a1ff610005f147798 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130913 | Audit Session ID: 0a96cf6a1ff610005f147798 | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.238.153 | Public IP: 103.110.253.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:39:56 IST Sun Jul 19 2020 | Duration: 9h:50m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 108680012 | Bytes Rx: 27685805 | IP Addr: 10.150.238.153 | Public IP: 103.110.253.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:39:56 IST Sun Jul 19 2020 | Duration: 9h:50m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 108680012 | Bytes Rx: 27685805 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 130946 | Audit Session ID: 0a96cf6a1ff820005f147e64 | Security Group Tag: none | EasyVPN: 0 |Session ID: 130946 | Audit Session ID: 0a96cf6a1ff820005f147e64 | Security Group Tag: none | EasyVPN: 0 ||
Username: RajvaRaw | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.30 | Public IP: 103.208.71.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:18:56 IST Mon Jul 20 2020 | Duration: 6h:11m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 649823478 | Bytes Rx: 93472913 | IP Addr: 10.150.239.30 | Public IP: 103.208.71.162 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:18:56 IST Mon Jul 20 2020 | Duration: 6h:11m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 649823478 | Bytes Rx: 93472913 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131097 | Audit Session ID: 0a96cf6a200190005f14b1b8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131097 | Audit Session ID: 0a96cf6a200190005f14b1b8 | Security Group Tag: none | EasyVPN: 0 ||
Username: ayeole | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.244 | Public IP: 103.252.53.129 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:36:02 IST Mon Jul 20 2020 | Duration: 4h:54m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 3891417532 | Bytes Rx: 258112400 | IP Addr: 10.150.238.244 | Public IP: 103.252.53.129 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:36:02 IST Mon Jul 20 2020 | Duration: 4h:54m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 3891417532 | Bytes Rx: 258112400 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131108 | Audit Session ID: 0a96cf6a200240005f14c3ca | Security Group Tag: none | EasyVPN: 0 |Session ID: 131108 | Audit Session ID: 0a96cf6a200240005f14c3ca | Security Group Tag: none | EasyVPN: 0 ||
Username: prasgiri | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.56 | Public IP: 106.193.209.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:30:20 IST Mon Jul 20 2020 | Duration: 3h:59m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 88691472 | Bytes Rx: 42720597 | IP Addr: 10.150.239.56 | Public IP: 106.193.209.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:30:20 IST Mon Jul 20 2020 | Duration: 3h:59m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 88691472 | Bytes Rx: 42720597 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 131117 | Audit Session ID: 0a96cf6a2002d0005f14d084 | Security Group Tag: none | EasyVPN: 0 |Session ID: 131117 | Audit Session ID: 0a96cf6a2002d0005f14d084 | Security Group Tag: none | EasyVPN: 0 ||
