sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.224 | Public IP: 103.241.226.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:11:43 IST Thu Jun 18 2020 | Duration: 3d 1h:20m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1838992419 | Bytes Rx: 739952502 | IP Addr: 10.149.235.224 | Public IP: 103.241.226.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:11:43 IST Thu Jun 18 2020 | Duration: 3d 1h:20m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1838992419 | Bytes Rx: 739952502 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 177298 | Audit Session ID: 0a95072b2b4920005eeb0ca7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 177298 | Audit Session ID: 0a95072b2b4920005eeb0ca7 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.12 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:24:10 IST Thu Jun 18 2020 | Duration: 2d 14h:07m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 16772437790 | Bytes Rx: 2458007298 | IP Addr: 10.149.235.12 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:24:10 IST Thu Jun 18 2020 | Duration: 2d 14h:07m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 16772437790 | Bytes Rx: 2458007298 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 178770 | Audit Session ID: 0a95072b2ba520005eebaa42 | Security Group Tag: none | EasyVPN: 0 |Session ID: 178770 | Audit Session ID: 0a95072b2ba520005eebaa42 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 1d 18h:57m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 104071057 | Bytes Rx: 110747822 | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 1d 18h:57m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 104071057 | Bytes Rx: 110747822 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrbanda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.36 | Public IP: 124.123.174.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:12 IST Sat Jun 20 2020 | Duration: 1d 3h:26m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 452787409 | Bytes Rx: 677260251 | IP Addr: 10.149.235.36 | Public IP: 124.123.174.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:12 IST Sat Jun 20 2020 | Duration: 1d 3h:26m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 452787409 | Bytes Rx: 677260251 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 181494 | Audit Session ID: 0a95072b2c4f60005eed9200 | Security Group Tag: none | EasyVPN: 0 |Session ID: 181494 | Audit Session ID: 0a95072b2c4f60005eed9200 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vmuthu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.99 | Public IP: 182.65.107.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:43:54 IST Sat Jun 20 2020 | Duration: 17h:48m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 113260414 | Bytes Rx: 60901156 | IP Addr: 10.149.235.99 | Public IP: 182.65.107.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:43:54 IST Sat Jun 20 2020 | Duration: 17h:48m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 113260414 | Bytes Rx: 60901156 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182241 | Audit Session ID: 0a95072b2c7e10005eee19a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182241 | Audit Session ID: 0a95072b2c7e10005eee19a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: pspartha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.69 | Public IP: 115.97.74.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:25 IST Sun Jun 21 2020 | Duration: 6h:49m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 779277146 | Bytes Rx: 170757901 | IP Addr: 10.149.235.69 | Public IP: 115.97.74.151 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:25 IST Sun Jun 21 2020 | Duration: 6h:49m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 779277146 | Bytes Rx: 170757901 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182463 | Audit Session ID: 0a95072b2c8bf0005eeeb3f9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182463 | Audit Session ID: 0a95072b2c8bf0005eeeb3f9 | Security Group Tag: none | EasyVPN: 0 ||
Username: sumbaric | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.225 | Public IP: 103.217.231.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:27 IST Sun Jun 21 2020 | Duration: 6h:42m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 523226278 | Bytes Rx: 160906879 | IP Addr: 10.149.234.225 | Public IP: 103.217.231.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:27 IST Sun Jun 21 2020 | Duration: 6h:42m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 523226278 | Bytes Rx: 160906879 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182468 | Audit Session ID: 0a95072b2c8c40005eeeb59f | Security Group Tag: none | EasyVPN: 0 |Session ID: 182468 | Audit Session ID: 0a95072b2c8c40005eeeb59f | Security Group Tag: none | EasyVPN: 0 ||
Username: sasif | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.226 | Public IP: 106.220.185.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:30 IST Sun Jun 21 2020 | Duration: 6h:41m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 321349838 | Bytes Rx: 127862075 | IP Addr: 10.149.234.226 | Public IP: 106.220.185.231 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:30 IST Sun Jun 21 2020 | Duration: 6h:41m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 321349838 | Bytes Rx: 127862075 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182469 | Audit Session ID: 0a95072b2c8c50005eeeb5de | Security Group Tag: none | EasyVPN: 0 |Session ID: 182469 | Audit Session ID: 0a95072b2c8c50005eeeb5de | Security Group Tag: none | EasyVPN: 0 ||
Username: AMundre | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.66 | Public IP: 123.201.100.63 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:51 IST Sun Jun 21 2020 | Duration: 6h:33m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 212186084 | Bytes Rx: 86011589 | IP Addr: 10.149.235.66 | Public IP: 123.201.100.63 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:51 IST Sun Jun 21 2020 | Duration: 6h:33m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 212186084 | Bytes Rx: 86011589 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182470 | Audit Session ID: 0a95072b2c8c60005eeeb7d3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182470 | Audit Session ID: 0a95072b2c8c60005eeeb7d3 | Security Group Tag: none | EasyVPN: 0 ||
Username: MuthuVN | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.186 | Public IP: 49.207.141.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:16 IST Sun Jun 21 2020 | Duration: 6h:24m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 82915409 | Bytes Rx: 25748873 | IP Addr: 10.149.234.186 | Public IP: 49.207.141.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:07:16 IST Sun Jun 21 2020 | Duration: 6h:24m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 82915409 | Bytes Rx: 25748873 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182471 | Audit Session ID: 0a95072b2c8c70005eeeb9cc | Security Group Tag: none | EasyVPN: 0 |Session ID: 182471 | Audit Session ID: 0a95072b2c8c70005eeeb9cc | Security Group Tag: none | EasyVPN: 0 ||
Username: niswmoha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC18 | IP Addr: 10.149.248.232 | Public IP: 157.50.189.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:58 IST Sun Jun 21 2020 | Duration: 6h:19m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 444832016 | Bytes Rx: 173600059 | IP Addr: 10.149.248.232 | Public IP: 157.50.189.163 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:12:58 IST Sun Jun 21 2020 | Duration: 6h:19m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 444832016 | Bytes Rx: 173600059 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182475 | Audit Session ID: 0a95072b2c8cb0005eeebb22 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182475 | Audit Session ID: 0a95072b2c8cb0005eeebb22 | Security Group Tag: none | EasyVPN: 0 ||
