sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 3d 11h:26m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 537994818 | Bytes Rx: 552950577 | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 3d 11h:26m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 537994818 | Bytes Rx: 552950577 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 1d 7h:10m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 887420491 | Bytes Rx: 317537479 | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 1d 7h:10m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 887420491 | Bytes Rx: 317537479 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 ||
Username: ppai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.160 | Public IP: 49.37.198.110 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:59 IST Mon Jun 22 2020 | Duration: 21h:56m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1122457259 | Bytes Rx: 1121439233 | IP Addr: 10.149.235.160 | Public IP: 49.37.198.110 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:59 IST Mon Jun 22 2020 | Duration: 21h:56m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 1122457259 | Bytes Rx: 1121439233 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183396 | Audit Session ID: 0a95072b2cc640005ef01897 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183396 | Audit Session ID: 0a95072b2cc640005ef01897 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.167 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:13:08 IST Mon Jun 22 2020 | Duration: 21h:47m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 239150705 | Bytes Rx: 140986857 | IP Addr: 10.149.235.167 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:13:08 IST Mon Jun 22 2020 | Duration: 21h:47m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 239150705 | Bytes Rx: 140986857 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183398 | Audit Session ID: 0a95072b2cc660005ef01abc | Security Group Tag: none | EasyVPN: 0 |Session ID: 183398 | Audit Session ID: 0a95072b2cc660005ef01abc | Security Group Tag: none | EasyVPN: 0 ||
Username: anindya.poddar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.234.203 | Public IP: 122.172.171.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:47:59 IST Mon Jun 22 2020 | Duration: 19h:12m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 375933866 | Bytes Rx: 241398770 | IP Addr: 10.149.234.203 | Public IP: 122.172.171.244 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:47:59 IST Mon Jun 22 2020 | Duration: 19h:12m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 375933866 | Bytes Rx: 241398770 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183948 | Audit Session ID: 0a95072b2ce8c0005ef03f07 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183948 | Audit Session ID: 0a95072b2ce8c0005ef03f07 | Security Group Tag: none | EasyVPN: 0 ||
Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.14 | Public IP: 103.241.226.252 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:19:56 IST Mon Jun 22 2020 | Duration: 18h:40m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1824837073 | Bytes Rx: 226444543 | IP Addr: 10.149.235.14 | Public IP: 103.241.226.252 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:19:56 IST Mon Jun 22 2020 | Duration: 18h:40m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1824837073 | Bytes Rx: 226444543 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 184072 | Audit Session ID: 0a95072b2cf080005ef04684 | Security Group Tag: none | EasyVPN: 0 |Session ID: 184072 | Audit Session ID: 0a95072b2cf080005ef04684 | Security Group Tag: none | EasyVPN: 0 ||
Username: keshav.n | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.163 | Public IP: 27.5.244.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:45:29 IST Mon Jun 22 2020 | Duration: 16h:14m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 602602386 | Bytes Rx: 473905120 | IP Addr: 10.149.234.163 | Public IP: 27.5.244.11 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:45:29 IST Mon Jun 22 2020 | Duration: 16h:14m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 602602386 | Bytes Rx: 473905120 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 184789 | Audit Session ID: 0a95072b2d1d50005ef068a1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 184789 | Audit Session ID: 0a95072b2d1d50005ef068a1 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.243.198 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:32 IST Mon Jun 22 2020 | Duration: 13h:25m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 394113522 | Bytes Rx: 168926870 | IP Addr: 10.149.243.198 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:32 IST Mon Jun 22 2020 | Duration: 13h:25m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 394113522 | Bytes Rx: 168926870 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 185248 | Audit Session ID: 0a95072b2d3a00005ef09040 | Security Group Tag: none | EasyVPN: 0 |Session ID: 185248 | Audit Session ID: 0a95072b2d3a00005ef09040 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vgovinda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.243.85 | Public IP: 27.62.120.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:17:50 IST Mon Jun 22 2020 | Duration: 12h:42m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 3021426485 | Bytes Rx: 375971776 | IP Addr: 10.149.243.85 | Public IP: 27.62.120.176 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:17:50 IST Mon Jun 22 2020 | Duration: 12h:42m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 3021426485 | Bytes Rx: 375971776 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 185345 | Audit Session ID: 0a95072b2d4010005ef09a66 | Security Group Tag: none | EasyVPN: 0 |Session ID: 185345 | Audit Session ID: 0a95072b2d4010005ef09a66 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajac | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.139 | Public IP: 182.65.101.221 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 18:20:55 IST Mon Jun 22 2020 | Duration: 11h:39m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1276822097 | Bytes Rx: 270192237 | IP Addr: 10.149.234.139 | Public IP: 182.65.101.221 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 18:20:55 IST Mon Jun 22 2020 | Duration: 11h:39m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 1276822097 | Bytes Rx: 270192237 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 185493 | Audit Session ID: 0a95072b2d4950005ef0a92f | Security Group Tag: none | EasyVPN: 0 |Session ID: 185493 | Audit Session ID: 0a95072b2d4950005ef0a92f | Security Group Tag: none | EasyVPN: 0 ||
Username: senthild | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.55 | Public IP: 117.196.144.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:12:17 IST Mon Jun 22 2020 | Duration: 10h:47m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 117514159 | Bytes Rx: 61170521 | IP Addr: 10.149.235.55 | Public IP: 117.196.144.17 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:12:17 IST Mon Jun 22 2020 | Duration: 10h:47m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 117514159 | Bytes Rx: 61170521 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 185612 | Audit Session ID: 0a95072b2d50c0005ef0b539 | Security Group Tag: none | EasyVPN: 0 |Session ID: 185612 | Audit Session ID: 0a95072b2d50c0005ef0b539 | Security Group Tag: none | EasyVPN: 0 ||
