sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mhakonse | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 8d 9h:45m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 4493926725 | Bytes Rx: 877580898 | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 8d 9h:45m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 4493926725 | Bytes Rx: 877580898 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 |Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 ||
Username: mheeley | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 6d 17h:50m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 4583276849 | Bytes Rx: 615065956 | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 6d 17h:50m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 4583276849 | Bytes Rx: 615065956 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 |Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 ||
Username: shreeshp | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 6d 16h:53m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 11008147824 | Bytes Rx: 4112768507 | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 6d 16h:53m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 11008147824 | Bytes Rx: 4112768507 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 |Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 ||
Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 5d 16h:57m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 6488741863 | Bytes Rx: 1300436490 | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 5d 16h:57m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 6488741863 | Bytes Rx: 1300436490 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 |Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 ||
Username: dougktl | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 5d 13h:31m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 2758238423 | Bytes Rx: 956537620 | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 5d 13h:31m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 2758238423 | Bytes Rx: 956537620 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 ||
Username: thakur.das | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.61 | Public IP: 1.38.45.238 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:59:20 UTC Sat Jun 6 2020 | Duration: 3d 20h:06m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 5763189743 | Bytes Rx: 952045374 | IP Addr: 10.145.233.61 | Public IP: 1.38.45.238 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:59:20 UTC Sat Jun 6 2020 | Duration: 3d 20h:06m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 5763189743 | Bytes Rx: 952045374 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80646 | Audit Session ID: 0a91072813b060005edb68f8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80646 | Audit Session ID: 0a91072813b060005edb68f8 | Security Group Tag: none | EasyVPN: 0 ||
Username: tanviahl | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.164 | Public IP: 111.125.230.60 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 05:59:25 UTC Mon Jun 8 2020 | Duration: 2d 0h:06m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2127484715 | Bytes Rx: 2188173960 | IP Addr: 10.145.233.164 | Public IP: 111.125.230.60 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 05:59:25 UTC Mon Jun 8 2020 | Duration: 2d 0h:06m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 2127484715 | Bytes Rx: 2188173960 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80966 | Audit Session ID: 0a91072813c460005eddd3bd | Security Group Tag: none | EasyVPN: 0 |Session ID: 80966 | Audit Session ID: 0a91072813c460005eddd3bd | Security Group Tag: none | EasyVPN: 0 ||
Username: mdzialow | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.220 | Public IP: 90.248.242.80 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:35 UTC Mon Jun 8 2020 | Duration: 1d 22h:05m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 2335233923 | Bytes Rx: 1162355188 | IP Addr: 10.145.233.220 | Public IP: 90.248.242.80 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:00:35 UTC Mon Jun 8 2020 | Duration: 1d 22h:05m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 2335233923 | Bytes Rx: 1162355188 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 81067 | Audit Session ID: 0a91072813cab0005eddf023 | Security Group Tag: none | EasyVPN: 0 |Session ID: 81067 | Audit Session ID: 0a91072813cab0005eddf023 | Security Group Tag: none | EasyVPN: 0 ||
Username: ighaouar | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.160 | Public IP: 82.124.213.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:12 UTC Mon Jun 8 2020 | Duration: 1d 21h:20m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 3059078984 | Bytes Rx: 1218481483 | IP Addr: 10.145.233.160 | Public IP: 82.124.213.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:12 UTC Mon Jun 8 2020 | Duration: 1d 21h:20m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 3059078984 | Bytes Rx: 1218481483 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 81105 | Audit Session ID: 0a91072813cd10005eddfa98 | Security Group Tag: none | EasyVPN: 0 |Session ID: 81105 | Audit Session ID: 0a91072813cd10005eddfa98 | Security Group Tag: none | EasyVPN: 0 ||
Username: jmoulder | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.166 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:01:42 UTC Mon Jun 8 2020 | Duration: 1d 21h:03m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 1951054632 | Bytes Rx: 279744254 | IP Addr: 10.145.233.166 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:01:42 UTC Mon Jun 8 2020 | Duration: 1d 21h:03m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 1951054632 | Bytes Rx: 279744254 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 81117 | Audit Session ID: 0a91072813cdd0005eddfe76 | Security Group Tag: none | EasyVPN: 0 |Session ID: 81117 | Audit Session ID: 0a91072813cdd0005eddfe76 | Security Group Tag: none | EasyVPN: 0 ||
Username: mwest | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.239 | Public IP: 86.184.104.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:34:33 UTC Mon Jun 8 2020 | Duration: 1d 20h:31m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 4786643823 | Bytes Rx: 1416927713 | IP Addr: 10.145.233.239 | Public IP: 86.184.104.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:34:33 UTC Mon Jun 8 2020 | Duration: 1d 20h:31m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 4786643823 | Bytes Rx: 1416927713 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 81140 | Audit Session ID: 0a91072813cf40005ede0629 | Security Group Tag: none | EasyVPN: 0 |Session ID: 81140 | Audit Session ID: 0a91072813cf40005ede0629 | Security Group Tag: none | EasyVPN: 0 ||
