sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 1d 5h:47m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 841648365 | Bytes Rx: 202990236 | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 1d 5h:47m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 841648365 | Bytes Rx: 202990236 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 ||
Username: abmanoha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 11h:10m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 1583675668 | Bytes Rx: 348796747 | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 11h:10m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 1583675668 | Bytes Rx: 348796747 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 |Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 ||
Username: sumbaric | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.152 | Public IP: 106.211.152.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:15 IST Sat May 30 2020 | Duration: 10h:04m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 2678157472 | Bytes Rx: 337126548 | IP Addr: 10.149.233.152 | Public IP: 106.211.152.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:58:15 IST Sat May 30 2020 | Duration: 10h:04m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 2678157472 | Bytes Rx: 337126548 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123891 | Audit Session ID: 0a95072a1e3f30005ed1c4bf | Security Group Tag: none | EasyVPN: 0 |Session ID: 123891 | Audit Session ID: 0a95072a1e3f30005ed1c4bf | Security Group Tag: none | EasyVPN: 0 ||
Username: pvictor | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.232 | Public IP: 157.51.143.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:26:43 IST Sat May 30 2020 | Duration: 9h:36m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 472500612 | Bytes Rx: 123825948 | IP Addr: 10.149.232.232 | Public IP: 157.51.143.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:26:43 IST Sat May 30 2020 | Duration: 9h:36m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 472500612 | Bytes Rx: 123825948 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123898 | Audit Session ID: 0a95072a1e3fa0005ed1cb6b | Security Group Tag: none | EasyVPN: 0 |Session ID: 123898 | Audit Session ID: 0a95072a1e3fa0005ed1cb6b | Security Group Tag: none | EasyVPN: 0 ||
Username: zubshaik | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.179 | Public IP: 103.195.83.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:36:41 IST Sat May 30 2020 | Duration: 9h:26m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 1416929351 | Bytes Rx: 320813072 | IP Addr: 10.149.232.179 | Public IP: 103.195.83.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:36:41 IST Sat May 30 2020 | Duration: 9h:26m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 1416929351 | Bytes Rx: 320813072 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123902 | Audit Session ID: 0a95072a1e3fe0005ed1cdc1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123902 | Audit Session ID: 0a95072a1e3fe0005ed1cdc1 | Security Group Tag: none | EasyVPN: 0 ||
Username: BHaribab | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.183 | Public IP: 106.208.105.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:38 IST Sat May 30 2020 | Duration: 9h:17m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 64070225 | Bytes Rx: 26215012 | IP Addr: 10.149.232.183 | Public IP: 106.208.105.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:45:38 IST Sat May 30 2020 | Duration: 9h:17m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 64070225 | Bytes Rx: 26215012 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123908 | Audit Session ID: 0a95072a1e4040005ed1cfda | Security Group Tag: none | EasyVPN: 0 |Session ID: 123908 | Audit Session ID: 0a95072a1e4040005ed1cfda | Security Group Tag: none | EasyVPN: 0 ||
Username: ajay.munjal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.182 | Public IP: 106.201.87.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:05 IST Sat May 30 2020 | Duration: 9h:16m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 177067162 | Bytes Rx: 324986877 | IP Addr: 10.149.232.182 | Public IP: 106.201.87.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:46:05 IST Sat May 30 2020 | Duration: 9h:16m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 177067162 | Bytes Rx: 324986877 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123910 | Audit Session ID: 0a95072a1e4060005ed1cff5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123910 | Audit Session ID: 0a95072a1e4060005ed1cff5 | Security Group Tag: none | EasyVPN: 0 ||
Username: noorullah.n | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.18 | Public IP: 157.51.228.196 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:00 IST Sat May 30 2020 | Duration: 8h:59m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 111741755 | Bytes Rx: 89200702 | IP Addr: 10.149.233.18 | Public IP: 157.51.228.196 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:00 IST Sat May 30 2020 | Duration: 8h:59m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 111741755 | Bytes Rx: 89200702 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123922 | Audit Session ID: 0a95072a1e4120005ed1d3ec | Security Group Tag: none | EasyVPN: 0 |Session ID: 123922 | Audit Session ID: 0a95072a1e4120005ed1d3ec | Security Group Tag: none | EasyVPN: 0 ||
Username: MuskanK | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.19 | Public IP: 47.9.234.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:19 IST Sat May 30 2020 | Duration: 8h:59m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 1238041356 | Bytes Rx: 201028776 | IP Addr: 10.149.233.19 | Public IP: 47.9.234.35 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:03:19 IST Sat May 30 2020 | Duration: 8h:59m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 1238041356 | Bytes Rx: 201028776 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123923 | Audit Session ID: 0a95072a1e4130005ed1d3ff | Security Group Tag: none | EasyVPN: 0 |Session ID: 123923 | Audit Session ID: 0a95072a1e4130005ed1d3ff | Security Group Tag: none | EasyVPN: 0 ||
Username: KumVivek | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.156 | Public IP: 150.107.10.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:27:04 IST Sat May 30 2020 | Duration: 8h:35m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 328597660 | Bytes Rx: 148602542 | IP Addr: 10.149.232.156 | Public IP: 150.107.10.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:27:04 IST Sat May 30 2020 | Duration: 8h:35m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 328597660 | Bytes Rx: 148602542 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123953 | Audit Session ID: 0a95072a1e4310005ed1d990 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123953 | Audit Session ID: 0a95072a1e4310005ed1d990 | Security Group Tag: none | EasyVPN: 0 ||
Username: guptmani | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.160 | Public IP: 117.207.179.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:27:48 IST Sat May 30 2020 | Duration: 8h:34m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 1769154673 | Bytes Rx: 123749101 | IP Addr: 10.149.232.160 | Public IP: 117.207.179.87 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:27:48 IST Sat May 30 2020 | Duration: 8h:34m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 1769154673 | Bytes Rx: 123749101 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123960 | Audit Session ID: 0a95072a1e4380005ed1d9bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 123960 | Audit Session ID: 0a95072a1e4380005ed1d9bc | Security Group Tag: none | EasyVPN: 0 ||
