sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: vishvard | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.177 | Public IP: 27.59.216.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:10 IST Sun Jun 14 2020 | Duration: 9h:48m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 1582861146 | Bytes Rx: 214459063 | IP Addr: 10.149.233.177 | Public IP: 27.59.216.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:12:10 IST Sun Jun 14 2020 | Duration: 9h:48m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 1582861146 | Bytes Rx: 214459063 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151349 | Audit Session ID: 0a95072a24f350005ee63742 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151349 | Audit Session ID: 0a95072a24f350005ee63742 | Security Group Tag: none | EasyVPN: 0 ||
Username: SuJakate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.251 | Public IP: 59.94.249.209 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:29:21 IST Sun Jun 14 2020 | Duration: 9h:30m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 256812063 | Bytes Rx: 110823198 | IP Addr: 10.149.233.251 | Public IP: 59.94.249.209 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:29:21 IST Sun Jun 14 2020 | Duration: 9h:30m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 256812063 | Bytes Rx: 110823198 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151371 | Audit Session ID: 0a95072a24f4b0005ee63b49 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151371 | Audit Session ID: 0a95072a24f4b0005ee63b49 | Security Group Tag: none | EasyVPN: 0 ||
Username: AUdayaku | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.234 | Public IP: 202.136.71.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:58:03 IST Sun Jun 14 2020 | Duration: 9h:02m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 4908341491 | Bytes Rx: 434490988 | IP Addr: 10.149.233.234 | Public IP: 202.136.71.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:58:03 IST Sun Jun 14 2020 | Duration: 9h:02m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 4908341491 | Bytes Rx: 434490988 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151388 | Audit Session ID: 0a95072a24f5c0005ee64203 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151388 | Audit Session ID: 0a95072a24f5c0005ee64203 | Security Group Tag: none | EasyVPN: 0 ||
Username: JinsonA | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.2 | Public IP: 122.169.79.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:05:54 IST Sun Jun 14 2020 | Duration: 8h:54m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 105742065 | Bytes Rx: 57977708 | IP Addr: 10.149.232.2 | Public IP: 122.169.79.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:05:54 IST Sun Jun 14 2020 | Duration: 8h:54m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 105742065 | Bytes Rx: 57977708 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151394 | Audit Session ID: 0a95072a24f620005ee643da | Security Group Tag: none | EasyVPN: 0 |Session ID: 151394 | Audit Session ID: 0a95072a24f620005ee643da | Security Group Tag: none | EasyVPN: 0 ||
Username: SuMahesw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.200 | Public IP: 106.220.22.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:21:52 IST Sun Jun 14 2020 | Duration: 8h:38m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 652355345 | Bytes Rx: 157769805 | IP Addr: 10.149.233.200 | Public IP: 106.220.22.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:21:52 IST Sun Jun 14 2020 | Duration: 8h:38m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 652355345 | Bytes Rx: 157769805 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151405 | Audit Session ID: 0a95072a24f6d0005ee64798 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151405 | Audit Session ID: 0a95072a24f6d0005ee64798 | Security Group Tag: none | EasyVPN: 0 ||
Username: vumashan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC3 | IP Addr: 10.149.248.99 | Public IP: 157.50.126.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:39:52 IST Sun Jun 14 2020 | Duration: 8h:20m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1863353787 | Bytes Rx: 421564942 | IP Addr: 10.149.248.99 | Public IP: 157.50.126.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:39:52 IST Sun Jun 14 2020 | Duration: 8h:20m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1863353787 | Bytes Rx: 421564942 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151416 | Audit Session ID: 0a95072a24f780005ee64bd0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151416 | Audit Session ID: 0a95072a24f780005ee64bd0 | Security Group Tag: none | EasyVPN: 0 ||
Username: akshgopi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC4 | IP Addr: 10.149.248.100 | Public IP: 157.50.121.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:44:17 IST Sun Jun 14 2020 | Duration: 8h:16m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 272752063 | Bytes Rx: 197952785 | IP Addr: 10.149.248.100 | Public IP: 157.50.121.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:44:17 IST Sun Jun 14 2020 | Duration: 8h:16m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 272752063 | Bytes Rx: 197952785 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151419 | Audit Session ID: 0a95072a24f7b0005ee64cd9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151419 | Audit Session ID: 0a95072a24f7b0005ee64cd9 | Security Group Tag: none | EasyVPN: 0 ||
Username: kumnave | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.148 | Public IP: 60.243.123.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:47:23 IST Sun Jun 14 2020 | Duration: 8h:12m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 477886992 | Bytes Rx: 168373971 | IP Addr: 10.149.233.148 | Public IP: 60.243.123.202 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:47:23 IST Sun Jun 14 2020 | Duration: 8h:12m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 477886992 | Bytes Rx: 168373971 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151422 | Audit Session ID: 0a95072a24f7e0005ee64d93 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151422 | Audit Session ID: 0a95072a24f7e0005ee64d93 | Security Group Tag: none | EasyVPN: 0 ||
Username: visparth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.4 | Public IP: 150.129.102.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:51:38 IST Sun Jun 14 2020 | Duration: 8h:08m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 539890650 | Bytes Rx: 195068977 | IP Addr: 10.149.232.4 | Public IP: 150.129.102.245 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:51:38 IST Sun Jun 14 2020 | Duration: 8h:08m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 539890650 | Bytes Rx: 195068977 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151429 | Audit Session ID: 0a95072a24f850005ee64e92 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151429 | Audit Session ID: 0a95072a24f850005ee64e92 | Security Group Tag: none | EasyVPN: 0 ||
Username: jjeyapan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.186 | Public IP: 157.50.27.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:02:10 IST Sun Jun 14 2020 | Duration: 7h:58m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 67203892 | Bytes Rx: 51866256 | IP Addr: 10.149.233.186 | Public IP: 157.50.27.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:02:10 IST Sun Jun 14 2020 | Duration: 7h:58m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 67203892 | Bytes Rx: 51866256 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151438 | Audit Session ID: 0a95072a24f8e0005ee6510a | Security Group Tag: none | EasyVPN: 0 |Session ID: 151438 | Audit Session ID: 0a95072a24f8e0005ee6510a | Security Group Tag: none | EasyVPN: 0 ||
Username: suselang | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.187 | Public IP: 157.50.59.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:54 IST Sun Jun 14 2020 | Duration: 7h:49m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 437774920 | Bytes Rx: 137246680 | IP Addr: 10.149.233.187 | Public IP: 157.50.59.101 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:10:54 IST Sun Jun 14 2020 | Duration: 7h:49m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 437774920 | Bytes Rx: 137246680 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151448 | Audit Session ID: 0a95072a24f980005ee65316 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151448 | Audit Session ID: 0a95072a24f980005ee65316 | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.163 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:09:48 IST Sun Jun 14 2020 | Duration: 6h:50m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 349638367 | Bytes Rx: 120185410 | IP Addr: 10.149.233.163 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:09:48 IST Sun Jun 14 2020 | Duration: 6h:50m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 349638367 | Bytes Rx: 120185410 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151471 | Audit Session ID: 0a95072a24faf0005ee660e4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151471 | Audit Session ID: 0a95072a24faf0005ee660e4 | Security Group Tag: none | EasyVPN: 0 ||
Username: kamlesh.khetwal | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.182 | Public IP: 106.193.154.240 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:16:13 IST Sun Jun 14 2020 | Duration: 6h:44m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 2097845028 | Bytes Rx: 156896288 | IP Addr: 10.149.233.182 | Public IP: 106.193.154.240 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:16:13 IST Sun Jun 14 2020 | Duration: 6h:44m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 2097845028 | Bytes Rx: 156896288 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151477 | Audit Session ID: 0a95072a24fb50005ee66265 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151477 | Audit Session ID: 0a95072a24fb50005ee66265 | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr:  | Public IP: 124.123.166.78 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:45:39 IST Mon Jun 15 2020 | Duration: 0h:14m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | IP Addr:  | Public IP: 124.123.166.78 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:45:39 IST Mon Jun 15 2020 | Duration: 0h:14m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151487 | Audit Session ID: 0a95072a24fbf0005ee6bdab | Security Group Tag: none | EasyVPN: 0 |Session ID: 151487 | Audit Session ID: 0a95072a24fbf0005ee6bdab | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr:  | Public IP: 124.123.166.78 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:45:51 IST Mon Jun 15 2020 | Duration: 0h:14m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | IP Addr:  | Public IP: 124.123.166.78 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:45:51 IST Mon Jun 15 2020 | Duration: 0h:14m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 0 | Bytes Rx: 0 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151488 | Audit Session ID: 0a95072a24fc00005ee6bdb7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151488 | Audit Session ID: 0a95072a24fc00005ee6bdb7 | Security Group Tag: none | EasyVPN: 0 ||
