sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ayshanka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.49 | Public IP: 203.81.240.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:00 IST Mon Jun 22 2020 | Duration: 1d 20h:51m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 655976756 | Bytes Rx: 165875956 | IP Addr: 10.149.232.49 | Public IP: 203.81.240.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:00 IST Mon Jun 22 2020 | Duration: 1d 20h:51m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 655976756 | Bytes Rx: 165875956 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165421 | Audit Session ID: 0a95072a2862d0005ef02f18 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165421 | Audit Session ID: 0a95072a2862d0005ef02f18 | Security Group Tag: none | EasyVPN: 0 ||
Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 17h:41m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 561786691 | Bytes Rx: 255909172 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 17h:41m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 561786691 | Bytes Rx: 255909172 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: ChetanP | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.23 | Public IP: 103.140.27.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:34 IST Tue Jun 23 2020 | Duration: 10h:46m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 14600122984 | Bytes Rx: 632937918 | IP Addr: 10.149.232.23 | Public IP: 103.140.27.174 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:34 IST Tue Jun 23 2020 | Duration: 10h:46m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 14600122984 | Bytes Rx: 632937918 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169555 | Audit Session ID: 0a95072a296530005ef20e86 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169555 | Audit Session ID: 0a95072a296530005ef20e86 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.196 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:51:52 IST Tue Jun 23 2020 | Duration: 10h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 146510229 | Bytes Rx: 88488596 | IP Addr: 10.149.233.196 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:51:52 IST Tue Jun 23 2020 | Duration: 10h:40m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 146510229 | Bytes Rx: 88488596 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169559 | Audit Session ID: 0a95072a296570005ef21000 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169559 | Audit Session ID: 0a95072a296570005ef21000 | Security Group Tag: none | EasyVPN: 0 ||
Username: sukirolk | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.102 | Public IP: 103.133.65.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:31:08 IST Tue Jun 23 2020 | Duration: 10h:00m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1113490924 | Bytes Rx: 261192369 | IP Addr: 10.149.233.102 | Public IP: 103.133.65.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:31:08 IST Tue Jun 23 2020 | Duration: 10h:00m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 1113490924 | Bytes Rx: 261192369 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169610 | Audit Session ID: 0a95072a2968a0005ef21934 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169610 | Audit Session ID: 0a95072a2968a0005ef21934 | Security Group Tag: none | EasyVPN: 0 ||
Username: Ishkalas | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.35 | Public IP: 49.35.192.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:45:33 IST Tue Jun 23 2020 | Duration: 9h:46m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 473081435 | Bytes Rx: 230886583 | IP Addr: 10.149.232.35 | Public IP: 49.35.192.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:45:33 IST Tue Jun 23 2020 | Duration: 9h:46m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 473081435 | Bytes Rx: 230886583 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169616 | Audit Session ID: 0a95072a296900005ef21c95 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169616 | Audit Session ID: 0a95072a296900005ef21c95 | Security Group Tag: none | EasyVPN: 0 ||
Username: ganeshrv | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.219 | Public IP: 117.96.193.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:04:54 IST Tue Jun 23 2020 | Duration: 9h:27m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 348217747 | Bytes Rx: 94302148 | IP Addr: 10.149.233.219 | Public IP: 117.96.193.31 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:04:54 IST Tue Jun 23 2020 | Duration: 9h:27m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 348217747 | Bytes Rx: 94302148 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169643 | Audit Session ID: 0a95072a296ab0005ef2211e | Security Group Tag: none | EasyVPN: 0 |Session ID: 169643 | Audit Session ID: 0a95072a296ab0005ef2211e | Security Group Tag: none | EasyVPN: 0 ||
Username: SanjGaik | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.124 | Public IP: 1.187.37.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:22:57 IST Tue Jun 23 2020 | Duration: 9h:08m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 281522165 | Bytes Rx: 109488763 | IP Addr: 10.149.233.124 | Public IP: 1.187.37.34 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:22:57 IST Tue Jun 23 2020 | Duration: 9h:08m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 281522165 | Bytes Rx: 109488763 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169666 | Audit Session ID: 0a95072a296c20005ef22559 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169666 | Audit Session ID: 0a95072a296c20005ef22559 | Security Group Tag: none | EasyVPN: 0 ||
Username: hemdutta | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.245 | Public IP: 223.182.53.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:25:02 IST Tue Jun 23 2020 | Duration: 9h:06m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 343414069 | Bytes Rx: 483729029 | IP Addr: 10.149.233.245 | Public IP: 223.182.53.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:25:02 IST Tue Jun 23 2020 | Duration: 9h:06m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 343414069 | Bytes Rx: 483729029 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169668 | Audit Session ID: 0a95072a296c40005ef225d6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169668 | Audit Session ID: 0a95072a296c40005ef225d6 | Security Group Tag: none | EasyVPN: 0 ||
Username: surymuth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC21 | IP Addr: 10.149.248.107 | Public IP: 202.91.67.27 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:57:28 IST Tue Jun 23 2020 | Duration: 8h:34m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 8877764254 | Bytes Rx: 723582433 | IP Addr: 10.149.248.107 | Public IP: 202.91.67.27 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:57:28 IST Tue Jun 23 2020 | Duration: 8h:34m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 8877764254 | Bytes Rx: 723582433 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169712 | Audit Session ID: 0a95072a296f00005ef22d70 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169712 | Audit Session ID: 0a95072a296f00005ef22d70 | Security Group Tag: none | EasyVPN: 0 ||
Username: partvija | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 106.208.136.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:03:13 IST Tue Jun 23 2020 | Duration: 8h:28m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 77289595 | Bytes Rx: 41015610 | IP Addr: 10.149.233.14 | Public IP: 106.208.136.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:03:13 IST Tue Jun 23 2020 | Duration: 8h:28m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 77289595 | Bytes Rx: 41015610 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169728 | Audit Session ID: 0a95072a297000005ef22ec9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169728 | Audit Session ID: 0a95072a297000005ef22ec9 | Security Group Tag: none | EasyVPN: 0 ||
