sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ABMALAVE | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 22h:11m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 588751828 | Bytes Rx: 270550921 | IP Addr: 10.149.232.175 | Public IP: 183.87.54.21 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:50:33 IST Tue Jun 23 2020 | Duration: 22h:11m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 588751828 | Bytes Rx: 270550921 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 |Session ID: 168585 | Audit Session ID: 0a95072a292890005ef1ad41 | Security Group Tag: none | EasyVPN: 0 ||
Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.196 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:51:52 IST Tue Jun 23 2020 | Duration: 15h:10m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 160424879 | Bytes Rx: 94056688 | IP Addr: 10.149.233.196 | Public IP: 49.207.131.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:51:52 IST Tue Jun 23 2020 | Duration: 15h:10m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 160424879 | Bytes Rx: 94056688 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169559 | Audit Session ID: 0a95072a296570005ef21000 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169559 | Audit Session ID: 0a95072a296570005ef21000 | Security Group Tag: none | EasyVPN: 0 ||
Username: hmani | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 5h:01m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 498866940 | Bytes Rx: 142674539 | IP Addr: 10.149.232.152 | Public IP: 157.50.130.106 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:51 IST Wed Jun 24 2020 | Duration: 5h:01m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 498866940 | Bytes Rx: 142674539 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 |Session ID: 169840 | Audit Session ID: 0a95072a297700005ef29ebb | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.155 | Public IP: 157.48.41.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:59 IST Wed Jun 24 2020 | Duration: 4h:48m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 17768041 | Bytes Rx: 8033961 | IP Addr: 10.149.232.155 | Public IP: 157.48.41.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:13:59 IST Wed Jun 24 2020 | Duration: 4h:48m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 17768041 | Bytes Rx: 8033961 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169844 | Audit Session ID: 0a95072a297740005ef2a1cf | Security Group Tag: none | EasyVPN: 0 |Session ID: 169844 | Audit Session ID: 0a95072a297740005ef2a1cf | Security Group Tag: none | EasyVPN: 0 ||
Username: RAnandan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 4h:32m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 61579514 | Bytes Rx: 46084562 | IP Addr: 10.149.232.160 | Public IP: 157.46.23.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:16 IST Wed Jun 24 2020 | Duration: 4h:32m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 61579514 | Bytes Rx: 46084562 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169852 | Audit Session ID: 0a95072a2977c0005ef2a5a0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mgarade1 | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 4h:31m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 259782217 | Bytes Rx: 62487268 | IP Addr: 10.149.232.158 | Public IP: 49.35.202.111 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:30:55 IST Wed Jun 24 2020 | Duration: 4h:31m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 259782217 | Bytes Rx: 62487268 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169853 | Audit Session ID: 0a95072a2977d0005ef2a5c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: damodSR | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 4h:27m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 122287535 | Bytes Rx: 160892290 | IP Addr: 10.149.232.162 | Public IP: 122.171.170.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:34:54 IST Wed Jun 24 2020 | Duration: 4h:27m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 122287535 | Bytes Rx: 160892290 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169857 | Audit Session ID: 0a95072a297810005ef2a6b6 | Security Group Tag: none | EasyVPN: 0 ||
Username: yamunat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.164 | Public IP: 106.208.73.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:08 IST Wed Jun 24 2020 | Duration: 4h:25m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 2107545727 | Bytes Rx: 98196103 | IP Addr: 10.149.232.164 | Public IP: 106.208.73.149 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:08 IST Wed Jun 24 2020 | Duration: 4h:25m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 2107545727 | Bytes Rx: 98196103 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169859 | Audit Session ID: 0a95072a297830005ef2a73c | Security Group Tag: none | EasyVPN: 0 |Session ID: 169859 | Audit Session ID: 0a95072a297830005ef2a73c | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 4h:24m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 679946307 | Bytes Rx: 954489421 | IP Addr: 10.149.232.165 | Public IP: 106.51.108.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:08 IST Wed Jun 24 2020 | Duration: 4h:24m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 679946307 | Bytes Rx: 954489421 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169860 | Audit Session ID: 0a95072a297840005ef2a778 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 115.97.14.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:31 IST Wed Jun 24 2020 | Duration: 4h:17m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 447405971 | Bytes Rx: 113780929 | IP Addr: 10.149.233.14 | Public IP: 115.97.14.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:31 IST Wed Jun 24 2020 | Duration: 4h:17m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 447405971 | Bytes Rx: 113780929 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169863 | Audit Session ID: 0a95072a297870005ef2a8f7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169863 | Audit Session ID: 0a95072a297870005ef2a8f7 | Security Group Tag: none | EasyVPN: 0 ||
Username: aadikhan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.15 | Public IP: 219.91.250.15 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:02 IST Wed Jun 24 2020 | Duration: 4h:17m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 388996673 | Bytes Rx: 104692620 | IP Addr: 10.149.233.15 | Public IP: 219.91.250.15 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:45:02 IST Wed Jun 24 2020 | Duration: 4h:17m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 388996673 | Bytes Rx: 104692620 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 169864 | Audit Session ID: 0a95072a297880005ef2a916 | Security Group Tag: none | EasyVPN: 0 |Session ID: 169864 | Audit Session ID: 0a95072a297880005ef2a916 | Security Group Tag: none | EasyVPN: 0 ||
