sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.58 | Public IP: 182.57.169.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 3d 10h:45m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 6627609263 | Bytes Rx: 1503133773 | IP Addr: 10.150.237.58 | Public IP: 182.57.169.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 3d 10h:45m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 6627609263 | Bytes Rx: 1503133773 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 |Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 1d 14h:11m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 681313227 | Bytes Rx: 607564174 | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 1d 14h:11m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 681313227 | Bytes Rx: 607564174 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 ||
Username: subhassh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.4 | Public IP: 122.170.30.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:39:07 IST Fri Jun 26 2020 | Duration: 23h:21m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1423378025 | Bytes Rx: 124701422 | IP Addr: 10.150.237.4 | Public IP: 122.170.30.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:39:07 IST Fri Jun 26 2020 | Duration: 23h:21m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 1423378025 | Bytes Rx: 124701422 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63466 | Audit Session ID: 0a96cf690f7ea0005ef574e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 63466 | Audit Session ID: 0a96cf690f7ea0005ef574e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: jezjesud | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.224 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:44:32 IST Fri Jun 26 2020 | Duration: 22h:15m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 86982039 | Bytes Rx: 101050861 | IP Addr: 10.150.244.224 | Public IP: 103.78.165.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:44:32 IST Fri Jun 26 2020 | Duration: 22h:15m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 86982039 | Bytes Rx: 101050861 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63939 | Audit Session ID: 0a96cf690f9c30005ef58438 | Security Group Tag: none | EasyVPN: 0 |Session ID: 63939 | Audit Session ID: 0a96cf690f9c30005ef58438 | Security Group Tag: none | EasyVPN: 0 ||
Username: rajib.debnath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.19 | Public IP: 103.100.37.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:55 IST Fri Jun 26 2020 | Duration: 18h:48m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 927482800 | Bytes Rx: 244363775 | IP Addr: 10.150.244.19 | Public IP: 103.100.37.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:55 IST Fri Jun 26 2020 | Duration: 18h:48m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 927482800 | Bytes Rx: 244363775 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 64907 | Audit Session ID: 0a96cf690fd8b0005ef5b4d3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 64907 | Audit Session ID: 0a96cf690fd8b0005ef5b4d3 | Security Group Tag: none | EasyVPN: 0 ||
Username: devpawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.69 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:21:28 IST Fri Jun 26 2020 | Duration: 18h:38m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1023481722 | Bytes Rx: 206364804 | IP Addr: 10.150.244.69 | Public IP: 103.208.74.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:21:28 IST Fri Jun 26 2020 | Duration: 18h:38m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 1023481722 | Bytes Rx: 206364804 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 64954 | Audit Session ID: 0a96cf690fdba0005ef5b710 | Security Group Tag: none | EasyVPN: 0 |Session ID: 64954 | Audit Session ID: 0a96cf690fdba0005ef5b710 | Security Group Tag: none | EasyVPN: 0 ||
Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.190 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:19:19 IST Fri Jun 26 2020 | Duration: 14h:41m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 35598939 | Bytes Rx: 14283236 | IP Addr: 10.150.236.190 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:19:19 IST Fri Jun 26 2020 | Duration: 14h:41m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 35598939 | Bytes Rx: 14283236 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 65825 | Audit Session ID: 0a96cf69101210005ef5eecf | Security Group Tag: none | EasyVPN: 0 |Session ID: 65825 | Audit Session ID: 0a96cf69101210005ef5eecf | Security Group Tag: none | EasyVPN: 0 ||
Username: aburnwal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.120 | Public IP: 49.35.70.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:38:33 IST Sat Jun 27 2020 | Duration: 8h:21m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 4682594874 | Bytes Rx: 197569298 | IP Addr: 10.150.236.120 | Public IP: 49.35.70.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:38:33 IST Sat Jun 27 2020 | Duration: 8h:21m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 4682594874 | Bytes Rx: 197569298 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 66486 | Audit Session ID: 0a96cf69103b60005ef647b1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 66486 | Audit Session ID: 0a96cf69103b60005ef647b1 | Security Group Tag: none | EasyVPN: 0 ||
Username: swapghol | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.98 | Public IP: 27.97.130.169 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:13:26 IST Sat Jun 27 2020 | Duration: 3h:46m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 29919728 | Bytes Rx: 6759683 | IP Addr: 10.150.237.98 | Public IP: 27.97.130.169 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:13:26 IST Sat Jun 27 2020 | Duration: 3h:46m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 29919728 | Bytes Rx: 6759683 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 66638 | Audit Session ID: 0a96cf691044e0005ef6881e | Security Group Tag: none | EasyVPN: 0 |Session ID: 66638 | Audit Session ID: 0a96cf691044e0005ef6881e | Security Group Tag: none | EasyVPN: 0 ||
Username: CKadekar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.235 | Public IP: 43.242.224.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:33 IST Sat Jun 27 2020 | Duration: 3h:38m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 4688807980 | Bytes Rx: 249377284 | IP Addr: 10.150.237.235 | Public IP: 43.242.224.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:33 IST Sat Jun 27 2020 | Duration: 3h:38m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 4688807980 | Bytes Rx: 249377284 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 66642 | Audit Session ID: 0a96cf69104520005ef68a05 | Security Group Tag: none | EasyVPN: 0 |Session ID: 66642 | Audit Session ID: 0a96cf69104520005ef68a05 | Security Group Tag: none | EasyVPN: 0 ||
Username: aarsad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.189 | Public IP: 103.86.180.210 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:42:04 IST Sat Jun 27 2020 | Duration: 3h:18m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 140799765 | Bytes Rx: 1020767620 | IP Addr: 10.150.236.189 | Public IP: 103.86.180.210 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:42:04 IST Sat Jun 27 2020 | Duration: 3h:18m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 140799765 | Bytes Rx: 1020767620 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 66659 | Audit Session ID: 0a96cf69104630005ef68ed4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 66659 | Audit Session ID: 0a96cf69104630005ef68ed4 | Security Group Tag: none | EasyVPN: 0 ||
