sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: mhakonse | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 7d 8h:10m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 4308657056 | Bytes Rx: 771466023 | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 7d 8h:10m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 4308657056 | Bytes Rx: 771466023 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 |Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 ||
Username: mheeley | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 5d 16h:15m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 4147497628 | Bytes Rx: 510752279 | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 5d 16h:15m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 4147497628 | Bytes Rx: 510752279 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 |Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 ||
Username: shreeshp | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 5d 15h:18m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 8414330094 | Bytes Rx: 3216393141 | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 5d 15h:18m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 8414330094 | Bytes Rx: 3216393141 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 |Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 ||
Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 4d 15h:22m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 4241089948 | Bytes Rx: 993372128 | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 4d 15h:22m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 4241089948 | Bytes Rx: 993372128 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 |Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 ||
Username: dougktl | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 4d 11h:56m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1751757256 | Bytes Rx: 711707321 | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 4d 11h:56m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1751757256 | Bytes Rx: 711707321 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 ||
Username: thakur.das | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.61 | Public IP: 1.38.45.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:59:20 UTC Sat Jun 6 2020 | Duration: 2d 18h:31m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1823575692 | Bytes Rx: 451947273 | IP Addr: 10.145.233.61 | Public IP: 1.38.45.238 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:59:20 UTC Sat Jun 6 2020 | Duration: 2d 18h:31m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1823575692 | Bytes Rx: 451947273 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80646 | Audit Session ID: 0a91072813b060005edb68f8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80646 | Audit Session ID: 0a91072813b060005edb68f8 | Security Group Tag: none | EasyVPN: 0 ||
Username: kkverma | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.123 | Public IP: 49.35.86.252 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:20:51 UTC Sun Jun 7 2020 | Duration: 1d 20h:09m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1045085 | Bytes Rx: 392122 | IP Addr: 10.145.233.123 | Public IP: 49.35.86.252 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 08:20:51 UTC Sun Jun 7 2020 | Duration: 1d 20h:09m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1045085 | Bytes Rx: 392122 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80761 | Audit Session ID: 0a91072813b790005edca363 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80761 | Audit Session ID: 0a91072813b790005edca363 | Security Group Tag: none | EasyVPN: 0 ||
Username: panksain | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.115 | Public IP: 1.39.200.25 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 18:02:15 UTC Sun Jun 7 2020 | Duration: 1d 10h:28m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 31555677 | Bytes Rx: 7280046 | IP Addr: 10.145.233.115 | Public IP: 1.39.200.25 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 18:02:15 UTC Sun Jun 7 2020 | Duration: 1d 10h:28m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 31555677 | Bytes Rx: 7280046 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80834 | Audit Session ID: 0a91072813bc20005edd2ba7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80834 | Audit Session ID: 0a91072813bc20005edd2ba7 | Security Group Tag: none | EasyVPN: 0 ||
Username: agrover | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.157 | Public IP: 1.38.203.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:24:19 UTC Mon Jun 8 2020 | Duration: 23h:06m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 977787426 | Bytes Rx: 287165694 | IP Addr: 10.145.233.157 | Public IP: 1.38.203.94 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:24:19 UTC Mon Jun 8 2020 | Duration: 23h:06m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 977787426 | Bytes Rx: 287165694 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80944 | Audit Session ID: 0a91072813c300005eddcb83 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80944 | Audit Session ID: 0a91072813c300005eddcb83 | Security Group Tag: none | EasyVPN: 0 ||
Username: tanviahl | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.164 | Public IP: 111.125.230.60 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:59:25 UTC Mon Jun 8 2020 | Duration: 22h:31m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1297030341 | Bytes Rx: 1510509212 | IP Addr: 10.145.233.164 | Public IP: 111.125.230.60 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:59:25 UTC Mon Jun 8 2020 | Duration: 22h:31m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 1297030341 | Bytes Rx: 1510509212 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80966 | Audit Session ID: 0a91072813c460005eddd3bd | Security Group Tag: none | EasyVPN: 0 |Session ID: 80966 | Audit Session ID: 0a91072813c460005eddd3bd | Security Group Tag: none | EasyVPN: 0 ||
Username: marmanzo | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.194 | Public IP: 93.43.203.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:26:26 UTC Mon Jun 8 2020 | Duration: 21h:04m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 615748458 | Bytes Rx: 443721673 | IP Addr: 10.145.233.194 | Public IP: 93.43.203.180 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:26:26 UTC Mon Jun 8 2020 | Duration: 21h:04m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 615748458 | Bytes Rx: 443721673 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 81025 | Audit Session ID: 0a91072813c810005edde822 | Security Group Tag: none | EasyVPN: 0 |Session ID: 81025 | Audit Session ID: 0a91072813c810005edde822 | Security Group Tag: none | EasyVPN: 0 ||
