sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.175 | Public IP: 182.57.191.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 2d 3h:31m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 3135864422 | Bytes Rx: 922567693 | IP Addr: 10.147.96.175 | Public IP: 182.57.191.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 2d 3h:31m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 3135864422 | Bytes Rx: 922567693 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 |Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.182 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:13:29 IST Tue Jun 16 2020 | Duration: 1d 7h:51m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1729611605 | Bytes Rx: 599927131 | IP Addr: 10.150.237.182 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:13:29 IST Tue Jun 16 2020 | Duration: 1d 7h:51m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 1729611605 | Bytes Rx: 599927131 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 27280 | Audit Session ID: 0a96cf6906a900005ee84df1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 27280 | Audit Session ID: 0a96cf6906a900005ee84df1 | Security Group Tag: none | EasyVPN: 0 ||
Username: manojjos | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.238 | Public IP: 43.243.173.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:00:07 IST Tue Jun 16 2020 | Duration: 1d 0h:04m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 20351697639 | Bytes Rx: 649914069 | IP Addr: 10.150.244.238 | Public IP: 43.243.173.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:00:07 IST Tue Jun 16 2020 | Duration: 1d 0h:04m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 20351697639 | Bytes Rx: 649914069 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 29326 | Audit Session ID: 0a96cf690728e0005ee8bb4f | Security Group Tag: none | EasyVPN: 0 |Session ID: 29326 | Audit Session ID: 0a96cf690728e0005ee8bb4f | Security Group Tag: none | EasyVPN: 0 ||
Username: monidigh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.207 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:19:28 IST Tue Jun 16 2020 | Duration: 20h:45m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 164389759 | Bytes Rx: 57317707 | IP Addr: 10.150.236.207 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:19:28 IST Tue Jun 16 2020 | Duration: 20h:45m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 164389759 | Bytes Rx: 57317707 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 29837 | Audit Session ID: 0a96cf690748d0005ee8ea08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 29837 | Audit Session ID: 0a96cf690748d0005ee8ea08 | Security Group Tag: none | EasyVPN: 0 ||
Username: ransharm | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.249 | Public IP: 106.193.136.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:02 IST Wed Jun 17 2020 | Duration: 12h:04m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 570408500 | Bytes Rx: 183146658 | IP Addr: 10.150.237.249 | Public IP: 106.193.136.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:02 IST Wed Jun 17 2020 | Duration: 12h:04m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 570408500 | Bytes Rx: 183146658 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30346 | Audit Session ID: 0a96cf690768a0005ee9640a | Security Group Tag: none | EasyVPN: 0 |Session ID: 30346 | Audit Session ID: 0a96cf690768a0005ee9640a | Security Group Tag: none | EasyVPN: 0 ||
Username: KapPatil | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.114 | Public IP: 103.97.104.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:22 IST Wed Jun 17 2020 | Duration: 11h:13m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 2192881936 | Bytes Rx: 441565564 | IP Addr: 10.150.236.114 | Public IP: 103.97.104.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:22 IST Wed Jun 17 2020 | Duration: 11h:13m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 2192881936 | Bytes Rx: 441565564 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30385 | Audit Session ID: 0a96cf69076b10005ee97012 | Security Group Tag: none | EasyVPN: 0 |Session ID: 30385 | Audit Session ID: 0a96cf69076b10005ee97012 | Security Group Tag: none | EasyVPN: 0 ||
Username: Pareshnath.swain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.127 | Public IP: 175.101.9.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:27 IST Wed Jun 17 2020 | Duration: 11h:11m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1618829315 | Bytes Rx: 485762493 | IP Addr: 10.150.237.127 | Public IP: 175.101.9.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:27 IST Wed Jun 17 2020 | Duration: 11h:11m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 1618829315 | Bytes Rx: 485762493 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30391 | Audit Session ID: 0a96cf69076b70005ee9708f | Security Group Tag: none | EasyVPN: 0 |Session ID: 30391 | Audit Session ID: 0a96cf69076b70005ee9708f | Security Group Tag: none | EasyVPN: 0 ||
Username: SuhasJag | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.130 | Public IP: 103.210.200.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:35 IST Wed Jun 17 2020 | Duration: 11h:10m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 962362077 | Bytes Rx: 214918578 | IP Addr: 10.150.237.130 | Public IP: 103.210.200.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:35 IST Wed Jun 17 2020 | Duration: 11h:10m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 962362077 | Bytes Rx: 214918578 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30397 | Audit Session ID: 0a96cf69076bd0005ee970d3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 30397 | Audit Session ID: 0a96cf69076bd0005ee970d3 | Security Group Tag: none | EasyVPN: 0 ||
Username: sprashar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.28 | Public IP: 219.91.248.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:55 IST Wed Jun 17 2020 | Duration: 11h:03m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 534310986 | Bytes Rx: 287670407 | IP Addr: 10.150.237.28 | Public IP: 219.91.248.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:55 IST Wed Jun 17 2020 | Duration: 11h:03m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 534310986 | Bytes Rx: 287670407 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30414 | Audit Session ID: 0a96cf69076ce0005ee9724f | Security Group Tag: none | EasyVPN: 0 |Session ID: 30414 | Audit Session ID: 0a96cf69076ce0005ee9724f | Security Group Tag: none | EasyVPN: 0 ||
Username: amol.desai | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.145 | Public IP: 14.96.100.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:12 IST Wed Jun 17 2020 | Duration: 10h:51m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1242579216 | Bytes Rx: 575240679 | IP Addr: 10.150.236.145 | Public IP: 14.96.100.201 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:13:12 IST Wed Jun 17 2020 | Duration: 10h:51m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1242579216 | Bytes Rx: 575240679 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30439 | Audit Session ID: 0a96cf69076e70005ee97530 | Security Group Tag: none | EasyVPN: 0 |Session ID: 30439 | Audit Session ID: 0a96cf69076e70005ee97530 | Security Group Tag: none | EasyVPN: 0 ||
Username: rrahul | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.210 | Public IP: 103.225.191.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:31:36 IST Wed Jun 17 2020 | Duration: 10h:33m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 755103146 | Bytes Rx: 260763819 | IP Addr: 10.150.237.210 | Public IP: 103.225.191.25 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:31:36 IST Wed Jun 17 2020 | Duration: 10h:33m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 755103146 | Bytes Rx: 260763819 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30479 | Audit Session ID: 0a96cf690770f0005ee97980 | Security Group Tag: none | EasyVPN: 0 |Session ID: 30479 | Audit Session ID: 0a96cf690770f0005ee97980 | Security Group Tag: none | EasyVPN: 0 ||
