sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: jmoulder | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.144 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:48:41 UTC Wed May 27 2020 | Duration: 11d 18h:12m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 4304588852 | Bytes Rx: 1379552601 | IP Addr: 10.145.232.144 | Public IP: 82.0.114.212 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 11:48:41 UTC Wed May 27 2020 | Duration: 11d 18h:12m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 4304588852 | Bytes Rx: 1379552601 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 77035 | Audit Session ID: 0a91072812ceb0005ece5399 | Security Group Tag: none | EasyVPN: 0 |Session ID: 77035 | Audit Session ID: 0a91072812ceb0005ece5399 | Security Group Tag: none | EasyVPN: 0 ||
Username: mhakonse | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 6d 9h:41m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 3974840478 | Bytes Rx: 649407256 | IP Addr: 10.145.233.60 | Public IP: 46.9.81.157 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:19:38 UTC Mon Jun 1 2020 | Duration: 6d 9h:41m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 3974840478 | Bytes Rx: 649407256 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 |Session ID: 78818 | Audit Session ID: 0a910728133e20005ed562da | Security Group Tag: none | EasyVPN: 0 ||
Username: mheeley | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 4d 17h:46m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 3661194368 | Bytes Rx: 438124497 | IP Addr: 10.145.232.237 | Public IP: 5.65.65.153 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:14:38 UTC Wed Jun 3 2020 | Duration: 4d 17h:46m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 3661194368 | Bytes Rx: 438124497 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 |Session ID: 79585 | Audit Session ID: 0a910728136e10005ed7942e | Security Group Tag: none | EasyVPN: 0 ||
Username: shreeshp | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 4d 16h:49m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 7018902266 | Bytes Rx: 2437718233 | IP Addr: 10.145.233.185 | Public IP: 188.211.162.219 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 13:11:40 UTC Wed Jun 3 2020 | Duration: 4d 16h:49m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 7018902266 | Bytes Rx: 2437718233 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 |Session ID: 79614 | Audit Session ID: 0a910728136fe0005ed7a18c | Security Group Tag: none | EasyVPN: 0 ||
Username: bkashyap | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.93 | Public IP: 109.151.54.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:45:02 UTC Thu Jun 4 2020 | Duration: 3d 20h:16m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1776331109 | Bytes Rx: 879053159 | IP Addr: 10.145.233.93 | Public IP: 109.151.54.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:45:02 UTC Thu Jun 4 2020 | Duration: 3d 20h:16m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1776331109 | Bytes Rx: 879053159 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 79926 | Audit Session ID: 0a910728138360005ed8c29e | Security Group Tag: none | EasyVPN: 0 |Session ID: 79926 | Audit Session ID: 0a910728138360005ed8c29e | Security Group Tag: none | EasyVPN: 0 ||
Username: s.bennett | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 3d 16h:53m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 2406363405 | Bytes Rx: 704212274 | IP Addr: 10.145.233.6 | Public IP: 90.251.72.95 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:07:42 UTC Thu Jun 4 2020 | Duration: 3d 16h:53m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 2406363405 | Bytes Rx: 704212274 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 |Session ID: 80016 | Audit Session ID: 0a910728138900005ed8f21e | Security Group Tag: none | EasyVPN: 0 ||
Username: dougktl | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 3d 13h:27m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1292561802 | Bytes Rx: 491719064 | IP Addr: 10.145.233.12 | Public IP: 87.80.24.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:34:09 UTC Thu Jun 4 2020 | Duration: 3d 13h:27m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 1292561802 | Bytes Rx: 491719064 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80082 | Audit Session ID: 0a910728138d20005ed92281 | Security Group Tag: none | EasyVPN: 0 ||
Username: mwainwri | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.13 | Public IP: 2.126.77.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:12 UTC Fri Jun 5 2020 | Duration: 2d 23h:04m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 826061707 | Bytes Rx: 272471399 | IP Addr: 10.145.233.13 | Public IP: 2.126.77.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:12 UTC Fri Jun 5 2020 | Duration: 2d 23h:04m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 826061707 | Bytes Rx: 272471399 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80253 | Audit Session ID: 0a9107281397d0005ed9ecc8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80253 | Audit Session ID: 0a9107281397d0005ed9ecc8 | Security Group Tag: none | EasyVPN: 0 ||
Username: acrawfor | Group: TCL_UK_Normal_Grp_Policy | Tunnel Group: TCL-SecureAuth-OTP-Profile | IP Addr: 10.145.233.62 | Public IP: 86.247.69.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:26 UTC Fri Jun 5 2020 | Duration: 2d 17h:40m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 729793946 | Bytes Rx: 473127292 | IP Addr: 10.145.233.62 | Public IP: 86.247.69.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:20:26 UTC Fri Jun 5 2020 | Duration: 2d 17h:40m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 729793946 | Bytes Rx: 473127292 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80459 | Audit Session ID: 0a91072813a4b0005eda388a | Security Group Tag: none | EasyVPN: 0 |Session ID: 80459 | Audit Session ID: 0a91072813a4b0005eda388a | Security Group Tag: none | EasyVPN: 0 ||
Username: subbhatt | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.99 | Public IP: 42.108.241.197 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:43:09 UTC Sat Jun 6 2020 | Duration: 1d 23h:18m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 873414256 | Bytes Rx: 122292679 | IP Addr: 10.145.233.99 | Public IP: 42.108.241.197 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 06:43:09 UTC Sat Jun 6 2020 | Duration: 1d 23h:18m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 873414256 | Bytes Rx: 122292679 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80617 | Audit Session ID: 0a91072813ae90005edb3afd | Security Group Tag: none | EasyVPN: 0 |Session ID: 80617 | Audit Session ID: 0a91072813ae90005edb3afd | Security Group Tag: none | EasyVPN: 0 ||
Username: thakur.das | Group: Mac_Test | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.145.233.61 | Public IP: 1.38.44.192 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:59:20 UTC Sat Jun 6 2020 | Duration: 1d 20h:01m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1103357329 | Bytes Rx: 136426284 | IP Addr: 10.145.233.61 | Public IP: 1.38.44.192 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 09:59:20 UTC Sat Jun 6 2020 | Duration: 1d 20h:01m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 1103357329 | Bytes Rx: 136426284 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 80646 | Audit Session ID: 0a91072813b060005edb68f8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 80646 | Audit Session ID: 0a91072813b060005edb68f8 | Security Group Tag: none | EasyVPN: 0 ||
