sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 21h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 2765072452 | Bytes Rx: 736383024 | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 21h:47m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 2765072452 | Bytes Rx: 736383024 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 ||
Username: shubhsri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.63 | Public IP: 122.163.210.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:44:16 IST Sat Jun 27 2020 | Duration: 7h:46m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 85965448 | Bytes Rx: 31268243 | IP Addr: 10.149.235.63 | Public IP: 122.163.210.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 00:44:16 IST Sat Jun 27 2020 | Duration: 7h:46m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 85965448 | Bytes Rx: 31268243 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195821 | Audit Session ID: 0a95072b2fced0005ef64908 | Security Group Tag: none | EasyVPN: 0 |Session ID: 195821 | Audit Session ID: 0a95072b2fced0005ef64908 | Security Group Tag: none | EasyVPN: 0 ||
Username: nkumaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.191 | Public IP: 157.50.146.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:09:24 IST Sat Jun 27 2020 | Duration: 3h:20m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 96961491 | Bytes Rx: 34655275 | IP Addr: 10.149.234.191 | Public IP: 157.50.146.234 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:09:24 IST Sat Jun 27 2020 | Duration: 3h:20m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 96961491 | Bytes Rx: 34655275 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195857 | Audit Session ID: 0a95072b2fd110005ef6872c | Security Group Tag: none | EasyVPN: 0 |Session ID: 195857 | Audit Session ID: 0a95072b2fd110005ef6872c | Security Group Tag: none | EasyVPN: 0 ||
Username: vinchama | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.230 | Public IP: 183.82.155.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:44 IST Sat Jun 27 2020 | Duration: 2h:38m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 325538511 | Bytes Rx: 32415140 | IP Addr: 10.149.234.230 | Public IP: 183.82.155.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:51:44 IST Sat Jun 27 2020 | Duration: 2h:38m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 325538511 | Bytes Rx: 32415140 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195861 | Audit Session ID: 0a95072b2fd150005ef69118 | Security Group Tag: none | EasyVPN: 0 |Session ID: 195861 | Audit Session ID: 0a95072b2fd150005ef69118 | Security Group Tag: none | EasyVPN: 0 ||
Username: PRIKHADE | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.232 | Public IP: 49.35.49.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:54:56 IST Sat Jun 27 2020 | Duration: 2h:35m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 119133106 | Bytes Rx: 30270697 | IP Addr: 10.149.234.232 | Public IP: 49.35.49.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:54:56 IST Sat Jun 27 2020 | Duration: 2h:35m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 119133106 | Bytes Rx: 30270697 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195863 | Audit Session ID: 0a95072b2fd170005ef691d8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 195863 | Audit Session ID: 0a95072b2fd170005ef691d8 | Security Group Tag: none | EasyVPN: 0 ||
Username: dessures | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.234 | Public IP: 157.48.136.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:48 IST Sat Jun 27 2020 | Duration: 2h:32m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 254719694 | Bytes Rx: 415502020 | IP Addr: 10.149.234.234 | Public IP: 157.48.136.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:57:48 IST Sat Jun 27 2020 | Duration: 2h:32m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 254719694 | Bytes Rx: 415502020 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195865 | Audit Session ID: 0a95072b2fd190005ef69284 | Security Group Tag: none | EasyVPN: 0 |Session ID: 195865 | Audit Session ID: 0a95072b2fd190005ef69284 | Security Group Tag: none | EasyVPN: 0 ||
Username: SBudhawa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.229 | Public IP: 49.35.196.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:47 IST Sat Jun 27 2020 | Duration: 2h:11m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 104479064 | Bytes Rx: 94822828 | IP Addr: 10.149.234.229 | Public IP: 49.35.196.62 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:47 IST Sat Jun 27 2020 | Duration: 2h:11m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 104479064 | Bytes Rx: 94822828 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195867 | Audit Session ID: 0a95072b2fd1b0005ef6976f | Security Group Tag: none | EasyVPN: 0 |Session ID: 195867 | Audit Session ID: 0a95072b2fd1b0005ef6976f | Security Group Tag: none | EasyVPN: 0 ||
Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.233 | Public IP: 49.37.206.104 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:26:42 IST Sat Jun 27 2020 | Duration: 2h:03m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 5423056533 | Bytes Rx: 245639238 | IP Addr: 10.149.234.233 | Public IP: 49.37.206.104 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:26:42 IST Sat Jun 27 2020 | Duration: 2h:03m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 5423056533 | Bytes Rx: 245639238 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195868 | Audit Session ID: 0a95072b2fd1c0005ef6994a | Security Group Tag: none | EasyVPN: 0 |Session ID: 195868 | Audit Session ID: 0a95072b2fd1c0005ef6994a | Security Group Tag: none | EasyVPN: 0 ||
Username: SriBachu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.237 | Public IP: 106.200.146.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:33:08 IST Sat Jun 27 2020 | Duration: 1h:57m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 67544069 | Bytes Rx: 22770755 | IP Addr: 10.149.234.237 | Public IP: 106.200.146.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:33:08 IST Sat Jun 27 2020 | Duration: 1h:57m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 67544069 | Bytes Rx: 22770755 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195872 | Audit Session ID: 0a95072b2fd200005ef69acc | Security Group Tag: none | EasyVPN: 0 |Session ID: 195872 | Audit Session ID: 0a95072b2fd200005ef69acc | Security Group Tag: none | EasyVPN: 0 ||
Username: akskadak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.240 | Public IP: 106.51.30.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:54 IST Sat Jun 27 2020 | Duration: 1h:54m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 160070230 | Bytes Rx: 24682345 | IP Addr: 10.149.234.240 | Public IP: 106.51.30.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:54 IST Sat Jun 27 2020 | Duration: 1h:54m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 160070230 | Bytes Rx: 24682345 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195874 | Audit Session ID: 0a95072b2fd220005ef69b72 | Security Group Tag: none | EasyVPN: 0 |Session ID: 195874 | Audit Session ID: 0a95072b2fd220005ef69b72 | Security Group Tag: none | EasyVPN: 0 ||
Username: gnanavel.s | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.241 | Public IP: 27.62.58.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:56 IST Sat Jun 27 2020 | Duration: 1h:54m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 45077090 | Bytes Rx: 15071240 | IP Addr: 10.149.234.241 | Public IP: 27.62.58.29 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:56 IST Sat Jun 27 2020 | Duration: 1h:54m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 45077090 | Bytes Rx: 15071240 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 195875 | Audit Session ID: 0a95072b2fd230005ef69b74 | Security Group Tag: none | EasyVPN: 0 |Session ID: 195875 | Audit Session ID: 0a95072b2fd230005ef69b74 | Security Group Tag: none | EasyVPN: 0 ||
