sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 4d 17h:26m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 819493038 | Bytes Rx: 648661011 | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 4d 17h:26m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 819493038 | Bytes Rx: 648661011 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 2d 13h:11m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 4945646367 | Bytes Rx: 1067711017 | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 2d 13h:11m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 4945646367 | Bytes Rx: 1067711017 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 ||
Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.14 | Public IP: 103.241.226.252 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:19:56 IST Mon Jun 22 2020 | Duration: 2d 0h:40m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 2541210737 | Bytes Rx: 471351053 | IP Addr: 10.149.235.14 | Public IP: 103.241.226.252 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:19:56 IST Mon Jun 22 2020 | Duration: 2d 0h:40m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 2541210737 | Bytes Rx: 471351053 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 184072 | Audit Session ID: 0a95072b2cf080005ef04684 | Security Group Tag: none | EasyVPN: 0 |Session ID: 184072 | Audit Session ID: 0a95072b2cf080005ef04684 | Security Group Tag: none | EasyVPN: 0 ||
Username: sivramal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.8 | Public IP: 162.216.141.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:35:25 IST Tue Jun 23 2020 | Duration: 1d 0h:24m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 997882185 | Bytes Rx: 571860734 | IP Addr: 10.149.234.8 | Public IP: 162.216.141.28 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:35:25 IST Tue Jun 23 2020 | Duration: 1d 0h:24m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 997882185 | Bytes Rx: 571860734 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 186741 | Audit Session ID: 0a95072b2d9750005ef19ba5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 186741 | Audit Session ID: 0a95072b2d9750005ef19ba5 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.150 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:38:42 IST Tue Jun 23 2020 | Duration: 14h:21m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 284277741 | Bytes Rx: 173751062 | IP Addr: 10.149.234.150 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:38:42 IST Tue Jun 23 2020 | Duration: 14h:21m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 284277741 | Bytes Rx: 173751062 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188401 | Audit Session ID: 0a95072b2dff10005ef2290a | Security Group Tag: none | EasyVPN: 0 |Session ID: 188401 | Audit Session ID: 0a95072b2dff10005ef2290a | Security Group Tag: none | EasyVPN: 0 ||
Username: tkgangaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.17 | Public IP: 183.87.54.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:58:36 IST Tue Jun 23 2020 | Duration: 14h:01m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 265045664 | Bytes Rx: 678148918 | IP Addr: 10.149.235.17 | Public IP: 183.87.54.13 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:58:36 IST Tue Jun 23 2020 | Duration: 14h:01m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 265045664 | Bytes Rx: 678148918 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188423 | Audit Session ID: 0a95072b2e0070005ef22db4 | Security Group Tag: none | EasyVPN: 0 |Session ID: 188423 | Audit Session ID: 0a95072b2e0070005ef22db4 | Security Group Tag: none | EasyVPN: 0 ||
Username: SUddansi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.146 | Public IP: 106.193.163.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:36 IST Wed Jun 24 2020 | Duration: 5h:52m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 328212474 | Bytes Rx: 105496191 | IP Addr: 10.149.235.146 | Public IP: 106.193.163.186 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:36 IST Wed Jun 24 2020 | Duration: 5h:52m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 328212474 | Bytes Rx: 105496191 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188564 | Audit Session ID: 0a95072b2e0940005ef2a050 | Security Group Tag: none | EasyVPN: 0 |Session ID: 188564 | Audit Session ID: 0a95072b2e0940005ef2a050 | Security Group Tag: none | EasyVPN: 0 ||
Username: abmanoha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.148 | Public IP: 49.207.129.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:09 IST Wed Jun 24 2020 | Duration: 5h:03m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 679971779 | Bytes Rx: 263006776 | IP Addr: 10.149.235.148 | Public IP: 49.207.129.170 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:09 IST Wed Jun 24 2020 | Duration: 5h:03m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 679971779 | Bytes Rx: 263006776 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188569 | Audit Session ID: 0a95072b2e0990005ef2abed | Security Group Tag: none | EasyVPN: 0 |Session ID: 188569 | Audit Session ID: 0a95072b2e0990005ef2abed | Security Group Tag: none | EasyVPN: 0 ||
Username: pasenthi | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC16 | IP Addr: 10.149.248.230 | Public IP: 117.206.64.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:02 IST Wed Jun 24 2020 | Duration: 5h:02m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 438742761 | Bytes Rx: 223908389 | IP Addr: 10.149.248.230 | Public IP: 117.206.64.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:02 IST Wed Jun 24 2020 | Duration: 5h:02m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 438742761 | Bytes Rx: 223908389 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188570 | Audit Session ID: 0a95072b2e09a0005ef2ac22 | Security Group Tag: none | EasyVPN: 0 |Session ID: 188570 | Audit Session ID: 0a95072b2e09a0005ef2ac22 | Security Group Tag: none | EasyVPN: 0 ||
Username: jmali | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.155 | Public IP: 106.193.230.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:59 IST Wed Jun 24 2020 | Duration: 5h:01m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 158880625 | Bytes Rx: 64003864 | IP Addr: 10.149.235.155 | Public IP: 106.193.230.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:58:59 IST Wed Jun 24 2020 | Duration: 5h:01m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 158880625 | Bytes Rx: 64003864 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188575 | Audit Session ID: 0a95072b2e09f0005ef2ac5b | Security Group Tag: none | EasyVPN: 0 |Session ID: 188575 | Audit Session ID: 0a95072b2e09f0005ef2ac5b | Security Group Tag: none | EasyVPN: 0 ||
Username: salsonaw | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.169 | Public IP: 103.208.71.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:41 IST Wed Jun 24 2020 | Duration: 4h:59m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 287415860 | Bytes Rx: 98173793 | IP Addr: 10.149.235.169 | Public IP: 103.208.71.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:41 IST Wed Jun 24 2020 | Duration: 4h:59m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 287415860 | Bytes Rx: 98173793 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 188578 | Audit Session ID: 0a95072b2e0a20005ef2acc1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 188578 | Audit Session ID: 0a95072b2e0a20005ef2acc1 | Security Group Tag: none | EasyVPN: 0 ||
