sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sjyothi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.5 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:41:24 IST Mon Mar 16 2020 | Duration: 75d 0h:48m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 3550802598 | Bytes Rx: 1499063199 | IP Addr: 10.150.238.5 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:41:24 IST Mon Mar 16 2020 | Duration: 75d 0h:48m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 3550802598 | Bytes Rx: 1499063199 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3362 | Audit Session ID: 0a96cf6a00d220005e6f0a7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 3362 | Audit Session ID: 0a96cf6a00d220005e6f0a7c | Security Group Tag: none | EasyVPN: 0 ||
Username: ssalaiva | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.40 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:42 IST Mon Mar 16 2020 | Duration: 74d 22h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 7512452402 | Bytes Rx: 2492583947 | IP Addr: 10.150.238.40 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 12:38:42 IST Mon Mar 16 2020 | Duration: 74d 22h:51m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 7512452402 | Bytes Rx: 2492583947 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 3644 | Audit Session ID: 0a96cf6a00e3c0005e6f25fa | Security Group Tag: none | EasyVPN: 0 |Session ID: 3644 | Audit Session ID: 0a96cf6a00e3c0005e6f25fa | Security Group Tag: none | EasyVPN: 0 ||
Username: segomath | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 73d 17h:52m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 3576422072 | Bytes Rx: 1267902387 | IP Addr: 10.150.239.4 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 17:37:31 IST Tue Mar 17 2020 | Duration: 73d 17h:52m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 3576422072 | Bytes Rx: 1267902387 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 |Session ID: 6546 | Audit Session ID: 0a96cf6a019920005e70bd83 | Security Group Tag: none | EasyVPN: 0 ||
Username: gdevadig | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 71d 20h:31m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 2395030612 | Bytes Rx: 968254779 | IP Addr: 10.150.239.56 | Public IP: 203.199.209.120 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 14:58:17 IST Thu Mar 19 2020 | Duration: 71d 20h:31m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 2395030612 | Bytes Rx: 968254779 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13083 | Audit Session ID: 0a96cf6a0331b0005e733b31 | Security Group Tag: none | EasyVPN: 0 ||
Username: styagi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.246.77 | Public IP: 122.170.187.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:38:39 IST Thu May 28 2020 | Duration: 1d 18h:51m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 794971248 | Bytes Rx: 289680248 | IP Addr: 10.150.246.77 | Public IP: 122.170.187.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 16:38:39 IST Thu May 28 2020 | Duration: 1d 18h:51m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 794971248 | Bytes Rx: 289680248 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 234841 | Audit Session ID: 0a96cf6a395590005ecf9bb7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 234841 | Audit Session ID: 0a96cf6a395590005ecf9bb7 | Security Group Tag: none | EasyVPN: 0 ||
Username: dgusain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.174 | Public IP: 122.170.132.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:12 IST Fri May 29 2020 | Duration: 1d 3h:28m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 246617842 | Bytes Rx: 161049998 | IP Addr: 10.150.239.174 | Public IP: 122.170.132.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:02:12 IST Fri May 29 2020 | Duration: 1d 3h:28m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 246617842 | Bytes Rx: 161049998 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236076 | Audit Session ID: 0a96cf6a39a2c0005ed0742c | Security Group Tag: none | EasyVPN: 0 |Session ID: 236076 | Audit Session ID: 0a96cf6a39a2c0005ed0742c | Security Group Tag: none | EasyVPN: 0 ||
Username: umaboga | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.47 | Public IP: 49.204.179.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:07 IST Fri May 29 2020 | Duration: 1d 1h:50m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1073528778 | Bytes Rx: 1131068067 | IP Addr: 10.150.238.47 | Public IP: 49.204.179.98 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:40:07 IST Fri May 29 2020 | Duration: 1d 1h:50m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1073528778 | Bytes Rx: 1131068067 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236400 | Audit Session ID: 0a96cf6a39b700005ed08b1f | Security Group Tag: none | EasyVPN: 0 |Session ID: 236400 | Audit Session ID: 0a96cf6a39b700005ed08b1f | Security Group Tag: none | EasyVPN: 0 ||
Username: svishwa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.233 | Public IP: 106.193.152.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:06:38 IST Fri May 29 2020 | Duration: 1d 1h:23m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1082607630 | Bytes Rx: 456270710 | IP Addr: 10.150.238.233 | Public IP: 106.193.152.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:06:38 IST Fri May 29 2020 | Duration: 1d 1h:23m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 1082607630 | Bytes Rx: 456270710 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 236587 | Audit Session ID: 0a96cf6a39c2b0005ed09156 | Security Group Tag: none | EasyVPN: 0 |Session ID: 236587 | Audit Session ID: 0a96cf6a39c2b0005ed09156 | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.238.52 | Public IP: 223.235.95.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:59 IST Fri May 29 2020 | Duration: 21h:18m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 201976368 | Bytes Rx: 155263722 | IP Addr: 10.150.238.52 | Public IP: 223.235.95.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:11:59 IST Fri May 29 2020 | Duration: 21h:18m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 201976368 | Bytes Rx: 155263722 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 238002 | Audit Session ID: 0a96cf6a3a1b20005ed0cad7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 238002 | Audit Session ID: 0a96cf6a3a1b20005ed0cad7 | Security Group Tag: none | EasyVPN: 0 ||
Username: awdhesh.singh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.103 | Public IP: 45.119.132.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:44:04 IST Fri May 29 2020 | Duration: 16h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 457611104 | Bytes Rx: 155082916 | IP Addr: 10.150.239.103 | Public IP: 45.119.132.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:44:04 IST Fri May 29 2020 | Duration: 16h:46m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 457611104 | Bytes Rx: 155082916 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239032 | Audit Session ID: 0a96cf6a3a5b80005ed10a9c | Security Group Tag: none | EasyVPN: 0 |Session ID: 239032 | Audit Session ID: 0a96cf6a3a5b80005ed10a9c | Security Group Tag: none | EasyVPN: 0 ||
Username: virendra.sharma | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.239.84 | Public IP: 103.97.104.111 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 00:43:39 IST Sat May 30 2020 | Duration: 10h:46m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 383485685 | Bytes Rx: 218723264 | IP Addr: 10.150.239.84 | Public IP: 103.97.104.111 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 00:43:39 IST Sat May 30 2020 | Duration: 10h:46m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 383485685 | Bytes Rx: 218723264 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 239636 | Audit Session ID: 0a96cf6a3a8140005ed15ee3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 239636 | Audit Session ID: 0a96cf6a3a8140005ed15ee3 | Security Group Tag: none | EasyVPN: 0 ||
