sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: craghura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.117 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:39 IST Mon Jun 15 2020 | Duration: 2d 0h:35m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 274986984 | Bytes Rx: 94752894 | IP Addr: 10.149.233.117 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:24:39 IST Mon Jun 15 2020 | Duration: 2d 0h:35m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 274986984 | Bytes Rx: 94752894 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 152229 | Audit Session ID: 0a95072a252a50005ee70d1f | Security Group Tag: none | EasyVPN: 0 |Session ID: 152229 | Audit Session ID: 0a95072a252a50005ee70d1f | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 1d 4h:04m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1698795474 | Bytes Rx: 334810566 | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 1d 4h:04m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 1698795474 | Bytes Rx: 334810566 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 ||
Username: sunilkumar.singh | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.184 | Public IP: 122.161.46.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:59:57 IST Tue Jun 16 2020 | Duration: 1d 2h:00m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 3560654347 | Bytes Rx: 478397622 | IP Addr: 10.149.233.184 | Public IP: 122.161.46.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 09:59:57 IST Tue Jun 16 2020 | Duration: 1d 2h:00m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 3560654347 | Bytes Rx: 478397622 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154286 | Audit Session ID: 0a95072a25aae0005ee84ac5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 154286 | Audit Session ID: 0a95072a25aae0005ee84ac5 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.222 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:10:26 IST Tue Jun 16 2020 | Duration: 1d 1h:50m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 2034695066 | Bytes Rx: 556214886 | IP Addr: 10.149.233.222 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 10:10:26 IST Tue Jun 16 2020 | Duration: 1d 1h:50m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 2034695066 | Bytes Rx: 556214886 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154345 | Audit Session ID: 0a95072a25ae90005ee84d3a | Security Group Tag: none | EasyVPN: 0 |Session ID: 154345 | Audit Session ID: 0a95072a25ae90005ee84d3a | Security Group Tag: none | EasyVPN: 0 ||
Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 14h:30m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 11643621168 | Bytes Rx: 594921556 | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 14h:30m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 11643621168 | Bytes Rx: 594921556 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: aghodera | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.149 | Public IP: 45.127.107.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:51 IST Wed Jun 17 2020 | Duration: 5h:51m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 379577234 | Bytes Rx: 231669629 | IP Addr: 10.149.232.149 | Public IP: 45.127.107.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:51 IST Wed Jun 17 2020 | Duration: 5h:51m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 379577234 | Bytes Rx: 231669629 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156193 | Audit Session ID: 0a95072a262210005ee9661b | Security Group Tag: none | EasyVPN: 0 |Session ID: 156193 | Audit Session ID: 0a95072a262210005ee9661b | Security Group Tag: none | EasyVPN: 0 ||
Username: srrnarra | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.156 | Public IP: 157.44.241.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:14:00 IST Wed Jun 17 2020 | Duration: 5h:46m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 54505034 | Bytes Rx: 26510035 | IP Addr: 10.149.232.156 | Public IP: 157.44.241.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:14:00 IST Wed Jun 17 2020 | Duration: 5h:46m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 54505034 | Bytes Rx: 26510035 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156199 | Audit Session ID: 0a95072a262270005ee96750 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156199 | Audit Session ID: 0a95072a262270005ee96750 | Security Group Tag: none | EasyVPN: 0 ||
Username: SJShinde | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.150 | Public IP: 103.139.242.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:23:39 IST Wed Jun 17 2020 | Duration: 5h:36m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 1004985959 | Bytes Rx: 132499159 | IP Addr: 10.149.232.150 | Public IP: 103.139.242.254 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:23:39 IST Wed Jun 17 2020 | Duration: 5h:36m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 1004985959 | Bytes Rx: 132499159 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156204 | Audit Session ID: 0a95072a2622c0005ee96993 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156204 | Audit Session ID: 0a95072a2622c0005ee96993 | Security Group Tag: none | EasyVPN: 0 ||
Username: nsawarka | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.160 | Public IP: 183.87.107.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:24:41 IST Wed Jun 17 2020 | Duration: 5h:35m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 863646344 | Bytes Rx: 360112366 | IP Addr: 10.149.232.160 | Public IP: 183.87.107.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:24:41 IST Wed Jun 17 2020 | Duration: 5h:35m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 863646344 | Bytes Rx: 360112366 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156205 | Audit Session ID: 0a95072a2622d0005ee969d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156205 | Audit Session ID: 0a95072a2622d0005ee969d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: AjayTH | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.152 | Public IP: 27.61.50.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:31:11 IST Wed Jun 17 2020 | Duration: 5h:29m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 760714297 | Bytes Rx: 195342257 | IP Addr: 10.149.232.152 | Public IP: 27.61.50.79 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:31:11 IST Wed Jun 17 2020 | Duration: 5h:29m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 760714297 | Bytes Rx: 195342257 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156208 | Audit Session ID: 0a95072a262300005ee96b57 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156208 | Audit Session ID: 0a95072a262300005ee96b57 | Security Group Tag: none | EasyVPN: 0 ||
Username: ganeshrv | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.162 | Public IP: 171.76.52.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:46 IST Wed Jun 17 2020 | Duration: 5h:22m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 446001489 | Bytes Rx: 82690355 | IP Addr: 10.149.232.162 | Public IP: 171.76.52.165 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:37:46 IST Wed Jun 17 2020 | Duration: 5h:22m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 446001489 | Bytes Rx: 82690355 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156209 | Audit Session ID: 0a95072a262310005ee96ce2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 156209 | Audit Session ID: 0a95072a262310005ee96ce2 | Security Group Tag: none | EasyVPN: 0 ||
