sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: athomas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.45 | Public IP: 60.243.109.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:57:12 IST Sun Jun 7 2020 | Duration: 11h:03m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 971341061 | Bytes Rx: 214144499 | IP Addr: 10.149.232.45 | Public IP: 60.243.109.175 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:57:12 IST Sun Jun 7 2020 | Duration: 11h:03m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 971341061 | Bytes Rx: 214144499 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138186 | Audit Session ID: 0a95072a21bca0005edceb30 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138186 | Audit Session ID: 0a95072a21bca0005edceb30 | Security Group Tag: none | EasyVPN: 0 ||
Username: prshirsa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.214 | Public IP: 112.133.251.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:13:27 IST Sun Jun 7 2020 | Duration: 9h:47m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 397120849 | Bytes Rx: 136519985 | IP Addr: 10.149.233.214 | Public IP: 112.133.251.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:13:27 IST Sun Jun 7 2020 | Duration: 9h:47m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 397120849 | Bytes Rx: 136519985 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138246 | Audit Session ID: 0a95072a21c060005edcfd0f | Security Group Tag: none | EasyVPN: 0 |Session ID: 138246 | Audit Session ID: 0a95072a21c060005edcfd0f | Security Group Tag: none | EasyVPN: 0 ||
Username: kbabu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.73 | Public IP: 49.207.138.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:01:20 IST Sun Jun 7 2020 | Duration: 8h:59m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 412345007 | Bytes Rx: 98235524 | IP Addr: 10.149.232.73 | Public IP: 49.207.138.140 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:01:20 IST Sun Jun 7 2020 | Duration: 8h:59m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 412345007 | Bytes Rx: 98235524 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138276 | Audit Session ID: 0a95072a21c240005edd0848 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138276 | Audit Session ID: 0a95072a21c240005edd0848 | Security Group Tag: none | EasyVPN: 0 ||
Username: SHASHETH | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.207 | Public IP: 103.252.5.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:12 IST Sun Jun 7 2020 | Duration: 8h:58m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 759377901 | Bytes Rx: 215956249 | IP Addr: 10.149.233.207 | Public IP: 103.252.5.173 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:02:12 IST Sun Jun 7 2020 | Duration: 8h:58m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 759377901 | Bytes Rx: 215956249 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138278 | Audit Session ID: 0a95072a21c260005edd087c | Security Group Tag: none | EasyVPN: 0 |Session ID: 138278 | Audit Session ID: 0a95072a21c260005edd087c | Security Group Tag: none | EasyVPN: 0 ||
Username: MeJadhav | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.216 | Public IP: 106.193.129.129 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:03:22 IST Sun Jun 7 2020 | Duration: 8h:57m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 130715969 | Bytes Rx: 66079707 | IP Addr: 10.149.233.216 | Public IP: 106.193.129.129 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:03:22 IST Sun Jun 7 2020 | Duration: 8h:57m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 130715969 | Bytes Rx: 66079707 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138280 | Audit Session ID: 0a95072a21c280005edd08c2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138280 | Audit Session ID: 0a95072a21c280005edd08c2 | Security Group Tag: none | EasyVPN: 0 ||
Username: roshghad | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.218 | Public IP: 106.220.84.105 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:03:53 IST Sun Jun 7 2020 | Duration: 8h:57m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 253735529 | Bytes Rx: 151098153 | IP Addr: 10.149.233.218 | Public IP: 106.220.84.105 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 21:03:53 IST Sun Jun 7 2020 | Duration: 8h:57m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 253735529 | Bytes Rx: 151098153 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138282 | Audit Session ID: 0a95072a21c2a0005edd08e1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138282 | Audit Session ID: 0a95072a21c2a0005edd08e1 | Security Group Tag: none | EasyVPN: 0 ||
Username: nittoge | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.25 | Public IP: 106.193.138.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:13 IST Sun Jun 7 2020 | Duration: 8h:50m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 643517594 | Bytes Rx: 132001251 | IP Addr: 10.149.232.25 | Public IP: 106.193.138.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:10:13 IST Sun Jun 7 2020 | Duration: 8h:50m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 643517594 | Bytes Rx: 132001251 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138284 | Audit Session ID: 0a95072a21c2c0005edd0a5d | Security Group Tag: none | EasyVPN: 0 |Session ID: 138284 | Audit Session ID: 0a95072a21c2c0005edd0a5d | Security Group Tag: none | EasyVPN: 0 ||
Username: GVinchur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.62 | Public IP: 106.193.137.25 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:19:17 IST Sun Jun 7 2020 | Duration: 8h:41m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 6072902213 | Bytes Rx: 480344728 | IP Addr: 10.149.232.62 | Public IP: 106.193.137.25 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:19:17 IST Sun Jun 7 2020 | Duration: 8h:41m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 6072902213 | Bytes Rx: 480344728 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138293 | Audit Session ID: 0a95072a21c350005edd0c7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 138293 | Audit Session ID: 0a95072a21c350005edd0c7d | Security Group Tag: none | EasyVPN: 0 ||
Username: rsubbura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.56 | Public IP: 115.97.0.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:46 IST Sun Jun 7 2020 | Duration: 7h:59m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 2528720026 | Bytes Rx: 163004926 | IP Addr: 10.149.232.56 | Public IP: 115.97.0.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:01:46 IST Sun Jun 7 2020 | Duration: 7h:59m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 2528720026 | Bytes Rx: 163004926 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138319 | Audit Session ID: 0a95072a21c4f0005edd1672 | Security Group Tag: none | EasyVPN: 0 |Session ID: 138319 | Audit Session ID: 0a95072a21c4f0005edd1672 | Security Group Tag: none | EasyVPN: 0 ||
Username: vidyak | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.68 | Public IP: 106.216.173.130 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:13:11 IST Sun Jun 7 2020 | Duration: 7h:47m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 567475224 | Bytes Rx: 158119951 | IP Addr: 10.149.232.68 | Public IP: 106.216.173.130 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:13:11 IST Sun Jun 7 2020 | Duration: 7h:47m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 567475224 | Bytes Rx: 158119951 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138329 | Audit Session ID: 0a95072a21c590005edd191f | Security Group Tag: none | EasyVPN: 0 |Session ID: 138329 | Audit Session ID: 0a95072a21c590005edd191f | Security Group Tag: none | EasyVPN: 0 ||
Username: vasukris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.213 | Public IP: 49.37.192.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:30:31 IST Sun Jun 7 2020 | Duration: 7h:30m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 136712475 | Bytes Rx: 64781559 | IP Addr: 10.149.233.213 | Public IP: 49.37.192.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:30:31 IST Sun Jun 7 2020 | Duration: 7h:30m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 136712475 | Bytes Rx: 64781559 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 138352 | Audit Session ID: 0a95072a21c700005edd1d2f | Security Group Tag: none | EasyVPN: 0 |Session ID: 138352 | Audit Session ID: 0a95072a21c700005edd1d2f | Security Group Tag: none | EasyVPN: 0 ||
