sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.224 | Public IP: 103.241.226.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:11:43 IST Thu Jun 18 2020 | Duration: 2d 20h:22m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1790986791 | Bytes Rx: 727278856 | IP Addr: 10.149.235.224 | Public IP: 103.241.226.57 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:11:43 IST Thu Jun 18 2020 | Duration: 2d 20h:22m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 1790986791 | Bytes Rx: 727278856 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 177298 | Audit Session ID: 0a95072b2b4920005eeb0ca7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 177298 | Audit Session ID: 0a95072b2b4920005eeb0ca7 | Security Group Tag: none | EasyVPN: 0 ||
Username: summohan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.12 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:24:10 IST Thu Jun 18 2020 | Duration: 2d 9h:10m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 16750358282 | Bytes Rx: 2436159852 | IP Addr: 10.149.235.12 | Public IP: 122.177.104.139 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:24:10 IST Thu Jun 18 2020 | Duration: 2d 9h:10m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 16750358282 | Bytes Rx: 2436159852 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 178770 | Audit Session ID: 0a95072b2ba520005eebaa42 | Security Group Tag: none | EasyVPN: 0 |Session ID: 178770 | Audit Session ID: 0a95072b2ba520005eebaa42 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 1d 14h:00m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 70201186 | Bytes Rx: 66585594 | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 1d 14h:00m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 70201186 | Bytes Rx: 66585594 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.141 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:16:49 IST Fri Jun 19 2020 | Duration: 1d 10h:17m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 2246409305 | Bytes Rx: 917628591 | IP Addr: 10.149.235.141 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:16:49 IST Fri Jun 19 2020 | Duration: 1d 10h:17m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 2246409305 | Bytes Rx: 917628591 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 181270 | Audit Session ID: 0a95072b2c4160005eecebf9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 181270 | Audit Session ID: 0a95072b2c4160005eecebf9 | Security Group Tag: none | EasyVPN: 0 ||
Username: shrbanda | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.36 | Public IP: 124.123.174.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:12 IST Sat Jun 20 2020 | Duration: 22h:29m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 389288641 | Bytes Rx: 601021063 | IP Addr: 10.149.235.36 | Public IP: 124.123.174.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:05:12 IST Sat Jun 20 2020 | Duration: 22h:29m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 389288641 | Bytes Rx: 601021063 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 181494 | Audit Session ID: 0a95072b2c4f60005eed9200 | Security Group Tag: none | EasyVPN: 0 |Session ID: 181494 | Audit Session ID: 0a95072b2c4f60005eed9200 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vmuthu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.99 | Public IP: 182.65.34.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:43:54 IST Sat Jun 20 2020 | Duration: 12h:50m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 69385924 | Bytes Rx: 40541531 | IP Addr: 10.149.235.99 | Public IP: 182.65.34.58 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:43:54 IST Sat Jun 20 2020 | Duration: 12h:50m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 69385924 | Bytes Rx: 40541531 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182241 | Audit Session ID: 0a95072b2c7e10005eee19a2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182241 | Audit Session ID: 0a95072b2c7e10005eee19a2 | Security Group Tag: none | EasyVPN: 0 ||
Username: ssdpawar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.49 | Public IP: 157.33.157.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:15:18 IST Sat Jun 20 2020 | Duration: 11h:18m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1745979848 | Bytes Rx: 339899883 | IP Addr: 10.149.235.49 | Public IP: 157.33.157.241 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:15:18 IST Sat Jun 20 2020 | Duration: 11h:18m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1745979848 | Bytes Rx: 339899883 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182329 | Audit Session ID: 0a95072b2c8390005eee2f0e | Security Group Tag: none | EasyVPN: 0 |Session ID: 182329 | Audit Session ID: 0a95072b2c8390005eee2f0e | Security Group Tag: none | EasyVPN: 0 ||
Username: asoundar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.71 | Public IP: 106.197.44.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:37:43 IST Sat Jun 20 2020 | Duration: 9h:56m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 665397038 | Bytes Rx: 391198925 | IP Addr: 10.149.235.71 | Public IP: 106.197.44.86 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:37:43 IST Sat Jun 20 2020 | Duration: 9h:56m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 665397038 | Bytes Rx: 391198925 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182386 | Audit Session ID: 0a95072b2c8720005eee425f | Security Group Tag: none | EasyVPN: 0 |Session ID: 182386 | Audit Session ID: 0a95072b2c8720005eee425f | Security Group Tag: none | EasyVPN: 0 ||
Username: dbharnuk | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.97 | Public IP: 203.194.104.47 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 23:13:09 IST Sat Jun 20 2020 | Duration: 9h:21m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1209238913 | Bytes Rx: 351623752 | IP Addr: 10.149.235.97 | Public IP: 203.194.104.47 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 23:13:09 IST Sat Jun 20 2020 | Duration: 9h:21m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 1209238913 | Bytes Rx: 351623752 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182419 | Audit Session ID: 0a95072b2c8930005eee4aad | Security Group Tag: none | EasyVPN: 0 |Session ID: 182419 | Audit Session ID: 0a95072b2c8930005eee4aad | Security Group Tag: none | EasyVPN: 0 ||
Username: DurvaO | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.203 | Public IP: 157.50.32.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:47:45 IST Sun Jun 21 2020 | Duration: 5h:46m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 336608826 | Bytes Rx: 157730788 | IP Addr: 10.149.234.203 | Public IP: 157.50.32.218 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 02:47:45 IST Sun Jun 21 2020 | Duration: 5h:46m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 336608826 | Bytes Rx: 157730788 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182438 | Audit Session ID: 0a95072b2c8a60005eee7cf9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 182438 | Audit Session ID: 0a95072b2c8a60005eee7cf9 | Security Group Tag: none | EasyVPN: 0 ||
Username: PRIKHADE | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.68 | Public IP: 157.33.197.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:03 IST Sun Jun 21 2020 | Duration: 2h:47m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 204594792 | Bytes Rx: 41015628 | IP Addr: 10.149.235.68 | Public IP: 157.33.197.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:47:03 IST Sun Jun 21 2020 | Duration: 2h:47m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 204594792 | Bytes Rx: 41015628 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 182457 | Audit Session ID: 0a95072b2c8b90005eeea6ff | Security Group Tag: none | EasyVPN: 0 |Session ID: 182457 | Audit Session ID: 0a95072b2c8b90005eeea6ff | Security Group Tag: none | EasyVPN: 0 ||
