sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: sloganat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 1d 1h:14m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 832003970 | Bytes Rx: 197369597 | IP Addr: 10.149.232.13 | Public IP: 49.207.129.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:15:16 IST Fri May 29 2020 | Duration: 1d 1h:14m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 832003970 | Bytes Rx: 197369597 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 |Session ID: 122460 | Audit Session ID: 0a95072a1de5c0005ed0af7c | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.221 | Public IP: 157.38.201.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:23 IST Sat May 30 2020 | Duration: 7h:11m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 511597042 | Bytes Rx: 230323513 | IP Addr: 10.149.233.221 | Public IP: 157.38.201.69 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:18:23 IST Sat May 30 2020 | Duration: 7h:11m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 511597042 | Bytes Rx: 230323513 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123843 | Audit Session ID: 0a95072a1e3c30005ed1ad57 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123843 | Audit Session ID: 0a95072a1e3c30005ed1ad57 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.175 | Public IP: 27.5.15.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:02 IST Sat May 30 2020 | Duration: 6h:52m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 665942887 | Bytes Rx: 174059358 | IP Addr: 10.149.232.175 | Public IP: 27.5.15.7 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:02 IST Sat May 30 2020 | Duration: 6h:52m:13s | Inactivity:  0h:00m:00s | Bytes Tx: 665942887 | Bytes Rx: 174059358 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123851 | Audit Session ID: 0a95072a1e3cb0005ed1b1f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123851 | Audit Session ID: 0a95072a1e3cb0005ed1b1f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: vaishdev | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC2 | IP Addr: 10.149.248.98 | Public IP: 157.51.139.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:41 IST Sat May 30 2020 | Duration: 6h:39m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 4394443899 | Bytes Rx: 407119936 | IP Addr: 10.149.248.98 | Public IP: 157.51.139.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:41 IST Sat May 30 2020 | Duration: 6h:39m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 4394443899 | Bytes Rx: 407119936 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123860 | Audit Session ID: 0a95072a1e3d40005ed1b4e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123860 | Audit Session ID: 0a95072a1e3d40005ed1b4e9 | Security Group Tag: none | EasyVPN: 0 ||
Username: lvajja | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.153 | Public IP: 157.48.43.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:13 IST Sat May 30 2020 | Duration: 6h:39m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 961740665 | Bytes Rx: 472002393 | IP Addr: 10.149.233.153 | Public IP: 157.48.43.154 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:13 IST Sat May 30 2020 | Duration: 6h:39m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 961740665 | Bytes Rx: 472002393 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123861 | Audit Session ID: 0a95072a1e3d50005ed1b509 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123861 | Audit Session ID: 0a95072a1e3d50005ed1b509 | Security Group Tag: none | EasyVPN: 0 ||
Username: abmanoha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 6h:38m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1263664932 | Bytes Rx: 251899714 | IP Addr: 10.149.233.154 | Public IP: 49.207.130.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:49 IST Sat May 30 2020 | Duration: 6h:38m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 1263664932 | Bytes Rx: 251899714 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 |Session ID: 123863 | Audit Session ID: 0a95072a1e3d70005ed1b52d | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.155 | Public IP: 49.35.52.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:04 IST Sat May 30 2020 | Duration: 6h:37m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 244928358 | Bytes Rx: 76526220 | IP Addr: 10.149.233.155 | Public IP: 49.35.52.225 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:04 IST Sat May 30 2020 | Duration: 6h:37m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 244928358 | Bytes Rx: 76526220 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123864 | Audit Session ID: 0a95072a1e3d80005ed1b578 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123864 | Audit Session ID: 0a95072a1e3d80005ed1b578 | Security Group Tag: none | EasyVPN: 0 ||
Username: swadmare | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.157 | Public IP: 59.95.9.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:50 IST Sat May 30 2020 | Duration: 6h:33m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 169470843 | Bytes Rx: 58081987 | IP Addr: 10.149.233.157 | Public IP: 59.95.9.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:50 IST Sat May 30 2020 | Duration: 6h:33m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 169470843 | Bytes Rx: 58081987 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123866 | Audit Session ID: 0a95072a1e3da0005ed1b65a | Security Group Tag: none | EasyVPN: 0 |Session ID: 123866 | Audit Session ID: 0a95072a1e3da0005ed1b65a | Security Group Tag: none | EasyVPN: 0 ||
Username: gesamina | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: GSMC1 | IP Addr: 10.149.248.97 | Public IP: 106.198.8.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:43 IST Sat May 30 2020 | Duration: 6h:26m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1242142840 | Bytes Rx: 423484082 | IP Addr: 10.149.248.97 | Public IP: 106.198.8.8 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:03:43 IST Sat May 30 2020 | Duration: 6h:26m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1242142840 | Bytes Rx: 423484082 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123868 | Audit Session ID: 0a95072a1e3dc0005ed1b7f7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 123868 | Audit Session ID: 0a95072a1e3dc0005ed1b7f7 | Security Group Tag: none | EasyVPN: 0 ||
Username: VRathore | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.101 | Public IP: 49.36.24.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:56 IST Sat May 30 2020 | Duration: 6h:12m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 788311205 | Bytes Rx: 219332356 | IP Addr: 10.149.232.101 | Public IP: 49.36.24.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:17:56 IST Sat May 30 2020 | Duration: 6h:12m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 788311205 | Bytes Rx: 219332356 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123875 | Audit Session ID: 0a95072a1e3e30005ed1bb4c | Security Group Tag: none | EasyVPN: 0 |Session ID: 123875 | Audit Session ID: 0a95072a1e3e30005ed1bb4c | Security Group Tag: none | EasyVPN: 0 ||
Username: TejalBan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.170 | Public IP: 202.179.72.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:11 IST Sat May 30 2020 | Duration: 6h:05m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 998144269 | Bytes Rx: 720341732 | IP Addr: 10.149.233.170 | Public IP: 202.179.72.60 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:25:11 IST Sat May 30 2020 | Duration: 6h:05m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 998144269 | Bytes Rx: 720341732 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 123879 | Audit Session ID: 0a95072a1e3e70005ed1bcff | Security Group Tag: none | EasyVPN: 0 |Session ID: 123879 | Audit Session ID: 0a95072a1e3e70005ed1bcff | Security Group Tag: none | EasyVPN: 0 ||
