sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: NikSomas | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.171 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:08:53 IST Thu Jul 2 2020 | Duration: 17d 23h:51m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 2598160980 | Bytes Rx: 2718205520 | IP Addr: 10.150.236.171 | Public IP: 182.73.130.235 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:08:53 IST Thu Jul 2 2020 | Duration: 17d 23h:51m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 2598160980 | Bytes Rx: 2718205520 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 84317 | Audit Session ID: 0a96cf691495d0005efd64dd | Security Group Tag: none | EasyVPN: 0 |Session ID: 84317 | Audit Session ID: 0a96cf691495d0005efd64dd | Security Group Tag: none | EasyVPN: 0 ||
Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.125 | Public IP: 182.57.210.203 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:37:08 IST Fri Jul 17 2020 | Duration: 2d 14h:22m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1370873047 | Bytes Rx: 861486661 | IP Addr: 10.150.237.125 | Public IP: 182.57.210.203 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:37:08 IST Fri Jul 17 2020 | Duration: 2d 14h:22m:59s | Inactivity:  0h:00m:00s | Bytes Tx: 1370873047 | Bytes Rx: 861486661 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 136612 | Audit Session ID: 0a96cf69215a40005f11b08c | Security Group Tag: none | EasyVPN: 0 |Session ID: 136612 | Audit Session ID: 0a96cf69215a40005f11b08c | Security Group Tag: none | EasyVPN: 0 ||
Username: Srchanda | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.174 | Public IP: 49.37.5.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:40 IST Sat Jul 18 2020 | Duration: 1d 14h:51m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 1199151308 | Bytes Rx: 307626939 | IP Addr: 10.150.236.174 | Public IP: 49.37.5.177 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:08:40 IST Sat Jul 18 2020 | Duration: 1d 14h:51m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 1199151308 | Bytes Rx: 307626939 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 139685 | Audit Session ID: 0a96cf69221a50005f12fb60 | Security Group Tag: none | EasyVPN: 0 |Session ID: 139685 | Audit Session ID: 0a96cf69221a50005f12fb60 | Security Group Tag: none | EasyVPN: 0 ||
Username: Skambale | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.165 | Public IP: 103.208.71.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:18 IST Sun Jul 19 2020 | Duration: 1d 2h:43m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 191986418 | Bytes Rx: 198880889 | IP Addr: 10.150.236.165 | Public IP: 103.208.71.38 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:18 IST Sun Jul 19 2020 | Duration: 1d 2h:43m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 191986418 | Bytes Rx: 198880889 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 140401 | Audit Session ID: 0a96cf69224710005f13a5ea | Security Group Tag: none | EasyVPN: 0 |Session ID: 140401 | Audit Session ID: 0a96cf69224710005f13a5ea | Security Group Tag: none | EasyVPN: 0 ||
Username: SWGADEKA | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.18 | Public IP: 157.33.145.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:26:38 IST Sun Jul 19 2020 | Duration: 10h:33m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 32364773 | Bytes Rx: 21309930 | IP Addr: 10.150.236.18 | Public IP: 157.33.145.76 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 23:26:38 IST Sun Jul 19 2020 | Duration: 10h:33m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 32364773 | Bytes Rx: 21309930 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142058 | Audit Session ID: 0a96cf6922aea0005f148956 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142058 | Audit Session ID: 0a96cf6922aea0005f148956 | Security Group Tag: none | EasyVPN: 0 ||
Username: sijayara | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.155 | Public IP: 14.200.96.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Mon Jul 20 2020 | Duration: 4h:32m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 546069761 | Bytes Rx: 30033269 | IP Addr: 10.150.236.155 | Public IP: 14.200.96.107 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:27:19 IST Mon Jul 20 2020 | Duration: 4h:32m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 546069761 | Bytes Rx: 30033269 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142222 | Audit Session ID: 0a96cf6922b8e0005f14dddf | Security Group Tag: none | EasyVPN: 0 |Session ID: 142222 | Audit Session ID: 0a96cf6922b8e0005f14dddf | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.154 | Public IP: 117.96.194.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:48:01 IST Mon Jul 20 2020 | Duration: 4h:12m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 14830361 | Bytes Rx: 12889210 | IP Addr: 10.150.236.154 | Public IP: 117.96.194.18 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:48:01 IST Mon Jul 20 2020 | Duration: 4h:12m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 14830361 | Bytes Rx: 12889210 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142237 | Audit Session ID: 0a96cf6922b9d0005f14e2b9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142237 | Audit Session ID: 0a96cf6922b9d0005f14e2b9 | Security Group Tag: none | EasyVPN: 0 ||
Username: rponnapa | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.158 | Public IP: 110.225.16.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:03 IST Mon Jul 20 2020 | Duration: 4h:02m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 211408161 | Bytes Rx: 38643779 | IP Addr: 10.150.236.158 | Public IP: 110.225.16.192 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:03 IST Mon Jul 20 2020 | Duration: 4h:02m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 211408161 | Bytes Rx: 38643779 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142243 | Audit Session ID: 0a96cf6922ba30005f14e513 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142243 | Audit Session ID: 0a96cf6922ba30005f14e513 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArchanaP | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.161 | Public IP: 157.47.16.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:04:12 IST Mon Jul 20 2020 | Duration: 3h:55m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 310679827 | Bytes Rx: 63814752 | IP Addr: 10.150.236.161 | Public IP: 157.47.16.74 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:04:12 IST Mon Jul 20 2020 | Duration: 3h:55m:55s | Inactivity:  0h:00m:00s | Bytes Tx: 310679827 | Bytes Rx: 63814752 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142248 | Audit Session ID: 0a96cf6922ba80005f14e684 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142248 | Audit Session ID: 0a96cf6922ba80005f14e684 | Security Group Tag: none | EasyVPN: 0 ||
Username: atulmat | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.162 | Public IP: 103.221.72.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:35 IST Mon Jul 20 2020 | Duration: 3h:52m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 650635635 | Bytes Rx: 66059788 | IP Addr: 10.150.236.162 | Public IP: 103.221.72.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:07:35 IST Mon Jul 20 2020 | Duration: 3h:52m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 650635635 | Bytes Rx: 66059788 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142250 | Audit Session ID: 0a96cf6922baa0005f14e74f | Security Group Tag: none | EasyVPN: 0 |Session ID: 142250 | Audit Session ID: 0a96cf6922baa0005f14e74f | Security Group Tag: none | EasyVPN: 0 ||
Username: karparde | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.223 | Public IP: 157.33.161.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:52 IST Mon Jul 20 2020 | Duration: 3h:44m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 170832246 | Bytes Rx: 75049879 | IP Addr: 10.150.237.223 | Public IP: 157.33.161.51 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:15:52 IST Mon Jul 20 2020 | Duration: 3h:44m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 170832246 | Bytes Rx: 75049879 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 142256 | Audit Session ID: 0a96cf6922bb00005f14e940 | Security Group Tag: none | EasyVPN: 0 |Session ID: 142256 | Audit Session ID: 0a96cf6922bb00005f14e940 | Security Group Tag: none | EasyVPN: 0 ||
