sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 4d 16h:41m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 10797626245 | Bytes Rx: 1853073017 | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 4d 16h:41m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 10797626245 | Bytes Rx: 1853073017 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 4h:48m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2667192589 | Bytes Rx: 552308148 | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 4h:48m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 2667192589 | Bytes Rx: 552308148 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 ||
Username: vasukris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 1d 3h:44m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 754069963 | Bytes Rx: 225054964 | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 1d 3h:44m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 754069963 | Bytes Rx: 225054964 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 |Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 ||
Username: Navselva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.216 | Public IP: 27.7.71.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 11h:32m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 992225429 | Bytes Rx: 348748717 | IP Addr: 10.149.234.216 | Public IP: 27.7.71.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 11h:32m:34s | Inactivity:  0h:00m:00s | Bytes Tx: 992225429 | Bytes Rx: 348748717 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 ||
Username: mraaj | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.148 | Public IP: 115.97.71.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 10h:24m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1159381652 | Bytes Rx: 250734780 | IP Addr: 10.149.234.148 | Public IP: 115.97.71.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 10h:24m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1159381652 | Bytes Rx: 250734780 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: kumarpan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 10h:09m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 315832500 | Bytes Rx: 64505035 | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 10h:09m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 315832500 | Bytes Rx: 64505035 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrajakum | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 9h:46m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 3633096683 | Bytes Rx: 493860727 | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 9h:46m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 3633096683 | Bytes Rx: 493860727 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 |Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 8h:50m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 275487525 | Bytes Rx: 146331612 | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 8h:50m:20s | Inactivity:  0h:00m:00s | Bytes Tx: 275487525 | Bytes Rx: 146331612 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 ||
Username: SRaktate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.19 | Public IP: 223.178.149.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Fri Jun 26 2020 | Duration: 8h:38m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1116749143 | Bytes Rx: 255377308 | IP Addr: 10.149.235.19 | Public IP: 223.178.149.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Fri Jun 26 2020 | Duration: 8h:38m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1116749143 | Bytes Rx: 255377308 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193430 | Audit Session ID: 0a95072b2f3960005ef54dc7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193430 | Audit Session ID: 0a95072b2f3960005ef54dc7 | Security Group Tag: none | EasyVPN: 0 ||
Username: somnath.datta | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.21 | Public IP: 223.191.55.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:15 IST Fri Jun 26 2020 | Duration: 8h:37m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 195460346 | Bytes Rx: 134412328 | IP Addr: 10.149.235.21 | Public IP: 223.191.55.217 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:53:15 IST Fri Jun 26 2020 | Duration: 8h:37m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 195460346 | Bytes Rx: 134412328 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193432 | Audit Session ID: 0a95072b2f3980005ef54e03 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193432 | Audit Session ID: 0a95072b2f3980005ef54e03 | Security Group Tag: none | EasyVPN: 0 ||
Username: amit.singhal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.50 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:25 IST Fri Jun 26 2020 | Duration: 8h:30m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1045712423 | Bytes Rx: 493047802 | IP Addr: 10.149.235.50 | Public IP: 103.226.84.135 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:00:25 IST Fri Jun 26 2020 | Duration: 8h:30m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 1045712423 | Bytes Rx: 493047802 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193439 | Audit Session ID: 0a95072b2f39f0005ef54fb1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193439 | Audit Session ID: 0a95072b2f39f0005ef54fb1 | Security Group Tag: none | EasyVPN: 0 ||
