sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.2 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Mon Jun 8 2020 | Duration: 2d 23h:08m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 6244643410 | Bytes Rx: 887994948 | IP Addr: 10.149.235.2 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Mon Jun 8 2020 | Duration: 2d 23h:08m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 6244643410 | Bytes Rx: 887994948 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154966 | Audit Session ID: 0a95072b25d560005edd92c7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 154966 | Audit Session ID: 0a95072b25d560005edd92c7 | Security Group Tag: none | EasyVPN: 0 ||
Username: sanjay.kumar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.246 | Public IP: 103.240.207.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:17 IST Mon Jun 8 2020 | Duration: 2d 18h:19m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 12899811396 | Bytes Rx: 1116678343 | IP Addr: 10.149.234.246 | Public IP: 103.240.207.150 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:41:17 IST Mon Jun 8 2020 | Duration: 2d 18h:19m:04s | Inactivity:  0h:00m:00s | Bytes Tx: 12899811396 | Bytes Rx: 1116678343 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 155797 | Audit Session ID: 0a95072b260950005eddd685 | Security Group Tag: none | EasyVPN: 0 |Session ID: 155797 | Audit Session ID: 0a95072b260950005eddd685 | Security Group Tag: none | EasyVPN: 0 ||
Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 1d 19h:10m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 912659545 | Bytes Rx: 357700062 | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 1d 19h:10m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 912659545 | Bytes Rx: 357700062 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 ||
Username: dhykotha | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.87 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:19 IST Wed Jun 10 2020 | Duration: 21h:36m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 554436154 | Bytes Rx: 255467113 | IP Addr: 10.149.235.87 | Public IP: 103.86.182.161 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 08:24:19 IST Wed Jun 10 2020 | Duration: 21h:36m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 554436154 | Bytes Rx: 255467113 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160172 | Audit Session ID: 0a95072b271ac0005ee04b5b | Security Group Tag: none | EasyVPN: 0 |Session ID: 160172 | Audit Session ID: 0a95072b271ac0005ee04b5b | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.47 | Public IP: 49.206.126.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:43:12 IST Wed Jun 10 2020 | Duration: 19h:17m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 518971127 | Bytes Rx: 270584361 | IP Addr: 10.149.234.47 | Public IP: 49.206.126.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:43:12 IST Wed Jun 10 2020 | Duration: 19h:17m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 518971127 | Bytes Rx: 270584361 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160622 | Audit Session ID: 0a95072b2736e0005ee06be8 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160622 | Audit Session ID: 0a95072b2736e0005ee06be8 | Security Group Tag: none | EasyVPN: 0 ||
Username: rkgorle | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.188 | Public IP: 192.140.154.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:15 IST Wed Jun 10 2020 | Duration: 18h:31m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1006086057 | Bytes Rx: 923620451 | IP Addr: 10.149.234.188 | Public IP: 192.140.154.167 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:29:15 IST Wed Jun 10 2020 | Duration: 18h:31m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 1006086057 | Bytes Rx: 923620451 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 160800 | Audit Session ID: 0a95072b274200005ee076b3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 160800 | Audit Session ID: 0a95072b274200005ee076b3 | Security Group Tag: none | EasyVPN: 0 ||
Username: mkiruban | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.243.230 | Public IP: 103.98.63.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:41:18 IST Wed Jun 10 2020 | Duration: 17h:19m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 816818113 | Bytes Rx: 535122757 | IP Addr: 10.149.243.230 | Public IP: 103.98.63.113 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:41:18 IST Wed Jun 10 2020 | Duration: 17h:19m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 816818113 | Bytes Rx: 535122757 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 161060 | Audit Session ID: 0a95072b275240005ee08796 | Security Group Tag: none | EasyVPN: 0 |Session ID: 161060 | Audit Session ID: 0a95072b275240005ee08796 | Security Group Tag: none | EasyVPN: 0 ||
Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.35 | Public IP: 49.37.204.170 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 14:47:52 IST Wed Jun 10 2020 | Duration: 15h:12m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 462337480 | Bytes Rx: 197626349 | IP Addr: 10.149.234.35 | Public IP: 49.37.204.170 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 14:47:52 IST Wed Jun 10 2020 | Duration: 15h:12m:29s | Inactivity:  0h:00m:00s | Bytes Tx: 462337480 | Bytes Rx: 197626349 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 161560 | Audit Session ID: 0a95072b277180005ee0a540 | Security Group Tag: none | EasyVPN: 0 |Session ID: 161560 | Audit Session ID: 0a95072b277180005ee0a540 | Security Group Tag: none | EasyVPN: 0 ||
Username: craghura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.82 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:51:59 IST Wed Jun 10 2020 | Duration: 11h:08m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 864940325 | Bytes Rx: 45712505 | IP Addr: 10.149.235.82 | Public IP: 223.226.109.131 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:51:59 IST Wed Jun 10 2020 | Duration: 11h:08m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 864940325 | Bytes Rx: 45712505 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162105 | Audit Session ID: 0a95072b279390005ee0de77 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162105 | Audit Session ID: 0a95072b279390005ee0de77 | Security Group Tag: none | EasyVPN: 0 ||
Username: anb.rao | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.153 | Public IP: 49.206.200.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:17:37 IST Wed Jun 10 2020 | Duration: 10h:42m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 222823853 | Bytes Rx: 76415055 | IP Addr: 10.149.234.153 | Public IP: 49.206.200.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:17:37 IST Wed Jun 10 2020 | Duration: 10h:42m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 222823853 | Bytes Rx: 76415055 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162144 | Audit Session ID: 0a95072b279600005ee0e479 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162144 | Audit Session ID: 0a95072b279600005ee0e479 | Security Group Tag: none | EasyVPN: 0 ||
Username: ArunShel | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.193 | Public IP: 157.47.47.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:39:41 IST Wed Jun 10 2020 | Duration: 9h:20m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 1987244621 | Bytes Rx: 379365779 | IP Addr: 10.149.235.193 | Public IP: 157.47.47.224 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:39:41 IST Wed Jun 10 2020 | Duration: 9h:20m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 1987244621 | Bytes Rx: 379365779 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 162256 | Audit Session ID: 0a95072b279d00005ee0f7b5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 162256 | Audit Session ID: 0a95072b279d00005ee0f7b5 | Security Group Tag: none | EasyVPN: 0 ||
