sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.175 | Public IP: 182.57.224.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 1d 19h:02m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 2010371184 | Bytes Rx: 626495229 | IP Addr: 10.147.96.175 | Public IP: 182.57.224.168 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 1d 19h:02m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 2010371184 | Bytes Rx: 626495229 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 |Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 ||
Username: mdarpall | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 1d 16h:56m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 2484322647 | Bytes Rx: 390068224 | IP Addr: 10.150.236.49 | Public IP: 14.192.3.195 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 16:39:38 IST Mon Jun 15 2020 | Duration: 1d 16h:56m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 2484322647 | Bytes Rx: 390068224 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 25336 | Audit Session ID: 0a96cf69062f80005ee756f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.182 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:13:29 IST Tue Jun 16 2020 | Duration: 23h:22m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1426094399 | Bytes Rx: 112814400 | IP Addr: 10.150.237.182 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:13:29 IST Tue Jun 16 2020 | Duration: 23h:22m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1426094399 | Bytes Rx: 112814400 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 27280 | Audit Session ID: 0a96cf6906a900005ee84df1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 27280 | Audit Session ID: 0a96cf6906a900005ee84df1 | Security Group Tag: none | EasyVPN: 0 ||
Username: RaviJais | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.211 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:38 IST Tue Jun 16 2020 | Duration: 21h:49m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 452317578 | Bytes Rx: 828367460 | IP Addr: 10.150.244.211 | Public IP: 103.232.244.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:38 IST Tue Jun 16 2020 | Duration: 21h:49m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 452317578 | Bytes Rx: 828367460 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 27877 | Audit Session ID: 0a96cf6906ce50005ee863c6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 27877 | Audit Session ID: 0a96cf6906ce50005ee863c6 | Security Group Tag: none | EasyVPN: 0 ||
Username: manojjos | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.238 | Public IP: 43.243.173.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:00:07 IST Tue Jun 16 2020 | Duration: 15h:36m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 10634446607 | Bytes Rx: 256018496 | IP Addr: 10.150.244.238 | Public IP: 43.243.173.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:00:07 IST Tue Jun 16 2020 | Duration: 15h:36m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 10634446607 | Bytes Rx: 256018496 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 29326 | Audit Session ID: 0a96cf690728e0005ee8bb4f | Security Group Tag: none | EasyVPN: 0 |Session ID: 29326 | Audit Session ID: 0a96cf690728e0005ee8bb4f | Security Group Tag: none | EasyVPN: 0 ||
Username: sanirali | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.252 | Public IP: 103.51.209.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:15:45 IST Tue Jun 16 2020 | Duration: 12h:20m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1299734862 | Bytes Rx: 434061494 | IP Addr: 10.150.236.252 | Public IP: 103.51.209.41 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:15:45 IST Tue Jun 16 2020 | Duration: 12h:20m:23s | Inactivity:  0h:00m:00s | Bytes Tx: 1299734862 | Bytes Rx: 434061494 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 29824 | Audit Session ID: 0a96cf69074800005ee8e929 | Security Group Tag: none | EasyVPN: 0 |Session ID: 29824 | Audit Session ID: 0a96cf69074800005ee8e929 | Security Group Tag: none | EasyVPN: 0 ||
Username: monidigh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.207 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:19:28 IST Tue Jun 16 2020 | Duration: 12h:16m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 57259868 | Bytes Rx: 17419800 | IP Addr: 10.150.236.207 | Public IP: 27.4.80.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 21:19:28 IST Tue Jun 16 2020 | Duration: 12h:16m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 57259868 | Bytes Rx: 17419800 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 29837 | Audit Session ID: 0a96cf690748d0005ee8ea08 | Security Group Tag: none | EasyVPN: 0 |Session ID: 29837 | Audit Session ID: 0a96cf690748d0005ee8ea08 | Security Group Tag: none | EasyVPN: 0 ||
Username: CKadekar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.122 | Public IP: 43.242.229.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:37:51 IST Wed Jun 17 2020 | Duration: 3h:58m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 3115007707 | Bytes Rx: 246261169 | IP Addr: 10.150.237.122 | Public IP: 43.242.229.66 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:37:51 IST Wed Jun 17 2020 | Duration: 3h:58m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 3115007707 | Bytes Rx: 246261169 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30335 | Audit Session ID: 0a96cf690767f0005ee95ed7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 30335 | Audit Session ID: 0a96cf690767f0005ee95ed7 | Security Group Tag: none | EasyVPN: 0 ||
Username: ransharm | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.249 | Public IP: 106.193.136.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:02 IST Wed Jun 17 2020 | Duration: 3h:36m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 104441171 | Bytes Rx: 28470283 | IP Addr: 10.150.237.249 | Public IP: 106.193.136.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:02 IST Wed Jun 17 2020 | Duration: 3h:36m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 104441171 | Bytes Rx: 28470283 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30346 | Audit Session ID: 0a96cf690768a0005ee9640a | Security Group Tag: none | EasyVPN: 0 |Session ID: 30346 | Audit Session ID: 0a96cf690768a0005ee9640a | Security Group Tag: none | EasyVPN: 0 ||
Username: rajamukh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.103 | Public IP: 1.187.51.212 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:31:14 IST Wed Jun 17 2020 | Duration: 3h:04m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 124381658 | Bytes Rx: 43613620 | IP Addr: 10.150.236.103 | Public IP: 1.187.51.212 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:31:14 IST Wed Jun 17 2020 | Duration: 3h:04m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 124381658 | Bytes Rx: 43613620 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30365 | Audit Session ID: 0a96cf690769d0005ee96b5a | Security Group Tag: none | EasyVPN: 0 |Session ID: 30365 | Audit Session ID: 0a96cf690769d0005ee96b5a | Security Group Tag: none | EasyVPN: 0 ||
Username: anildond | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.104 | Public IP: 157.33.132.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:31:44 IST Wed Jun 17 2020 | Duration: 3h:04m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 111398698 | Bytes Rx: 42705949 | IP Addr: 10.150.236.104 | Public IP: 157.33.132.213 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:31:44 IST Wed Jun 17 2020 | Duration: 3h:04m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 111398698 | Bytes Rx: 42705949 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 30366 | Audit Session ID: 0a96cf690769e0005ee96b78 | Security Group Tag: none | EasyVPN: 0 |Session ID: 30366 | Audit Session ID: 0a96cf690769e0005ee96b78 | Security Group Tag: none | EasyVPN: 0 ||
