sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 4d 3h:28m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 523702696 | Bytes Rx: 961105029 | IP Addr: 10.149.233.54 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:31:50 IST Thu Jun 18 2020 | Duration: 4d 3h:28m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 523702696 | Bytes Rx: 961105029 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 |Session ID: 158927 | Audit Session ID: 0a95072a26ccf0005eeaf53e | Security Group Tag: none | EasyVPN: 0 ||
Username: GayatSri | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.144 | Public IP: 49.207.141.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:19:46 IST Sun Jun 21 2020 | Duration: 1d 1h:40m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 72282828 | Bytes Rx: 40070715 | IP Addr: 10.149.233.144 | Public IP: 49.207.141.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:19:46 IST Sun Jun 21 2020 | Duration: 1d 1h:40m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 72282828 | Bytes Rx: 40070715 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164681 | Audit Session ID: 0a95072a283490005eef030a | Security Group Tag: none | EasyVPN: 0 |Session ID: 164681 | Audit Session ID: 0a95072a283490005eef030a | Security Group Tag: none | EasyVPN: 0 ||
Username: TeMamidi | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.159 | Public IP: 124.123.167.227 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:09:09 IST Mon Jun 22 2020 | Duration: 7h:51m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 255283476 | Bytes Rx: 118247048 | IP Addr: 10.149.233.159 | Public IP: 124.123.167.227 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:09:09 IST Mon Jun 22 2020 | Duration: 7h:51m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 255283476 | Bytes Rx: 118247048 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165166 | Audit Session ID: 0a95072a2852e0005eeffdad | Security Group Tag: none | EasyVPN: 0 |Session ID: 165166 | Audit Session ID: 0a95072a2852e0005eeffdad | Security Group Tag: none | EasyVPN: 0 ||
Username: sasif | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.154 | Public IP: 106.210.215.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:33 IST Mon Jun 22 2020 | Duration: 7h:11m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 357669643 | Bytes Rx: 182982855 | IP Addr: 10.149.233.154 | Public IP: 106.210.215.247 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:48:33 IST Mon Jun 22 2020 | Duration: 7h:11m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 357669643 | Bytes Rx: 182982855 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165171 | Audit Session ID: 0a95072a285330005ef006e9 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165171 | Audit Session ID: 0a95072a285330005ef006e9 | Security Group Tag: none | EasyVPN: 0 ||
Username: Kragotha | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.155 | Public IP: 157.46.20.48 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:00 IST Mon Jun 22 2020 | Duration: 7h:11m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1194513983 | Bytes Rx: 278074901 | IP Addr: 10.149.233.155 | Public IP: 157.46.20.48 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:49:00 IST Mon Jun 22 2020 | Duration: 7h:11m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 1194513983 | Bytes Rx: 278074901 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165174 | Audit Session ID: 0a95072a285360005ef00704 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165174 | Audit Session ID: 0a95072a285360005ef00704 | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.160 | Public IP: 49.35.85.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:39 IST Mon Jun 22 2020 | Duration: 7h:07m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 188628922 | Bytes Rx: 79338287 | IP Addr: 10.149.233.160 | Public IP: 49.35.85.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:39 IST Mon Jun 22 2020 | Duration: 7h:07m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 188628922 | Bytes Rx: 79338287 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165179 | Audit Session ID: 0a95072a2853b0005ef007df | Security Group Tag: none | EasyVPN: 0 |Session ID: 165179 | Audit Session ID: 0a95072a2853b0005ef007df | Security Group Tag: none | EasyVPN: 0 ||
Username: pbhot | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.161 | Public IP: 106.200.106.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:28 IST Mon Jun 22 2020 | Duration: 7h:05m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 511260570 | Bytes Rx: 300146800 | IP Addr: 10.149.233.161 | Public IP: 106.200.106.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:28 IST Mon Jun 22 2020 | Duration: 7h:05m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 511260570 | Bytes Rx: 300146800 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165181 | Audit Session ID: 0a95072a2853d0005ef0084c | Security Group Tag: none | EasyVPN: 0 |Session ID: 165181 | Audit Session ID: 0a95072a2853d0005ef0084c | Security Group Tag: none | EasyVPN: 0 ||
Username: SJShinde | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.162 | Public IP: 103.139.242.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:54 IST Mon Jun 22 2020 | Duration: 7h:05m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2507111896 | Bytes Rx: 214763004 | IP Addr: 10.149.233.162 | Public IP: 103.139.242.250 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:54:54 IST Mon Jun 22 2020 | Duration: 7h:05m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2507111896 | Bytes Rx: 214763004 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165184 | Audit Session ID: 0a95072a285400005ef00866 | Security Group Tag: none | EasyVPN: 0 |Session ID: 165184 | Audit Session ID: 0a95072a285400005ef00866 | Security Group Tag: none | EasyVPN: 0 ||
Username: bhdesai | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.164 | Public IP: 49.35.196.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:48 IST Mon Jun 22 2020 | Duration: 7h:04m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1258156142 | Bytes Rx: 196289803 | IP Addr: 10.149.233.164 | Public IP: 49.35.196.102 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:48 IST Mon Jun 22 2020 | Duration: 7h:04m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 1258156142 | Bytes Rx: 196289803 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165185 | Audit Session ID: 0a95072a285410005ef0089c | Security Group Tag: none | EasyVPN: 0 |Session ID: 165185 | Audit Session ID: 0a95072a285410005ef0089c | Security Group Tag: none | EasyVPN: 0 ||
Username: bhanchau | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.167 | Public IP: 106.193.100.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:52 IST Mon Jun 22 2020 | Duration: 7h:03m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 315695939 | Bytes Rx: 141113274 | IP Addr: 10.149.233.167 | Public IP: 106.193.100.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:56:52 IST Mon Jun 22 2020 | Duration: 7h:03m:24s | Inactivity:  0h:00m:00s | Bytes Tx: 315695939 | Bytes Rx: 141113274 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165187 | Audit Session ID: 0a95072a285430005ef008dc | Security Group Tag: none | EasyVPN: 0 |Session ID: 165187 | Audit Session ID: 0a95072a285430005ef008dc | Security Group Tag: none | EasyVPN: 0 ||
Username: kumarpan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.169 | Public IP: 106.207.4.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:54 IST Mon Jun 22 2020 | Duration: 7h:02m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 396519007 | Bytes Rx: 113367194 | IP Addr: 10.149.233.169 | Public IP: 106.207.4.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:54 IST Mon Jun 22 2020 | Duration: 7h:02m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 396519007 | Bytes Rx: 113367194 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 165189 | Audit Session ID: 0a95072a285450005ef0091a | Security Group Tag: none | EasyVPN: 0 |Session ID: 165189 | Audit Session ID: 0a95072a285450005ef0091a | Security Group Tag: none | EasyVPN: 0 ||
