sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: srobinso | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.28 | Public IP: 70.48.80.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:01:04 GMT Mon Jul 13 2020 | Duration: 7d 3h:29m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2658936402 | Bytes Rx: 940742652 | IP Addr: 10.144.232.28 | Public IP: 70.48.80.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 01:01:04 GMT Mon Jul 13 2020 | Duration: 7d 3h:29m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 2658936402 | Bytes Rx: 940742652 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 151 | Audit Session ID: 0a90076b000970005f0bb250 | Security Group Tag: none | EasyVPN: 0 |Session ID: 151 | Audit Session ID: 0a90076b000970005f0bb250 | Security Group Tag: none | EasyVPN: 0 ||
Username: tmo | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.61 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:29:08 GMT Mon Jul 13 2020 | Duration: 6d 22h:01m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 2198405061 | Bytes Rx: 681732086 | IP Addr: 10.144.232.61 | Public IP: 59.152.199.171 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:29:08 GMT Mon Jul 13 2020 | Duration: 6d 22h:01m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 2198405061 | Bytes Rx: 681732086 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 240 | Audit Session ID: 0a90076b000f00005f0bff34 | Security Group Tag: none | EasyVPN: 0 |Session ID: 240 | Audit Session ID: 0a90076b000f00005f0bff34 | Security Group Tag: none | EasyVPN: 0 ||
Username: r.garcia | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.33 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:25:49 GMT Mon Jul 13 2020 | Duration: 6d 21h:04m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 5700699766 | Bytes Rx: 2001358345 | IP Addr: 10.144.230.33 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 07:25:49 GMT Mon Jul 13 2020 | Duration: 6d 21h:04m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 5700699766 | Bytes Rx: 2001358345 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 251 | Audit Session ID: 0a90076b000fb0005f0c0c7d | Security Group Tag: none | EasyVPN: 0 |Session ID: 251 | Audit Session ID: 0a90076b000fb0005f0c0c7d | Security Group Tag: none | EasyVPN: 0 ||
Username: dvinnako | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.43 | Public IP: 108.51.146.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:27:18 GMT Mon Jul 13 2020 | Duration: 6d 16h:02m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 10495259498 | Bytes Rx: 1663155826 | IP Addr: 10.144.232.43 | Public IP: 108.51.146.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 12:27:18 GMT Mon Jul 13 2020 | Duration: 6d 16h:02m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 10495259498 | Bytes Rx: 1663155826 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 365 | Audit Session ID: 0a90076b0016d0005f0c5326 | Security Group Tag: none | EasyVPN: 0 |Session ID: 365 | Audit Session ID: 0a90076b0016d0005f0c5326 | Security Group Tag: none | EasyVPN: 0 ||
Username: l.benson | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.81 | Public IP: 101.99.197.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:01:21 GMT Tue Jul 14 2020 | Duration: 6d 4h:28m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 1567351376 | Bytes Rx: 569143224 | IP Addr: 10.144.232.81 | Public IP: 101.99.197.194 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 00:01:21 GMT Tue Jul 14 2020 | Duration: 6d 4h:28m:49s | Inactivity:  0h:00m:00s | Bytes Tx: 1567351376 | Bytes Rx: 569143224 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 583 | Audit Session ID: 0a90076b002470005f0cf5d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 583 | Audit Session ID: 0a90076b002470005f0cf5d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: nbrowne | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.83 | Public IP: 100.8.185.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:46:02 GMT Tue Jul 14 2020 | Duration: 5d 16h:44m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 3073707356 | Bytes Rx: 881450300 | IP Addr: 10.144.232.83 | Public IP: 100.8.185.49 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 11:46:02 GMT Tue Jul 14 2020 | Duration: 5d 16h:44m:08s | Inactivity:  0h:00m:00s | Bytes Tx: 3073707356 | Bytes Rx: 881450300 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 790 | Audit Session ID: 0a90076b003160005f0d9afa | Security Group Tag: none | EasyVPN: 0 |Session ID: 790 | Audit Session ID: 0a90076b003160005f0d9afa | Security Group Tag: none | EasyVPN: 0 ||
Username: Dgarcia | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.35 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 09:40:13 GMT Wed Jul 15 2020 | Duration: 4d 18h:49m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2623475213 | Bytes Rx: 1192107088 | IP Addr: 10.144.230.35 | Public IP: 82.130.143.152 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 09:40:13 GMT Wed Jul 15 2020 | Duration: 4d 18h:49m:57s | Inactivity:  0h:00m:00s | Bytes Tx: 2623475213 | Bytes Rx: 1192107088 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1139 | Audit Session ID: 0a90076b004730005f0ecefd | Security Group Tag: none | EasyVPN: 0 |Session ID: 1139 | Audit Session ID: 0a90076b004730005f0ecefd | Security Group Tag: none | EasyVPN: 0 ||
Username: rmandava | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.12 | Public IP: 73.198.47.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 10:46:16 GMT Wed Jul 15 2020 | Duration: 4d 17h:43m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 10900007722 | Bytes Rx: 4515961451 | IP Addr: 10.144.232.12 | Public IP: 73.198.47.89 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 10:46:16 GMT Wed Jul 15 2020 | Duration: 4d 17h:43m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 10900007722 | Bytes Rx: 4515961451 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1165 | Audit Session ID: 0a90076b0048d0005f0ede78 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1165 | Audit Session ID: 0a90076b0048d0005f0ede78 | Security Group Tag: none | EasyVPN: 0 ||
Username: t.vanorden | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.133 | Public IP: 24.191.99.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:06:38 GMT Wed Jul 15 2020 | Duration: 4d 14h:23m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 24909989393 | Bytes Rx: 2287099812 | IP Addr: 10.144.232.133 | Public IP: 24.191.99.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 14:06:38 GMT Wed Jul 15 2020 | Duration: 4d 14h:23m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 24909989393 | Bytes Rx: 2287099812 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1267 | Audit Session ID: 0a90076b004f30005f0f0d6e | Security Group Tag: none | EasyVPN: 0 |Session ID: 1267 | Audit Session ID: 0a90076b004f30005f0f0d6e | Security Group Tag: none | EasyVPN: 0 ||
Username: j.remishofski | Group: TCL_US_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.144.232.14 | Public IP: 69.126.26.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 20:51:34 GMT Wed Jul 15 2020 | Duration: 4d 7h:38m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1865250131 | Bytes Rx: 612838337 | IP Addr: 10.144.232.14 | Public IP: 69.126.26.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 20:51:34 GMT Wed Jul 15 2020 | Duration: 4d 7h:38m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 1865250131 | Bytes Rx: 612838337 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1355 | Audit Session ID: 0a90076b0054b0005f0f6c56 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1355 | Audit Session ID: 0a90076b0054b0005f0f6c56 | Security Group Tag: none | EasyVPN: 0 ||
Username: p.wilkinson | Group: TCL_US_OPS_Zone_Grp | Tunnel Group: TCL_OPS_Zone | IP Addr: 10.144.230.85 | Public IP: 86.148.214.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:18:59 GMT Thu Jul 16 2020 | Duration: 3d 22h:11m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1836661640 | Bytes Rx: 660381615 | IP Addr: 10.144.230.85 | Public IP: 86.148.214.78 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Essentials | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES256 | Login Time: 06:18:59 GMT Thu Jul 16 2020 | Duration: 3d 22h:11m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 1836661640 | Bytes Rx: 660381615 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 1450 | Audit Session ID: 0a90076b005aa0005f0ff153 | Security Group Tag: none | EasyVPN: 0 |Session ID: 1450 | Audit Session ID: 0a90076b005aa0005f0ff153 | Security Group Tag: none | EasyVPN: 0 ||
