sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 4d 14h:42m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 10185142440 | Bytes Rx: 1804885165 | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 4d 14h:42m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 10185142440 | Bytes Rx: 1804885165 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 ||
Username: gsomalal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 2h:49m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 2621823603 | Bytes Rx: 513021191 | IP Addr: 10.149.234.181 | Public IP: 49.207.138.56 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:42:28 IST Wed Jun 24 2020 | Duration: 2d 2h:49m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 2621823603 | Bytes Rx: 513021191 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 |Session ID: 189086 | Audit Session ID: 0a95072b2e29e0005ef2e0bc | Security Group Tag: none | EasyVPN: 0 ||
Username: vasukris | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 1d 1h:45m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 633357173 | Bytes Rx: 193887283 | IP Addr: 10.149.234.217 | Public IP: 49.37.198.39 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 11:46:25 IST Thu Jun 25 2020 | Duration: 1d 1h:45m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 633357173 | Bytes Rx: 193887283 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 |Session ID: 191744 | Audit Session ID: 0a95072b2ed000005ef44139 | Security Group Tag: none | EasyVPN: 0 ||
Username: Navselva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.216 | Public IP: 27.7.71.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 9h:33m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 733667002 | Bytes Rx: 298674658 | IP Addr: 10.149.234.216 | Public IP: 27.7.71.45 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 03:58:20 IST Fri Jun 26 2020 | Duration: 9h:33m:51s | Inactivity:  0h:00m:00s | Bytes Tx: 733667002 | Bytes Rx: 298674658 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193406 | Audit Session ID: 0a95072b2f37e0005ef52504 | Security Group Tag: none | EasyVPN: 0 ||
Username: mraaj | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.148 | Public IP: 115.97.71.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 8h:25m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 962042342 | Bytes Rx: 203545677 | IP Addr: 10.149.234.148 | Public IP: 115.97.71.5 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:06:18 IST Fri Jun 26 2020 | Duration: 8h:25m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 962042342 | Bytes Rx: 203545677 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193414 | Audit Session ID: 0a95072b2f3860005ef534f2 | Security Group Tag: none | EasyVPN: 0 ||
Username: kumarpan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 8h:10m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 293284966 | Bytes Rx: 54847450 | IP Addr: 10.149.234.33 | Public IP: 106.207.14.136 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:21:29 IST Fri Jun 26 2020 | Duration: 8h:10m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 293284966 | Bytes Rx: 54847450 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193417 | Audit Session ID: 0a95072b2f3890005ef53881 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrajakum | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 7h:47m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2019081835 | Bytes Rx: 291666695 | IP Addr: 10.149.235.17 | Public IP: 106.198.92.55 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:44:36 IST Fri Jun 26 2020 | Duration: 7h:47m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 2019081835 | Bytes Rx: 291666695 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 |Session ID: 193420 | Audit Session ID: 0a95072b2f38c0005ef53dec | Security Group Tag: none | EasyVPN: 0 ||
Username: MJagenat | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.131 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:29 IST Fri Jun 26 2020 | Duration: 7h:20m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 99805712 | Bytes Rx: 23219915 | IP Addr: 10.149.235.131 | Public IP: 122.164.81.24 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:11:29 IST Fri Jun 26 2020 | Duration: 7h:20m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 99805712 | Bytes Rx: 23219915 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193427 | Audit Session ID: 0a95072b2f3930005ef54439 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193427 | Audit Session ID: 0a95072b2f3930005ef54439 | Security Group Tag: none | EasyVPN: 0 ||
Username: akashjh | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 6h:51m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 256304255 | Bytes Rx: 136897503 | IP Addr: 10.149.235.15 | Public IP: 157.45.247.198 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:34 IST Fri Jun 26 2020 | Duration: 6h:51m:37s | Inactivity:  0h:00m:00s | Bytes Tx: 256304255 | Bytes Rx: 136897503 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 |Session ID: 193428 | Audit Session ID: 0a95072b2f3940005ef54b0a | Security Group Tag: none | EasyVPN: 0 ||
Username: SRaktate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.19 | Public IP: 223.178.149.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Fri Jun 26 2020 | Duration: 6h:39m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 876863416 | Bytes Rx: 203096189 | IP Addr: 10.149.235.19 | Public IP: 223.178.149.141 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:15 IST Fri Jun 26 2020 | Duration: 6h:39m:56s | Inactivity:  0h:00m:00s | Bytes Tx: 876863416 | Bytes Rx: 203096189 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193430 | Audit Session ID: 0a95072b2f3960005ef54dc7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 193430 | Audit Session ID: 0a95072b2f3960005ef54dc7 | Security Group Tag: none | EasyVPN: 0 ||
Username: Atapkire | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.20 | Public IP: 49.35.209.209 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:23 IST Fri Jun 26 2020 | Duration: 6h:39m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 1599902370 | Bytes Rx: 260108279 | IP Addr: 10.149.235.20 | Public IP: 49.35.209.209 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 06:52:23 IST Fri Jun 26 2020 | Duration: 6h:39m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 1599902370 | Bytes Rx: 260108279 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 193431 | Audit Session ID: 0a95072b2f3970005ef54dcf | Security Group Tag: none | EasyVPN: 0 |Session ID: 193431 | Audit Session ID: 0a95072b2f3970005ef54dcf | Security Group Tag: none | EasyVPN: 0 ||
