sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 2d 2h:04m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 5234517515 | Bytes Rx: 610764690 | IP Addr: 10.149.232.199 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:56:08 IST Tue Jun 16 2020 | Duration: 2d 2h:04m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 5234517515 | Bytes Rx: 610764690 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 |Session ID: 153997 | Audit Session ID: 0a95072a2598d0005ee82dc0 | Security Group Tag: none | EasyVPN: 0 ||
Username: mrutpabb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.222 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:10:26 IST Tue Jun 16 2020 | Duration: 1d 23h:49m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 3431528114 | Bytes Rx: 1762017722 | IP Addr: 10.149.233.222 | Public IP: 49.37.134.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:10:26 IST Tue Jun 16 2020 | Duration: 1d 23h:49m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 3431528114 | Bytes Rx: 1762017722 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 154345 | Audit Session ID: 0a95072a25ae90005ee84d3a | Security Group Tag: none | EasyVPN: 0 |Session ID: 154345 | Audit Session ID: 0a95072a25ae90005ee84d3a | Security Group Tag: none | EasyVPN: 0 ||
Username: jsathyam | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 1d 12h:30m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 25672626301 | Bytes Rx: 1315923292 | IP Addr: 10.149.232.154 | Public IP: 49.37.200.250 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256 | Login Time: 21:29:41 IST Tue Jun 16 2020 | Duration: 1d 12h:30m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 25672626301 | Bytes Rx: 1315923292 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 |Session ID: 156097 | Audit Session ID: 0a95072a261c10005ee8ec6d | Security Group Tag: none | EasyVPN: 0 ||
Username: Vmuthu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.198 | Public IP: 106.201.133.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:54 IST Wed Jun 17 2020 | Duration: 23h:59m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 471817509 | Bytes Rx: 428589111 | IP Addr: 10.149.233.198 | Public IP: 106.201.133.68 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:00:54 IST Wed Jun 17 2020 | Duration: 23h:59m:25s | Inactivity:  0h:00m:00s | Bytes Tx: 471817509 | Bytes Rx: 428589111 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 156498 | Audit Session ID: 0a95072a263520005ee99c7e | Security Group Tag: none | EasyVPN: 0 |Session ID: 156498 | Audit Session ID: 0a95072a263520005ee99c7e | Security Group Tag: none | EasyVPN: 0 ||
Username: anb.rao | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.211 | Public IP: 183.83.226.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:07:10 IST Wed Jun 17 2020 | Duration: 13h:53m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 1755263351 | Bytes Rx: 882428918 | IP Addr: 10.149.233.211 | Public IP: 183.83.226.20 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:07:10 IST Wed Jun 17 2020 | Duration: 13h:53m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 1755263351 | Bytes Rx: 882428918 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158181 | Audit Session ID: 0a95072a269e50005eea2a96 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158181 | Audit Session ID: 0a95072a269e50005eea2a96 | Security Group Tag: none | EasyVPN: 0 ||
Username: Navselva | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.55 | Public IP: 115.97.5.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:13:13 IST Thu Jun 18 2020 | Duration: 4h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 388720937 | Bytes Rx: 134604544 | IP Addr: 10.149.233.55 | Public IP: 115.97.5.226 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:13:13 IST Thu Jun 18 2020 | Duration: 4h:47m:06s | Inactivity:  0h:00m:00s | Bytes Tx: 388720937 | Bytes Rx: 134604544 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158438 | Audit Session ID: 0a95072a26ae60005eeaaa91 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158438 | Audit Session ID: 0a95072a26ae60005eeaaa91 | Security Group Tag: none | EasyVPN: 0 ||
Username: MShiwal | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.57 | Public IP: 49.206.125.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:13:47 IST Thu Jun 18 2020 | Duration: 4h:46m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1915017130 | Bytes Rx: 68224525 | IP Addr: 10.149.233.57 | Public IP: 49.206.125.105 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:13:47 IST Thu Jun 18 2020 | Duration: 4h:46m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1915017130 | Bytes Rx: 68224525 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158439 | Audit Session ID: 0a95072a26ae70005eeaaab3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158439 | Audit Session ID: 0a95072a26ae70005eeaaab3 | Security Group Tag: none | EasyVPN: 0 ||
Username: Rvinoth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.159 | Public IP: 157.46.12.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:31:05 IST Thu Jun 18 2020 | Duration: 4h:29m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 24543434 | Bytes Rx: 13211706 | IP Addr: 10.149.232.159 | Public IP: 157.46.12.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:31:05 IST Thu Jun 18 2020 | Duration: 4h:29m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 24543434 | Bytes Rx: 13211706 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158440 | Audit Session ID: 0a95072a26ae80005eeaaec1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158440 | Audit Session ID: 0a95072a26ae80005eeaaec1 | Security Group Tag: none | EasyVPN: 0 ||
Username: dessures | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.164 | Public IP: 157.44.74.57 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:52:41 IST Thu Jun 18 2020 | Duration: 4h:07m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 134514571 | Bytes Rx: 40600995 | IP Addr: 10.149.232.164 | Public IP: 157.44.74.57 | Protocol: AnyConnect-Parent | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none | Login Time: 05:52:41 IST Thu Jun 18 2020 | Duration: 4h:07m:38s | Inactivity:  0h:00m:00s | Bytes Tx: 134514571 | Bytes Rx: 40600995 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158443 | Audit Session ID: 0a95072a26aeb0005eeab3d1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158443 | Audit Session ID: 0a95072a26aeb0005eeab3d1 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksanap | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.175 | Public IP: 106.210.145.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:51 IST Thu Jun 18 2020 | Duration: 3h:23m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 62078053 | Bytes Rx: 26705746 | IP Addr: 10.149.232.175 | Public IP: 106.210.145.233 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:51 IST Thu Jun 18 2020 | Duration: 3h:23m:28s | Inactivity:  0h:00m:00s | Bytes Tx: 62078053 | Bytes Rx: 26705746 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158457 | Audit Session ID: 0a95072a26af90005eeabe2b | Security Group Tag: none | EasyVPN: 0 |Session ID: 158457 | Audit Session ID: 0a95072a26af90005eeabe2b | Security Group Tag: none | EasyVPN: 0 ||
Username: ssdpawar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.233.115 | Public IP: 157.33.184.160 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:38 IST Thu Jun 18 2020 | Duration: 2h:55m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 640409495 | Bytes Rx: 142474686 | IP Addr: 10.149.233.115 | Public IP: 157.33.184.160 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:04:38 IST Thu Jun 18 2020 | Duration: 2h:55m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 640409495 | Bytes Rx: 142474686 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158462 | Audit Session ID: 0a95072a26afe0005eeac4ae | Security Group Tag: none | EasyVPN: 0 |Session ID: 158462 | Audit Session ID: 0a95072a26afe0005eeac4ae | Security Group Tag: none | EasyVPN: 0 ||
