sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 4d 1h:40m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1920658653 | Bytes Rx: 776453916 | IP Addr: 10.149.234.126 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:50:05 IST Tue Jun 9 2020 | Duration: 4d 1h:40m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 1920658653 | Bytes Rx: 776453916 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 |Session ID: 158216 | Audit Session ID: 0a95072b26a080005edf1c05 | Security Group Tag: none | EasyVPN: 0 ||
Username: satviswa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.78 | Public IP: 157.50.173.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:24 IST Fri Jun 12 2020 | Duration: 1d 5h:32m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 915834874 | Bytes Rx: 436804390 | IP Addr: 10.149.235.78 | Public IP: 157.50.173.82 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:57:24 IST Fri Jun 12 2020 | Duration: 1d 5h:32m:58s | Inactivity:  0h:00m:00s | Bytes Tx: 915834874 | Bytes Rx: 436804390 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 164831 | Audit Session ID: 0a95072b283df0005ee2d9fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 164831 | Audit Session ID: 0a95072b283df0005ee2d9fc | Security Group Tag: none | EasyVPN: 0 ||
Username: arunpran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.242.61 | Public IP: 183.83.152.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:50:11 IST Fri Jun 12 2020 | Duration: 20h:40m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 933208264 | Bytes Rx: 843381848 | IP Addr: 10.149.242.61 | Public IP: 183.83.152.47 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 15:50:11 IST Fri Jun 12 2020 | Duration: 20h:40m:11s | Inactivity:  0h:00m:00s | Bytes Tx: 933208264 | Bytes Rx: 843381848 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 166385 | Audit Session ID: 0a95072b289f10005ee356db | Security Group Tag: none | EasyVPN: 0 |Session ID: 166385 | Audit Session ID: 0a95072b289f10005ee356db | Security Group Tag: none | EasyVPN: 0 ||
Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.250 | Public IP: 27.5.254.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:00:40 IST Fri Jun 12 2020 | Duration: 19h:29m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 468859592 | Bytes Rx: 308222253 | IP Addr: 10.149.235.250 | Public IP: 27.5.254.72 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:00:40 IST Fri Jun 12 2020 | Duration: 19h:29m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 468859592 | Bytes Rx: 308222253 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 166521 | Audit Session ID: 0a95072b28a790005ee36760 | Security Group Tag: none | EasyVPN: 0 |Session ID: 166521 | Audit Session ID: 0a95072b28a790005ee36760 | Security Group Tag: none | EasyVPN: 0 ||
Username: prpandil | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.2 | Public IP: 223.227.31.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:20:47 IST Sat Jun 13 2020 | Duration: 7h:09m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 320193924 | Bytes Rx: 210898934 | IP Addr: 10.149.235.2 | Public IP: 223.227.31.125 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:20:47 IST Sat Jun 13 2020 | Duration: 7h:09m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 320193924 | Bytes Rx: 210898934 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 167071 | Audit Session ID: 0a95072b28c9f0005ee414d7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 167071 | Audit Session ID: 0a95072b28c9f0005ee414d7 | Security Group Tag: none | EasyVPN: 0 ||
Username: jesurjos | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.168 | Public IP: 157.46.5.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:36 IST Sat Jun 13 2020 | Duration: 6h:29m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 98651100 | Bytes Rx: 79905494 | IP Addr: 10.149.235.168 | Public IP: 157.46.5.108 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:36 IST Sat Jun 13 2020 | Duration: 6h:29m:46s | Inactivity:  0h:00m:00s | Bytes Tx: 98651100 | Bytes Rx: 79905494 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 167074 | Audit Session ID: 0a95072b28ca20005ee41e2c | Security Group Tag: none | EasyVPN: 0 |Session ID: 167074 | Audit Session ID: 0a95072b28ca20005ee41e2c | Security Group Tag: none | EasyVPN: 0 ||
Username: uvenkate | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.3 | Public IP: 157.45.180.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:28 IST Sat Jun 13 2020 | Duration: 5h:53m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 984516988 | Bytes Rx: 98826504 | IP Addr: 10.149.235.3 | Public IP: 157.45.180.146 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:28 IST Sat Jun 13 2020 | Duration: 5h:53m:54s | Inactivity:  0h:00m:00s | Bytes Tx: 984516988 | Bytes Rx: 98826504 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 167088 | Audit Session ID: 0a95072b28cb00005ee42694 | Security Group Tag: none | EasyVPN: 0 |Session ID: 167088 | Audit Session ID: 0a95072b28cb00005ee42694 | Security Group Tag: none | EasyVPN: 0 ||
Username: draju | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.8 | Public IP: 157.50.195.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:00 IST Sat Jun 13 2020 | Duration: 5h:50m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 58031066 | Bytes Rx: 25831771 | IP Addr: 10.149.235.8 | Public IP: 157.50.195.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:00 IST Sat Jun 13 2020 | Duration: 5h:50m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 58031066 | Bytes Rx: 25831771 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 167093 | Audit Session ID: 0a95072b28cb50005ee42768 | Security Group Tag: none | EasyVPN: 0 |Session ID: 167093 | Audit Session ID: 0a95072b28cb50005ee42768 | Security Group Tag: none | EasyVPN: 0 ||
Username: garumuga | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.6 | Public IP: 27.7.73.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:10 IST Sat Jun 13 2020 | Duration: 5h:50m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 830028248 | Bytes Rx: 193705551 | IP Addr: 10.149.235.6 | Public IP: 27.7.73.182 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:40:10 IST Sat Jun 13 2020 | Duration: 5h:50m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 830028248 | Bytes Rx: 193705551 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 167094 | Audit Session ID: 0a95072b28cb60005ee42772 | Security Group Tag: none | EasyVPN: 0 |Session ID: 167094 | Audit Session ID: 0a95072b28cb60005ee42772 | Security Group Tag: none | EasyVPN: 0 ||
Username: SJShinde | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.159 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:00 IST Sat Jun 13 2020 | Duration: 5h:39m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2382843433 | Bytes Rx: 176709356 | IP Addr: 10.149.234.159 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:00 IST Sat Jun 13 2020 | Duration: 5h:39m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 2382843433 | Bytes Rx: 176709356 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 167097 | Audit Session ID: 0a95072b28cb90005ee429fc | Security Group Tag: none | EasyVPN: 0 |Session ID: 167097 | Audit Session ID: 0a95072b28cb90005ee429fc | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.160 | Public IP: 157.33.218.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:34 IST Sat Jun 13 2020 | Duration: 5h:38m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 178935069 | Bytes Rx: 69424803 | IP Addr: 10.149.234.160 | Public IP: 157.33.218.143 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:34 IST Sat Jun 13 2020 | Duration: 5h:38m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 178935069 | Bytes Rx: 69424803 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 167098 | Audit Session ID: 0a95072b28cba0005ee42a1e | Security Group Tag: none | EasyVPN: 0 |Session ID: 167098 | Audit Session ID: 0a95072b28cba0005ee42a1e | Security Group Tag: none | EasyVPN: 0 ||
