sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: ganemuth | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.200 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:14:50 IST Sat Jul 18 2020 | Duration: 1d 15h:45m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 43127526 | Bytes Rx: 26805670 | IP Addr: 10.149.232.200 | Public IP: 14.140.224.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:14:50 IST Sat Jul 18 2020 | Duration: 1d 15h:45m:17s | Inactivity:  0h:00m:00s | Bytes Tx: 43127526 | Bytes Rx: 26805670 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 13968 | Audit Session ID: 0a95072a036900005f12eec2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 13968 | Audit Session ID: 0a95072a036900005f12eec2 | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 14h:40m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 419628020 | Bytes Rx: 149683699 | IP Addr: 10.149.232.177 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:20:05 IST Sun Jul 19 2020 | Duration: 14h:40m:02s | Inactivity:  0h:00m:00s | Bytes Tx: 419628020 | Bytes Rx: 149683699 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 |Session ID: 14888 | Audit Session ID: 0a95072a03a280005f144f8d | Security Group Tag: none | EasyVPN: 0 ||
Username: Vmuthu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.201 | Public IP: 122.164.254.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:42:49 IST Sun Jul 19 2020 | Duration: 14h:17m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 177445990 | Bytes Rx: 279074576 | IP Addr: 10.149.232.201 | Public IP: 122.164.254.222 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:42:49 IST Sun Jul 19 2020 | Duration: 14h:17m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 177445990 | Bytes Rx: 279074576 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 14913 | Audit Session ID: 0a95072a03a410005f1454e1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 14913 | Audit Session ID: 0a95072a03a410005f1454e1 | Security Group Tag: none | EasyVPN: 0 ||
Username: chrisang | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.27 | Public IP: 115.97.54.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:44:35 IST Mon Jul 20 2020 | Duration: 8h:15m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1947745590 | Bytes Rx: 73283536 | IP Addr: 10.149.233.27 | Public IP: 115.97.54.116 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 01:44:35 IST Mon Jul 20 2020 | Duration: 8h:15m:32s | Inactivity:  0h:00m:00s | Bytes Tx: 1947745590 | Bytes Rx: 73283536 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15146 | Audit Session ID: 0a95072a03b2a0005f14a9ab | Security Group Tag: none | EasyVPN: 0 |Session ID: 15146 | Audit Session ID: 0a95072a03b2a0005f14a9ab | Security Group Tag: none | EasyVPN: 0 ||
Username: vvaiyapu | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.193 | Public IP: 115.99.9.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:40:53 IST Mon Jul 20 2020 | Duration: 4h:19m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 253632299 | Bytes Rx: 241749187 | IP Addr: 10.149.232.193 | Public IP: 115.99.9.2 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:40:53 IST Mon Jul 20 2020 | Duration: 4h:19m:14s | Inactivity:  0h:00m:00s | Bytes Tx: 253632299 | Bytes Rx: 241749187 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15153 | Audit Session ID: 0a95072a03b310005f14e10d | Security Group Tag: none | EasyVPN: 0 |Session ID: 15153 | Audit Session ID: 0a95072a03b310005f14e10d | Security Group Tag: none | EasyVPN: 0 ||
Username: nkumaran | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.195 | Public IP: 157.46.3.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:46:14 IST Mon Jul 20 2020 | Duration: 4h:13m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 60059928 | Bytes Rx: 33154835 | IP Addr: 10.149.232.195 | Public IP: 157.46.3.200 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:46:14 IST Mon Jul 20 2020 | Duration: 4h:13m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 60059928 | Bytes Rx: 33154835 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15154 | Audit Session ID: 0a95072a03b320005f14e24e | Security Group Tag: none | EasyVPN: 0 |Session ID: 15154 | Audit Session ID: 0a95072a03b320005f14e24e | Security Group Tag: none | EasyVPN: 0 ||
Username: gdhanapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.196 | Public IP: 116.88.69.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:31 IST Mon Jul 20 2020 | Duration: 4h:01m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 378227382 | Bytes Rx: 67946461 | IP Addr: 10.149.232.196 | Public IP: 116.88.69.19 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:58:31 IST Mon Jul 20 2020 | Duration: 4h:01m:36s | Inactivity:  0h:00m:00s | Bytes Tx: 378227382 | Bytes Rx: 67946461 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15156 | Audit Session ID: 0a95072a03b340005f14e52f | Security Group Tag: none | EasyVPN: 0 |Session ID: 15156 | Audit Session ID: 0a95072a03b340005f14e52f | Security Group Tag: none | EasyVPN: 0 ||
Username: rsundarr | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.197 | Public IP: 106.208.19.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:02 IST Mon Jul 20 2020 | Duration: 3h:52m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 92805266 | Bytes Rx: 54924773 | IP Addr: 10.149.232.197 | Public IP: 106.208.19.22 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:02 IST Mon Jul 20 2020 | Duration: 3h:52m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 92805266 | Bytes Rx: 54924773 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15158 | Audit Session ID: 0a95072a03b360005f14e76a | Security Group Tag: none | EasyVPN: 0 |Session ID: 15158 | Audit Session ID: 0a95072a03b360005f14e76a | Security Group Tag: none | EasyVPN: 0 ||
Username: laksnara | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.117 | Public IP: 157.50.53.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:14 IST Mon Jul 20 2020 | Duration: 3h:51m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 91193753 | Bytes Rx: 31810514 | IP Addr: 10.149.232.117 | Public IP: 157.50.53.52 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:08:14 IST Mon Jul 20 2020 | Duration: 3h:51m:53s | Inactivity:  0h:00m:00s | Bytes Tx: 91193753 | Bytes Rx: 31810514 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15159 | Audit Session ID: 0a95072a03b370005f14e776 | Security Group Tag: none | EasyVPN: 0 |Session ID: 15159 | Audit Session ID: 0a95072a03b370005f14e776 | Security Group Tag: none | EasyVPN: 0 ||
Username: lvajja | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.122 | Public IP: 160.238.74.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:23:19 IST Mon Jul 20 2020 | Duration: 3h:36m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 287715028 | Bytes Rx: 89692899 | IP Addr: 10.149.232.122 | Public IP: 160.238.74.4 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:23:19 IST Mon Jul 20 2020 | Duration: 3h:36m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 287715028 | Bytes Rx: 89692899 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15164 | Audit Session ID: 0a95072a03b3c0005f14eaff | Security Group Tag: none | EasyVPN: 0 |Session ID: 15164 | Audit Session ID: 0a95072a03b3c0005f14eaff | Security Group Tag: none | EasyVPN: 0 ||
Username: goprasad | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.123 | Public IP: 157.48.57.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:24:04 IST Mon Jul 20 2020 | Duration: 3h:36m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 146225122 | Bytes Rx: 34248818 | IP Addr: 10.149.232.123 | Public IP: 157.48.57.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:24:04 IST Mon Jul 20 2020 | Duration: 3h:36m:03s | Inactivity:  0h:00m:00s | Bytes Tx: 146225122 | Bytes Rx: 34248818 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 15165 | Audit Session ID: 0a95072a03b3d0005f14eb2c | Security Group Tag: none | EasyVPN: 0 |Session ID: 15165 | Audit Session ID: 0a95072a03b3d0005f14eb2c | Security Group Tag: none | EasyVPN: 0 ||
