sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: rsingams | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 2d 23h:26m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 227104710 | Bytes Rx: 245499852 | IP Addr: 10.149.234.173 | Public IP: 192.140.152.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:34:05 IST Fri Jun 19 2020 | Duration: 2d 23h:26m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 227104710 | Bytes Rx: 245499852 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 180942 | Audit Session ID: 0a95072b2c2ce0005eecb7c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: waitham | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 19h:11m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 678879343 | Bytes Rx: 222097485 | IP Addr: 10.149.235.43 | Public IP: 180.129.45.14 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:49:17 IST Sun Jun 21 2020 | Duration: 19h:11m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 678879343 | Bytes Rx: 222097485 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183233 | Audit Session ID: 0a95072b2cbc10005eef9695 | Security Group Tag: none | EasyVPN: 0 ||
Username: noorullah.n | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.177 | Public IP: 157.50.155.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:25 IST Mon Jun 22 2020 | Duration: 12h:00m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 839665479 | Bytes Rx: 146993354 | IP Addr: 10.149.235.177 | Public IP: 157.50.155.197 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:00:25 IST Mon Jun 22 2020 | Duration: 12h:00m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 839665479 | Bytes Rx: 146993354 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183309 | Audit Session ID: 0a95072b2cc0d0005eeffba1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183309 | Audit Session ID: 0a95072b2cc0d0005eeffba1 | Security Group Tag: none | EasyVPN: 0 ||
Username: MBagwan | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.106 | Public IP: 103.195.83.123 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:55 IST Mon Jun 22 2020 | Duration: 11h:20m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 2039451072 | Bytes Rx: 499485894 | IP Addr: 10.149.235.106 | Public IP: 103.195.83.123 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 06:39:55 IST Mon Jun 22 2020 | Duration: 11h:20m:31s | Inactivity:  0h:00m:00s | Bytes Tx: 2039451072 | Bytes Rx: 499485894 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183330 | Audit Session ID: 0a95072b2cc220005ef004e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183330 | Audit Session ID: 0a95072b2cc220005ef004e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: vsrikar | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.164 | Public IP: 103.224.158.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:19 IST Mon Jun 22 2020 | Duration: 10h:51m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 323364881 | Bytes Rx: 125919027 | IP Addr: 10.149.235.164 | Public IP: 103.224.158.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:09:19 IST Mon Jun 22 2020 | Duration: 10h:51m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 323364881 | Bytes Rx: 125919027 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183341 | Audit Session ID: 0a95072b2cc2d0005ef00bc7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183341 | Audit Session ID: 0a95072b2cc2d0005ef00bc7 | Security Group Tag: none | EasyVPN: 0 ||
Username: saravana.d | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.222 | Public IP: 157.50.211.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:11 IST Mon Jun 22 2020 | Duration: 10h:44m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 414534025 | Bytes Rx: 146612655 | IP Addr: 10.149.235.222 | Public IP: 157.50.211.137 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:16:11 IST Mon Jun 22 2020 | Duration: 10h:44m:15s | Inactivity:  0h:00m:00s | Bytes Tx: 414534025 | Bytes Rx: 146612655 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183354 | Audit Session ID: 0a95072b2cc3a0005ef00d63 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183354 | Audit Session ID: 0a95072b2cc3a0005ef00d63 | Security Group Tag: none | EasyVPN: 0 ||
Username: shivakrs | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.235.212 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:41:41 IST Mon Jun 22 2020 | Duration: 10h:18m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 6013020718 | Bytes Rx: 387672612 | IP Addr: 10.149.235.212 | Public IP: 103.41.90.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:41:41 IST Mon Jun 22 2020 | Duration: 10h:18m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 6013020718 | Bytes Rx: 387672612 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183383 | Audit Session ID: 0a95072b2cc570005ef0135d | Security Group Tag: none | EasyVPN: 0 |Session ID: 183383 | Audit Session ID: 0a95072b2cc570005ef0135d | Security Group Tag: none | EasyVPN: 0 ||
Username: muumarji | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.231 | Public IP: 223.237.144.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:46 IST Mon Jun 22 2020 | Duration: 10h:12m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 420316465 | Bytes Rx: 294477281 | IP Addr: 10.149.235.231 | Public IP: 223.237.144.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:47:46 IST Mon Jun 22 2020 | Duration: 10h:12m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 420316465 | Bytes Rx: 294477281 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183387 | Audit Session ID: 0a95072b2cc5b0005ef014ca | Security Group Tag: none | EasyVPN: 0 |Session ID: 183387 | Audit Session ID: 0a95072b2cc5b0005ef014ca | Security Group Tag: none | EasyVPN: 0 ||
Username: athomas | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.240 | Public IP: 115.97.238.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:48:51 IST Mon Jun 22 2020 | Duration: 10h:11m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1016643346 | Bytes Rx: 254262214 | IP Addr: 10.149.235.240 | Public IP: 115.97.238.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:48:51 IST Mon Jun 22 2020 | Duration: 10h:11m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 1016643346 | Bytes Rx: 254262214 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183389 | Audit Session ID: 0a95072b2cc5d0005ef0150b | Security Group Tag: none | EasyVPN: 0 |Session ID: 183389 | Audit Session ID: 0a95072b2cc5d0005ef0150b | Security Group Tag: none | EasyVPN: 0 ||
Username: sangnair | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.42 | Public IP: 117.96.192.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:46 IST Mon Jun 22 2020 | Duration: 10h:07m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 1076620292 | Bytes Rx: 430892330 | IP Addr: 10.149.235.42 | Public IP: 117.96.192.54 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:52:46 IST Mon Jun 22 2020 | Duration: 10h:07m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 1076620292 | Bytes Rx: 430892330 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183391 | Audit Session ID: 0a95072b2cc5f0005ef015f6 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183391 | Audit Session ID: 0a95072b2cc5f0005ef015f6 | Security Group Tag: none | EasyVPN: 0 ||
Username: ppai | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.235.160 | Public IP: 49.37.198.110 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:59 IST Mon Jun 22 2020 | Duration: 9h:56m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 1007717567 | Bytes Rx: 1072814041 | IP Addr: 10.149.235.160 | Public IP: 49.37.198.110 | Protocol: AnyConnect-Parent SSL-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES-GCM-256 | Login Time: 08:03:59 IST Mon Jun 22 2020 | Duration: 9h:56m:27s | Inactivity:  0h:00m:00s | Bytes Tx: 1007717567 | Bytes Rx: 1072814041 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 183396 | Audit Session ID: 0a95072b2cc640005ef01897 | Security Group Tag: none | EasyVPN: 0 |Session ID: 183396 | Audit Session ID: 0a95072b2cc640005ef01897 | Security Group Tag: none | EasyVPN: 0 ||
