sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.58 | Public IP: 182.57.169.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 2d 19h:47m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 6258468396 | Bytes Rx: 1342803008 | IP Addr: 10.150.237.58 | Public IP: 182.57.169.147 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 22:14:44 IST Tue Jun 23 2020 | Duration: 2d 19h:47m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 6258468396 | Bytes Rx: 1342803008 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 |Session ID: 54783 | Audit Session ID: 0a96cf690d5ff0005ef2317c | Security Group Tag: none | EasyVPN: 0 ||
Username: NShikhar | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.237.46 | Public IP: 103.110.253.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:44 IST Thu Jun 25 2020 | Duration: 1d 11h:00m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 3346825788 | Bytes Rx: 463395393 | IP Addr: 10.150.237.46 | Public IP: 103.110.253.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:01:44 IST Thu Jun 25 2020 | Duration: 1d 11h:00m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 3346825788 | Bytes Rx: 463395393 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 59072 | Audit Session ID: 0a96cf690e6c00005ef3fe80 | Security Group Tag: none | EasyVPN: 0 |Session ID: 59072 | Audit Session ID: 0a96cf690e6c00005ef3fe80 | Security Group Tag: none | EasyVPN: 0 ||
Username: AksNapte | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.33 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:12:46 IST Thu Jun 25 2020 | Duration: 1d 6h:49m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 281909616 | Bytes Rx: 102831544 | IP Addr: 10.150.237.33 | Public IP: 103.127.164.30 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:12:46 IST Thu Jun 25 2020 | Duration: 1d 6h:49m:50s | Inactivity:  0h:00m:00s | Bytes Tx: 281909616 | Bytes Rx: 102831544 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 60197 | Audit Session ID: 0a96cf690eb250005ef43956 | Security Group Tag: none | EasyVPN: 0 |Session ID: 60197 | Audit Session ID: 0a96cf690eb250005ef43956 | Security Group Tag: none | EasyVPN: 0 ||
Username: danand | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 23h:13m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 580343688 | Bytes Rx: 543389456 | IP Addr: 10.150.236.212 | Public IP: 182.68.124.73 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 18:48:44 IST Thu Jun 25 2020 | Duration: 23h:13m:52s | Inactivity:  0h:00m:00s | Bytes Tx: 580343688 | Bytes Rx: 543389456 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62090 | Audit Session ID: 0a96cf690f28a0005ef4a434 | Security Group Tag: none | EasyVPN: 0 ||
Username: sipandit | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.180 | Public IP: 103.252.52.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:51:26 IST Fri Jun 26 2020 | Duration: 13h:11m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 672264728 | Bytes Rx: 800819344 | IP Addr: 10.150.237.180 | Public IP: 103.252.52.23 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 04:51:26 IST Fri Jun 26 2020 | Duration: 13h:11m:10s | Inactivity:  0h:00m:00s | Bytes Tx: 672264728 | Bytes Rx: 800819344 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 62928 | Audit Session ID: 0a96cf690f5d00005ef53176 | Security Group Tag: none | EasyVPN: 0 |Session ID: 62928 | Audit Session ID: 0a96cf690f5d00005ef53176 | Security Group Tag: none | EasyVPN: 0 ||
Username: MuruKupp | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.200 | Public IP: 117.222.169.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:15 IST Fri Jun 26 2020 | Duration: 11h:26m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 579586027 | Bytes Rx: 257658513 | IP Addr: 10.150.237.200 | Public IP: 117.222.169.114 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:36:15 IST Fri Jun 26 2020 | Duration: 11h:26m:21s | Inactivity:  0h:00m:00s | Bytes Tx: 579586027 | Bytes Rx: 257658513 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63010 | Audit Session ID: 0a96cf690f6220005ef54a07 | Security Group Tag: none | EasyVPN: 0 |Session ID: 63010 | Audit Session ID: 0a96cf690f6220005ef54a07 | Security Group Tag: none | EasyVPN: 0 ||
Username: apayadav | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.202 | Public IP: 103.141.116.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:03 IST Fri Jun 26 2020 | Duration: 11h:24m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 739627014 | Bytes Rx: 277806704 | IP Addr: 10.150.237.202 | Public IP: 103.141.116.103 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:03 IST Fri Jun 26 2020 | Duration: 11h:24m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 739627014 | Bytes Rx: 277806704 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63015 | Audit Session ID: 0a96cf690f6270005ef54a73 | Security Group Tag: none | EasyVPN: 0 |Session ID: 63015 | Audit Session ID: 0a96cf690f6270005ef54a73 | Security Group Tag: none | EasyVPN: 0 ||
Username: Pareshnath.swain | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.205 | Public IP: 175.101.9.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:14 IST Fri Jun 26 2020 | Duration: 11h:21m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 670925288 | Bytes Rx: 179271663 | IP Addr: 10.150.237.205 | Public IP: 175.101.9.26 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:41:14 IST Fri Jun 26 2020 | Duration: 11h:21m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 670925288 | Bytes Rx: 179271663 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63018 | Audit Session ID: 0a96cf690f62a0005ef54b32 | Security Group Tag: none | EasyVPN: 0 |Session ID: 63018 | Audit Session ID: 0a96cf690f62a0005ef54b32 | Security Group Tag: none | EasyVPN: 0 ||
Username: Vnikte | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.181 | Public IP: 103.229.247.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:15:14 IST Fri Jun 26 2020 | Duration: 10h:47m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 605293905 | Bytes Rx: 153632048 | IP Addr: 10.150.236.181 | Public IP: 103.229.247.44 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:15:14 IST Fri Jun 26 2020 | Duration: 10h:47m:22s | Inactivity:  0h:00m:00s | Bytes Tx: 605293905 | Bytes Rx: 153632048 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63101 | Audit Session ID: 0a96cf690f67d0005ef5532a | Security Group Tag: none | EasyVPN: 0 |Session ID: 63101 | Audit Session ID: 0a96cf690f67d0005ef5532a | Security Group Tag: none | EasyVPN: 0 ||
Username: deprasad | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.75 | Public IP: 106.223.109.0 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:34:49 IST Fri Jun 26 2020 | Duration: 10h:27m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 310627425 | Bytes Rx: 181352164 | IP Addr: 10.150.236.75 | Public IP: 106.223.109.0 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:34:49 IST Fri Jun 26 2020 | Duration: 10h:27m:47s | Inactivity:  0h:00m:00s | Bytes Tx: 310627425 | Bytes Rx: 181352164 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63135 | Audit Session ID: 0a96cf690f69f0005ef557c1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 63135 | Audit Session ID: 0a96cf690f69f0005ef557c1 | Security Group Tag: none | EasyVPN: 0 ||
Username: Ankushs | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.150.236.113 | Public IP: 106.220.83.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:39:48 IST Fri Jun 26 2020 | Duration: 10h:22m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 759538552 | Bytes Rx: 90799641 | IP Addr: 10.150.236.113 | Public IP: 106.220.83.124 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:39:48 IST Fri Jun 26 2020 | Duration: 10h:22m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 759538552 | Bytes Rx: 90799641 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 63142 | Audit Session ID: 0a96cf690f6a60005ef558ec | Security Group Tag: none | EasyVPN: 0 |Session ID: 63142 | Audit Session ID: 0a96cf690f6a60005ef558ec | Security Group Tag: none | EasyVPN: 0 ||
