sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: shrikesh.pawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.175 | Public IP: 182.57.174.255 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 3d 0h:27m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 4172648604 | Bytes Rx: 1249695700 | IP Addr: 10.147.96.175 | Public IP: 182.57.174.255 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 14:33:22 IST Mon Jun 15 2020 | Duration: 3d 0h:27m:07s | Inactivity:  0h:00m:00s | Bytes Tx: 4172648604 | Bytes Rx: 1249695700 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 |Session ID: 24910 | Audit Session ID: 0a96cf690614e0005ee7395a | Security Group Tag: none | EasyVPN: 0 ||
Username: aviral.bansal | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.237.182 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:13:29 IST Tue Jun 16 2020 | Duration: 2d 4h:47m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 2027340687 | Bytes Rx: 4354542881 | IP Addr: 10.150.237.182 | Public IP: 111.125.228.239 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 10:13:29 IST Tue Jun 16 2020 | Duration: 2d 4h:47m:00s | Inactivity:  0h:00m:00s | Bytes Tx: 2027340687 | Bytes Rx: 4354542881 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 27280 | Audit Session ID: 0a96cf6906a900005ee84df1 | Security Group Tag: none | EasyVPN: 0 |Session ID: 27280 | Audit Session ID: 0a96cf6906a900005ee84df1 | Security Group Tag: none | EasyVPN: 0 ||
Username: VasuVenk | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.148 | Public IP: 111.92.59.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:17:48 IST Wed Jun 17 2020 | Duration: 1d 3h:42m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 855992521 | Bytes Rx: 227880722 | IP Addr: 10.150.244.148 | Public IP: 111.92.59.3 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 11:17:48 IST Wed Jun 17 2020 | Duration: 1d 3h:42m:41s | Inactivity:  0h:00m:00s | Bytes Tx: 855992521 | Bytes Rx: 227880722 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31471 | Audit Session ID: 0a96cf6907aef0005ee9ae84 | Security Group Tag: none | EasyVPN: 0 |Session ID: 31471 | Audit Session ID: 0a96cf6907aef0005ee9ae84 | Security Group Tag: none | EasyVPN: 0 ||
Username: ashishah | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.228 | Public IP: 103.110.255.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:44:45 IST Wed Jun 17 2020 | Duration: 1d 2h:15m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 413818004 | Bytes Rx: 118531892 | IP Addr: 10.147.96.228 | Public IP: 103.110.255.115 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 12:44:45 IST Wed Jun 17 2020 | Duration: 1d 2h:15m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 413818004 | Bytes Rx: 118531892 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31831 | Audit Session ID: 0a96cf6907c570005ee9c2e5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 31831 | Audit Session ID: 0a96cf6907c570005ee9c2e5 | Security Group Tag: none | EasyVPN: 0 ||
Username: vandana.mehra | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.147.96.222 | Public IP: 122.177.172.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:49 IST Wed Jun 17 2020 | Duration: 1d 1h:50m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 348720553 | Bytes Rx: 208667650 | IP Addr: 10.147.96.222 | Public IP: 122.177.172.191 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:09:49 IST Wed Jun 17 2020 | Duration: 1d 1h:50m:40s | Inactivity:  0h:00m:00s | Bytes Tx: 348720553 | Bytes Rx: 208667650 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31919 | Audit Session ID: 0a96cf6907caf0005ee9c8c5 | Security Group Tag: none | EasyVPN: 0 |Session ID: 31919 | Audit Session ID: 0a96cf6907caf0005ee9c8c5 | Security Group Tag: none | EasyVPN: 0 ||
Username: subhassh | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.244.190 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:22:11 IST Wed Jun 17 2020 | Duration: 1d 1h:38m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 421404798 | Bytes Rx: 146266347 | IP Addr: 10.150.244.190 | Public IP: 122.170.43.190 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:22:11 IST Wed Jun 17 2020 | Duration: 1d 1h:38m:18s | Inactivity:  0h:00m:00s | Bytes Tx: 421404798 | Bytes Rx: 146266347 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 31973 | Audit Session ID: 0a96cf6907ce50005ee9cbab | Security Group Tag: none | EasyVPN: 0 |Session ID: 31973 | Audit Session ID: 0a96cf6907ce50005ee9cbab | Security Group Tag: none | EasyVPN: 0 ||
Username: sunaredi | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.152 | Public IP: 182.70.34.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:28 IST Wed Jun 17 2020 | Duration: 19h:15m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 600826696 | Bytes Rx: 226307501 | IP Addr: 10.150.236.152 | Public IP: 182.70.34.85 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 19:45:28 IST Wed Jun 17 2020 | Duration: 19h:15m:01s | Inactivity:  0h:00m:00s | Bytes Tx: 600826696 | Bytes Rx: 226307501 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33317 | Audit Session ID: 0a96cf69082250005eea2580 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33317 | Audit Session ID: 0a96cf69082250005eea2580 | Security Group Tag: none | EasyVPN: 0 ||
Username: CKadekar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.73 | Public IP: 1.22.98.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:25:46 IST Thu Jun 18 2020 | Duration: 9h:34m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 5092244739 | Bytes Rx: 414343666 | IP Addr: 10.150.236.73 | Public IP: 1.22.98.46 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 05:25:46 IST Thu Jun 18 2020 | Duration: 9h:34m:43s | Inactivity:  0h:00m:00s | Bytes Tx: 5092244739 | Bytes Rx: 414343666 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33942 | Audit Session ID: 0a96cf69084960005eeaad82 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33942 | Audit Session ID: 0a96cf69084960005eeaad82 | Security Group Tag: none | EasyVPN: 0 ||
Username: ankuskat | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.144 | Public IP: 157.33.162.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:50 IST Thu Jun 18 2020 | Duration: 8h:21m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1424476944 | Bytes Rx: 272361477 | IP Addr: 10.150.236.144 | Public IP: 157.33.162.164 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:38:50 IST Thu Jun 18 2020 | Duration: 8h:21m:39s | Inactivity:  0h:00m:00s | Bytes Tx: 1424476944 | Bytes Rx: 272361477 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33990 | Audit Session ID: 0a96cf69084c60005eeabea2 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33990 | Audit Session ID: 0a96cf69084c60005eeabea2 | Security Group Tag: none | EasyVPN: 0 ||
Username: NitTawar | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.137 | Public IP: 106.193.111.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:59 IST Thu Jun 18 2020 | Duration: 8h:16m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 304565629 | Bytes Rx: 174375286 | IP Addr: 10.150.236.137 | Public IP: 106.193.111.246 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:43:59 IST Thu Jun 18 2020 | Duration: 8h:16m:30s | Inactivity:  0h:00m:00s | Bytes Tx: 304565629 | Bytes Rx: 174375286 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33993 | Audit Session ID: 0a96cf69084c90005eeabfd7 | Security Group Tag: none | EasyVPN: 0 |Session ID: 33993 | Audit Session ID: 0a96cf69084c90005eeabfd7 | Security Group Tag: none | EasyVPN: 0 ||
Username: SauKadam | Group: TCL_Pun_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth-OTP_Profile | IP Addr: 10.150.236.138 | Public IP: 106.220.145.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:20 IST Thu Jun 18 2020 | Duration: 8h:16m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 437193664 | Bytes Rx: 129814531 | IP Addr: 10.150.236.138 | Public IP: 106.220.145.155 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:44:20 IST Thu Jun 18 2020 | Duration: 8h:16m:09s | Inactivity:  0h:00m:00s | Bytes Tx: 437193664 | Bytes Rx: 129814531 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 33994 | Audit Session ID: 0a96cf69084ca0005eeabfec | Security Group Tag: none | EasyVPN: 0 |Session ID: 33994 | Audit Session ID: 0a96cf69084ca0005eeabfec | Security Group Tag: none | EasyVPN: 0 ||
