sh vpn-session full anyconnect

Session Type: AnyConnect ||

Username: santhosh.am | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.14 | Public IP: 27.5.155.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:25:30 IST Thu Jun 11 2020 | Duration: 1d 0h:06m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 687725623 | Bytes Rx: 311036064 | IP Addr: 10.149.233.14 | Public IP: 27.5.155.71 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 13:25:30 IST Thu Jun 11 2020 | Duration: 1d 0h:06m:35s | Inactivity:  0h:00m:00s | Bytes Tx: 687725623 | Bytes Rx: 311036064 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 146746 | Audit Session ID: 0a95072a23d3a0005ee1e372 | Security Group Tag: none | EasyVPN: 0 |Session ID: 146746 | Audit Session ID: 0a95072a23d3a0005ee1e372 | Security Group Tag: none | EasyVPN: 0 ||
Username: ksubbiah | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.138 | Public IP: 49.207.131.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:59:49 IST Thu Jun 11 2020 | Duration: 19h:32m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 274974139 | Bytes Rx: 95247024 | IP Addr: 10.149.232.138 | Public IP: 49.207.131.185 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 17:59:49 IST Thu Jun 11 2020 | Duration: 19h:32m:16s | Inactivity:  0h:00m:00s | Bytes Tx: 274974139 | Bytes Rx: 95247024 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147339 | Audit Session ID: 0a95072a23f8b0005ee223bd | Security Group Tag: none | EasyVPN: 0 |Session ID: 147339 | Audit Session ID: 0a95072a23f8b0005ee223bd | Security Group Tag: none | EasyVPN: 0 ||
Username: baldeepb | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.234 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:23:00 IST Thu Jun 11 2020 | Duration: 17h:09m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 490849488 | Bytes Rx: 221473717 | IP Addr: 10.149.232.234 | Public IP: 103.117.219.228 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 20:23:00 IST Thu Jun 11 2020 | Duration: 17h:09m:05s | Inactivity:  0h:00m:00s | Bytes Tx: 490849488 | Bytes Rx: 221473717 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147560 | Audit Session ID: 0a95072a240680005ee2454c | Security Group Tag: none | EasyVPN: 0 |Session ID: 147560 | Audit Session ID: 0a95072a240680005ee2454c | Security Group Tag: none | EasyVPN: 0 ||
Username: arunt | Group: Normal_MacAuth | Tunnel Group: TCL_Normal_Mac | IP Addr: 10.149.232.32 | Public IP: 106.222.98.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:39 IST Fri Jun 12 2020 | Duration: 6h:56m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 170687703 | Bytes Rx: 93491999 | IP Addr: 10.149.232.32 | Public IP: 106.222.98.12 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:35:39 IST Fri Jun 12 2020 | Duration: 6h:56m:26s | Inactivity:  0h:00m:00s | Bytes Tx: 170687703 | Bytes Rx: 93491999 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147780 | Audit Session ID: 0a95072a241440005ee2d4e3 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147780 | Audit Session ID: 0a95072a241440005ee2d4e3 | Security Group Tag: none | EasyVPN: 0 ||
Username: snallapa | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.233.166 | Public IP: 157.44.62.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:20 IST Fri Jun 12 2020 | Duration: 6h:49m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 682508058 | Bytes Rx: 202108415 | IP Addr: 10.149.233.166 | Public IP: 157.44.62.166 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:42:20 IST Fri Jun 12 2020 | Duration: 6h:49m:45s | Inactivity:  0h:00m:00s | Bytes Tx: 682508058 | Bytes Rx: 202108415 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147781 | Audit Session ID: 0a95072a241450005ee2d674 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147781 | Audit Session ID: 0a95072a241450005ee2d674 | Security Group Tag: none | EasyVPN: 0 ||
Username: sasif | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.58 | Public IP: 106.220.157.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:32 IST Fri Jun 12 2020 | Duration: 6h:41m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 414316565 | Bytes Rx: 215463266 | IP Addr: 10.149.232.58 | Public IP: 106.220.157.142 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:50:32 IST Fri Jun 12 2020 | Duration: 6h:41m:33s | Inactivity:  0h:00m:00s | Bytes Tx: 414316565 | Bytes Rx: 215463266 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147784 | Audit Session ID: 0a95072a241480005ee2d860 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147784 | Audit Session ID: 0a95072a241480005ee2d860 | Security Group Tag: none | EasyVPN: 0 ||
Username: SJShinde | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.59 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:21 IST Fri Jun 12 2020 | Duration: 6h:40m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1724211767 | Bytes Rx: 198302529 | IP Addr: 10.149.232.59 | Public IP: 103.139.242.252 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:51:21 IST Fri Jun 12 2020 | Duration: 6h:40m:44s | Inactivity:  0h:00m:00s | Bytes Tx: 1724211767 | Bytes Rx: 198302529 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147785 | Audit Session ID: 0a95072a241490005ee2d891 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147785 | Audit Session ID: 0a95072a241490005ee2d891 | Security Group Tag: none | EasyVPN: 0 ||
Username: shobmura | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.60 | Public IP: 106.208.98.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:17 IST Fri Jun 12 2020 | Duration: 6h:36m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 53557042 | Bytes Rx: 23137106 | IP Addr: 10.149.232.60 | Public IP: 106.208.98.156 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:17 IST Fri Jun 12 2020 | Duration: 6h:36m:48s | Inactivity:  0h:00m:00s | Bytes Tx: 53557042 | Bytes Rx: 23137106 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147788 | Audit Session ID: 0a95072a2414c0005ee2d97d | Security Group Tag: none | EasyVPN: 0 |Session ID: 147788 | Audit Session ID: 0a95072a2414c0005ee2d97d | Security Group Tag: none | EasyVPN: 0 ||
Username: njeur | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.63 | Public IP: 49.35.203.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:46 IST Fri Jun 12 2020 | Duration: 6h:36m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 250048475 | Bytes Rx: 101144931 | IP Addr: 10.149.232.63 | Public IP: 49.35.203.126 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:55:46 IST Fri Jun 12 2020 | Duration: 6h:36m:19s | Inactivity:  0h:00m:00s | Bytes Tx: 250048475 | Bytes Rx: 101144931 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147790 | Audit Session ID: 0a95072a2414e0005ee2d99a | Security Group Tag: none | EasyVPN: 0 |Session ID: 147790 | Audit Session ID: 0a95072a2414e0005ee2d99a | Security Group Tag: none | EasyVPN: 0 ||
Username: cpugazhe | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.67 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:53 IST Fri Jun 12 2020 | Duration: 6h:32m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 911757126 | Bytes Rx: 958014537 | IP Addr: 10.149.232.67 | Public IP: 183.83.153.184 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 06:59:53 IST Fri Jun 12 2020 | Duration: 6h:32m:12s | Inactivity:  0h:00m:00s | Bytes Tx: 911757126 | Bytes Rx: 958014537 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147795 | Audit Session ID: 0a95072a241530005ee2da91 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147795 | Audit Session ID: 0a95072a241530005ee2da91 | Security Group Tag: none | EasyVPN: 0 ||
Username: mansoomo | Group: TCL_Chn_Normal_Grp_Policy | Tunnel Group: TCL_SecureAuth_OTP_Profile | IP Addr: 10.149.232.69 | Public IP: 115.97.250.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:23 IST Fri Jun 12 2020 | Duration: 6h:29m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1266465367 | Bytes Rx: 400783598 | IP Addr: 10.149.232.69 | Public IP: 115.97.250.242 | Protocol: AnyConnect-Parent SSL-Tunnel DTLS-Tunnel | License: AnyConnect Premium | Session Subtype: Client only | Encryption: AnyConnect-Parent: (1)none  SSL-Tunnel: (1)AES256  DTLS-Tunnel: (1)AES-GCM-256 | Login Time: 07:02:23 IST Fri Jun 12 2020 | Duration: 6h:29m:42s | Inactivity:  0h:00m:00s | Bytes Tx: 1266465367 | Bytes Rx: 400783598 | VLAN Mapping: N/A | VLAN:  0 | Session ID: 147797 | Audit Session ID: 0a95072a241550005ee2db27 | Security Group Tag: none | EasyVPN: 0 |Session ID: 147797 | Audit Session ID: 0a95072a241550005ee2db27 | Security Group Tag: none | EasyVPN: 0 ||
